Date	GBP
2017-01-01	0.0161753590325
2017-01-02	0.0161753590325
2017-01-03	0.0108843537415
2017-01-04	0.0108843537415
2017-01-05	0.0108843537415
2017-01-06	0.00680272108844
2017-01-07	9.91270557701e-19
2017-01-08	9.91270557701e-19
2017-01-09	0.00607902735562
2017-01-10	0.00607902735562
2017-01-11	0.00607902735562
2017-01-12	0.00607902735562
2017-01-13	0.00607902735562
2017-01-14	0.00607902735562
2017-01-15	0.0117933130699
2017-01-16	0.00571428571429
2017-01-17	0.00571428571429
2017-01-18	0.00571428571429
2017-01-19	0.00571428571429
2017-01-20	0.00571428571429
2017-01-21	0.00571428571429
2017-01-22	9.91270557701e-19
2017-01-23	9.91270557701e-19
2017-01-24	9.91270557701e-19
2017-01-25	9.91270557701e-19
2017-01-26	0.00332225913621
2017-01-27	0.00332225913621
2017-01-28	0.00842429995254
2017-01-29	0.00842429995254
2017-01-30	0.00842429995254
2017-01-31	0.00842429995254
2017-02-01	0.00842429995254
2017-02-02	0.00510204081633
2017-02-03	0.00510204081633
2017-02-04	9.91270557701e-19
2017-02-05	9.91270557701e-19
2017-02-06	9.91270557701e-19
2017-02-07	9.91270557701e-19
2017-02-08	9.91270557701e-19
2017-02-09	9.91270557701e-19
2017-02-10	9.91270557701e-19
2017-02-11	9.91270557701e-19
2017-02-12	9.91270557701e-19
2017-02-13	9.91270557701e-19
2017-02-14	9.91270557701e-19
2017-02-15	9.91270557701e-19
2017-02-16	9.91270557701e-19
2017-02-17	9.91270557701e-19
2017-02-18	9.91270557701e-19
2017-02-19	9.91270557701e-19
2017-02-20	9.91270557701e-19
2017-02-21	9.91270557701e-19
2017-02-22	9.91270557701e-19
2017-02-23	9.91270557701e-19
2017-02-24	9.91270557701e-19
2017-02-25	9.91270557701e-19
2017-02-26	9.91270557701e-19
2017-02-27	9.91270557701e-19
2017-02-28	9.91270557701e-19
2017-03-01	9.91270557701e-19
2017-03-02	9.91270557701e-19
2017-03-03	9.91270557701e-19
2017-03-04	9.91270557701e-19
2017-03-05	9.91270557701e-19
2017-03-06	9.91270557701e-19
2017-03-07	9.91270557701e-19
2017-03-08	9.91270557701e-19
2017-03-09	9.91270557701e-19
2017-03-10	9.91270557701e-19
2017-03-11	9.91270557701e-19
2017-03-12	9.91270557701e-19
2017-03-13	9.91270557701e-19
2017-03-14	9.91270557701e-19
2017-03-15	9.91270557701e-19
2017-03-16	9.91270557701e-19
2017-03-17	9.91270557701e-19
2017-03-18	9.91270557701e-19
2017-03-19	9.91270557701e-19
2017-03-20	9.91270557701e-19
2017-03-21	9.91270557701e-19
2017-03-22	9.91270557701e-19
2017-03-23	9.91270557701e-19
2017-03-24	9.91270557701e-19
2017-03-25	9.91270557701e-19
2017-03-26	9.91270557701e-19
2017-03-27	9.91270557701e-19
2017-03-28	9.91270557701e-19
2017-03-29	9.91270557701e-19
2017-03-30	9.91270557701e-19
2017-03-31	9.91270557701e-19
2017-04-01	9.91270557701e-19
2017-04-02	9.91270557701e-19
2017-04-03	9.91270557701e-19
2017-04-04	9.91270557701e-19
2017-04-05	9.91270557701e-19
2017-04-06	9.91270557701e-19
2017-04-07	9.91270557701e-19
2017-04-08	9.91270557701e-19
2017-04-09	9.91270557701e-19
2017-04-10	9.91270557701e-19
2017-04-11	9.91270557701e-19
2017-04-12	9.91270557701e-19
2017-04-13	9.91270557701e-19
2017-04-14	9.91270557701e-19
2017-04-15	9.91270557701e-19
2017-04-16	9.91270557701e-19
2017-04-17	9.91270557701e-19
2017-04-18	9.91270557701e-19
2017-04-19	9.91270557701e-19
2017-04-20	9.91270557701e-19
2017-04-21	9.91270557701e-19
2017-04-22	9.91270557701e-19
2017-04-23	9.91270557701e-19
2017-04-24	9.91270557701e-19
2017-04-25	9.91270557701e-19
2017-04-26	9.91270557701e-19
2017-04-27	9.91270557701e-19
2017-04-28	9.91270557701e-19
