Date	US
2017-01-01	-0.713209332034
2017-01-02	-0.639301363072
2017-01-03	-0.768871346086
2017-01-04	-0.55769982734
2017-01-05	-0.550572605164
2017-01-06	-0.471931170198
2017-01-07	-0.730195162561
2017-01-08	-1.0908721471
2017-01-09	-0.818601156043
2017-01-10	-0.464991895959
2017-01-11	-0.465250257538
2017-01-12	-0.503739377986
2017-01-13	-0.17023969403
2017-01-14	0.107609025139
2017-01-15	0.442820522865
2017-01-16	0.421936783556
2017-01-17	0.152133325402
2017-01-18	0.339664458805
2017-01-19	0.812267553548
2017-01-20	0.611795778488
2017-01-21	1.07027351646
2017-01-22	0.680338371264
2017-01-23	0.619223290963
2017-01-24	0.433596074861
2017-01-25	0.315842783641
2017-01-26	-0.240518631999
2017-01-27	-0.313533485159
2017-01-28	-0.90430560535
2017-01-29	-0.857586746253
2017-01-30	-1.0755431911
2017-01-31	-0.776499623177
2017-02-01	-0.640387202919
2017-02-02	-0.448181854492
2017-02-03	-0.21226767571
2017-02-04	0.0802093985732
2017-02-05	0.181424774077
2017-02-06	0.467386762603
2017-02-07	0.370844281109
2017-02-08	0.371939877988
2017-02-09	0.179614474282
2017-02-10	0.112288217937
2017-02-11	0.125975371077
2017-02-12	0.0172364034758
2017-02-13	0.22542673873
2017-02-14	-0.00342344784488
2017-02-15	-0.0672377932874
2017-02-16	0.213054486092
2017-02-17	0.443812848543
2017-02-18	0.395885509514
2017-02-19	0.439481433994
2017-02-20	0.217614671246
2017-02-21	0.493009879929
2017-02-22	0.249649113311
2017-02-23	0.323620439444
2017-02-24	-0.259758516403
2017-02-25	-0.280472874941
2017-02-26	-0.350345810677
2017-02-27	-0.499433331272
2017-02-28	-0.839785941766
2017-03-01	-0.841154203327
2017-03-02	-1.05150156224
2017-03-03	-0.754284135837
2017-03-04	-0.541678361301
2017-03-05	-0.0893807689469
2017-03-06	-0.0681501599799
2017-03-07	-0.190763143502
2017-03-08	-0.263478860679
2017-03-09	-0.23681946093
2017-03-10	-0.370236727622
2017-03-11	-1.04686718038
2017-03-12	-1.5046805062
2017-03-13	-1.55600299941
2017-03-14	-1.35856291106
2017-03-15	-1.36608725291
2017-03-16	-1.33286755848
2017-03-17	-0.579354981322
2017-03-18	0.131483862761
2017-03-19	0.524730076248
2017-03-20	0.837095568528
2017-03-21	1.01410226032
2017-03-22	0.855637064383
2017-03-23	0.926116193368
2017-03-24	0.274734295951
2017-03-25	0.180606312055
2017-03-26	0.162769507208
2017-03-27	-0.0746422642507
2017-03-28	-0.154660944733
2017-03-29	0.349475493085
2017-03-30	0.361269585277
2017-03-31	0.0596537431065
2017-04-01	-0.0938388848255
2017-04-02	-0.181364469012
2017-04-03	-0.317836409203
2017-04-04	-0.0715690027204
2017-04-05	0.0143644568195
2017-04-06	-0.0968605080941
2017-04-07	-0.130620805927
2017-04-08	-0.0798245370464
2017-04-09	0.229577503157
2017-04-10	1.12871918254
2017-04-11	0.828300441737
2017-04-12	0.760541452383
2017-04-13	0.473153716016
2017-04-14	0.730444573313
2017-04-15	0.783920110962
2017-04-16	0.623038791823
2017-04-17	0.20227192922
2017-04-18	0.164172382048
2017-04-19	0.235255983249
2017-04-20	0.93131518615
2017-04-21	0.530293496443
2017-04-22	0.794454218299
2017-04-23	0.410245195035
2017-04-24	-0.505118553706
2017-04-25	-0.321992252985
2017-04-26	-0.0319076898611
2017-04-27	-0.123259992944
2017-04-28	-0.16429002209
2017-04-29	-0.679717449012
2017-04-30	-0.769085826683
2017-05-01	-0.251438102938
2017-05-02	-0.34825638249
2017-05-03	-0.938532079706
2017-05-04	-0.922527085072
2017-05-05	-0.923932061318
2017-05-06	-0.840997430505
2017-05-07	-0.537413999195
2017-05-08	-0.375703749946
2017-05-09	-0.256793988419
2017-05-10	-0.00331683521294
2017-05-11	-0.0794723921784
2017-05-12	0.19241829472
2017-05-13	0.653931548442
2017-05-14	0.736779648992
2017-05-15	0.681474189391
2017-05-16	0.675643389021
2017-05-17	0.59748948761
2017-05-18	0.93019470873
2017-05-19	1.06940102328
2017-05-20	0.790573373082
2017-05-21	0.388902164924
2017-05-22	0.235090032926
2017-05-23	0.0618840114093
2017-05-24	-0.233998173939
2017-05-25	-0.562215312211
2017-05-26	-0.784289549416
2017-05-27	-0.907427583497
2017-05-28	-0.83482688639
2017-05-29	-1.07111467781
2017-05-30	-1.08573287116
2017-05-31	-0.49890593105
2017-06-01	-0.505504051092
2017-06-02	-0.616993419331
2017-06-03	-0.565450613908
2017-06-04	-0.60444994155
2017-06-05	-0.3379022666
2017-06-06	-0.0242281887876
2017-06-07	-0.514247009541
2017-06-08	-0.186200600958
2017-06-09	-0.224942770465
2017-06-10	0.559220216393
2017-06-11	0.279045474524
2017-06-12	0.462491674758
2017-06-13	0.199582232993
2017-06-14	0.381623509688
2017-06-15	0.0197367036738
2017-06-16	0.387099084602
2017-06-17	-0.534177135366
2017-06-18	0.53950302411
2017-06-19	0.188069348196
2017-06-20	-0.0600291198747
2017-06-21	-0.271250317612
2017-06-22	-0.324288211902
2017-06-23	-0.662112836749
2017-06-24	-0.369493698216
2017-06-25	-1.0477016741
2017-06-26	-0.9408038371
2017-06-27	-0.912588584862
2017-06-28	-0.804571122996
2017-06-29	-0.863776679068
2017-06-30	-0.767547397163
2017-07-01	-0.31893535131
2017-07-02	-0.385795826179
2017-07-03	-0.227155129052
2017-07-04	-0.0187928452596
2017-07-05	-0.174989784062
2017-07-06	0.36240397336
2017-07-07	0.222429079716
2017-07-08	-0.101511541271
2017-07-09	-0.105781152977
2017-07-10	-0.167552309662
2017-07-11	-0.218624843331
2017-07-12	-0.202684503411
2017-07-13	-0.718987484669
2017-07-14	-0.702875748975
2017-07-15	-0.77426595358
2017-07-16	-1.07195097373
2017-07-17	-1.28933094221
2017-07-18	-0.995544526643
2017-07-19	-0.947095162391
2017-07-20	-0.648674169714
2017-07-21	-0.479565886719
2017-07-22	-0.20660497359
2017-07-23	0.300440914092
2017-07-24	0.280928718744
2017-07-25	0.104719206898
2017-07-26	0.264647505197
2017-07-27	0.247719599955
2017-07-28	-0.00268172614619
2017-07-29	0.134824439547
2017-07-30	0.00652443665537
2017-07-31	0.472179908908
2017-08-01	0.579379595343
2017-08-02	0.627451538379
2017-08-03	0.326263381494
2017-08-04	0.621453888408
2017-08-05	0.0927518169089
2017-08-06	0.0536537429638
2017-08-07	-0.520034759866
2017-08-08	-0.620447302332
2017-08-09	-0.936539566345
2017-08-10	-0.725077117524
2017-08-11	-0.576920919645
2017-08-12	-0.577955393753
2017-08-13	-0.593881191258
2017-08-14	0.0601021444812
2017-08-15	0.467071126793
2017-08-16	0.641253757475
2017-08-17	0.466687777459
2017-08-18	0.476213928624
2017-08-19	0.40525545892
2017-08-20	-0.327043013409
2017-08-21	-0.836558667357
2017-08-22	-0.84493314456
