Date	US
2017-01-01	-0.575826406899
2017-01-02	-0.987856279519
2017-01-03	-0.933236415793
2017-01-04	-0.779665790534
2017-01-05	-0.731436106717
2017-01-06	-1.00645027066
2017-01-07	-1.26685968957
2017-01-08	-1.49185947175
2017-01-09	-0.852211528272
2017-01-10	-0.477055066851
2017-01-11	-0.570276265307
2017-01-12	-0.608810754395
2017-01-13	-0.493904274411
2017-01-14	0.101641048212
2017-01-15	-0.0567738804426
2017-01-16	-0.0382767095213
2017-01-17	-0.586533464795
2017-01-18	-0.480957709099
2017-01-19	-0.166718238503
2017-01-20	-0.0395531855642
2017-01-21	-0.193979013131
2017-01-22	-0.217424096319
2017-01-23	-0.229448243958
2017-01-24	0.115702196779
2017-01-25	-0.0424204004283
2017-01-26	-0.328089447154
2017-01-27	-0.194175654546
2017-01-28	-0.370373678951
2017-01-29	-0.683432062338
2017-01-30	-0.647311073524
2017-01-31	-0.52084783641
2017-02-01	-0.260960143268
2017-02-02	-0.336524768751
2017-02-03	-0.578070377308
2017-02-04	-0.672967286452
2017-02-05	-0.425849946521
2017-02-06	-0.511180510389
2017-02-07	-0.815449905697
2017-02-08	-0.695700910828
2017-02-09	-0.802168146085
2017-02-10	-0.519259217217
2017-02-11	-0.129882368494
2017-02-12	-0.177016502561
2017-02-13	0.518672643982
2017-02-14	1.13487473471
2017-02-15	0.57702381714
2017-02-16	0.644663370633
2017-02-17	0.855580889086
2017-02-18	0.0397211441446
2017-02-19	-0.334032414557
2017-02-20	-1.11815906173
2017-02-21	-1.22595791617
2017-02-22	-1.43922145228
2017-02-23	-1.28595482914
2017-02-24	-1.29955527163
2017-02-25	-0.561107327499
2017-02-26	0.886321847765
2017-02-27	0.118033912944
2017-02-28	0.176507849956
2017-03-01	0.11529794234
2017-03-02	0.100949067524
2017-03-03	-0.180954016725
2017-03-04	-0.131325632594
2017-03-05	-0.368517517675
2017-03-06	-0.499509215738
2017-03-07	-0.603932423002
2017-03-08	-0.610118083852
2017-03-09	-0.382201738847
2017-03-10	-0.233676227852
2017-03-11	-0.412783389053
2017-03-12	-0.612036656824
2017-03-13	-0.198624144802
2017-03-14	-0.250756161169
2017-03-15	-0.293504455597
2017-03-16	-0.218009742976
2017-03-17	-0.149836482016
2017-03-18	-0.00558311691078
2017-03-19	0.239838233347
2017-03-20	0.102172056517
2017-03-21	0.352547679854
2017-03-22	0.437183375614
2017-03-23	-0.0324905512802
2017-03-24	0.248835816285
2017-03-25	-0.503217921094
2017-03-26	-0.790022280288
2017-03-27	-0.86172433955
2017-03-28	-1.40388740713
2017-03-29	-1.34385130389
2017-03-30	-2.10085130713
2017-03-31	-2.96472730019
2017-04-01	-2.19696029239
2017-04-02	-1.38037468324
2017-04-03	-1.47985142527
2017-04-04	-1.5979714307
2017-04-05	-1.3680058406
2017-04-06	-0.980238443214
2017-04-07	-0.946565109274
2017-04-08	-1.07564642528
2017-04-09	-1.32432087574
2017-04-10	-1.13265989761
2017-04-11	-0.809639136614
2017-04-12	-0.867414887199
2017-04-13	-0.46677171429
2017-04-14	-0.208320734857
2017-04-15	-0.26780600111
2017-04-16	-0.285848559673
2017-04-17	-0.0763183635774
2017-04-18	-0.167652340194
2017-04-19	-0.244445659783
2017-04-20	-0.320700987877
2017-04-21	-0.699255669906
2017-04-22	-0.302783554704
2017-04-23	-0.385053677771
2017-04-24	-0.879012281657
2017-04-25	-0.791348751054
2017-04-26	-0.4978681853
2017-04-27	-0.466040240016
2017-04-28	-0.288655220314
2017-04-29	-1.13680929544
2017-04-30	-0.708565250376
2017-05-01	-0.831074733265
2017-05-02	-0.767801916496
2017-05-03	-0.920768268344
2017-05-04	-1.05376139339
2017-05-05	-0.933429743064
2017-05-06	-0.0959195791952
2017-05-07	-0.212149159567
2017-05-08	-0.284149564851
2017-05-09	-0.453216927526
2017-05-10	-0.376989702372
2017-05-11	-0.337054790752
2017-05-12	-0.612803802177
2017-05-13	-1.59177364088
2017-05-14	-1.69916153485
2017-05-15	-1.74502779897
2017-05-16	-1.61329987567
2017-05-17	-1.50787532044
2017-05-18	-0.943983255199
2017-05-19	-1.10626569513
2017-05-20	-0.698163423938
2017-05-21	-0.15161190826
2017-05-22	-0.0165025022168
2017-05-23	-0.357221042806
2017-05-24	-0.300931676664
2017-05-25	-0.823676281713
2017-05-26	-0.463347328327
2017-05-27	-0.659320360969
2017-05-28	-0.884873213008
2017-05-29	-0.72055658589
2017-05-30	-0.637665922071
2017-05-31	-0.636202000617
2017-06-01	-0.727713810193
2017-06-02	-0.74965475158
2017-06-03	-0.703360677233
2017-06-04	-0.915058296726
2017-06-05	-1.1579400581
2017-06-06	-1.10033448509
2017-06-07	-1.31485054893
2017-06-08	-1.45057842612
2017-06-09	-1.73905907861
2017-06-10	-1.37061024796
2017-06-11	-1.44115119272
2017-06-12	-1.41915594227
2017-06-13	-1.1937157021
2017-06-14	-0.288328448813
