Date	France
2017-01-01	0.5152183011
2017-01-02	0.675625107503
2017-01-03	0.918967483673
2017-01-04	0.792442809002
2017-01-05	0.915584719851
2017-01-06	0.749392425714
2017-01-07	0.8270000603
2017-01-08	0.411831103246
2017-01-09	0.30821240138
2017-01-10	-0.215296228846
2017-01-11	-0.25798872589
2017-01-12	-0.826894200607
2017-01-13	-0.773443565208
2017-01-14	-0.672837364273
2017-01-15	-0.158095746038
2017-01-16	-0.103773185727
2017-01-17	-0.0828107778255
2017-01-18	0.0298617712642
2017-01-19	0.433690384136
2017-01-20	0.856171210751
2017-01-21	1.00488531458
2017-01-22	0.882662430322
2017-01-23	0.805302355035
2017-01-24	1.15698884184
2017-01-25	0.761421467768
2017-01-26	0.347804749815
2017-01-27	-0.135682665593
2017-01-28	-0.625695211855
2017-01-29	-0.993647468777
2017-01-30	-0.601375072991
2017-01-31	-0.997666167619
2017-02-01	-0.75862828189
2017-02-02	-0.552187818129
2017-02-03	-0.656984332605
2017-02-04	-0.944513687391
2017-02-05	-0.359152542792
2017-02-06	-0.545490655249
2017-02-07	-0.634922527125
2017-02-08	-0.816894261641
2017-02-09	-0.876798817651
2017-02-10	-0.918065543686
2017-02-11	-0.309987893126
2017-02-12	-0.359755496928
2017-02-13	-0.227519352219
2017-02-14	0.200405248415
2017-02-15	0.344418227894
2017-02-16	0.328878729503
2017-02-17	0.401094031618
2017-02-18	0.0371283787038
2017-02-19	-0.512799804394
2017-02-20	-0.67708159329
2017-02-21	-0.595292243825
2017-02-22	-0.762985214085
2017-02-23	-1.07037274765
2017-02-24	-1.32276154949
2017-02-25	-1.90231877172
2017-02-26	-1.50593007617
2017-02-27	-1.28116467109
2017-02-28	-1.57463384087
2017-03-01	-1.40330828388
2017-03-02	-1.18697410117
2017-03-03	-1.03860063944
2017-03-04	-0.283825701183
2017-03-05	-0.176092853136
2017-03-06	-0.560566666757
2017-03-07	-0.791108488774
2017-03-08	-0.790589824414
2017-03-09	-0.822707762751
2017-03-10	-0.91369202196
2017-03-11	-0.517677949242
2017-03-12	-0.60448684984
2017-03-13	-0.412753607838
2017-03-14	-0.406173656323
2017-03-15	-0.435040083994
2017-03-16	-0.438629914116
2017-03-17	-0.578437914626
2017-03-18	-0.922507509906
2017-03-19	-1.45006755951
