Date	AUD
2017-01-01	-0.397947178082
2017-01-02	-0.212923894106
2017-01-03	
2017-01-04	
2017-01-05	1.85129469586
2017-01-06	0.678391708585
2017-01-07	0.842849957553
2017-01-08	0.615888685025
2017-01-09	0.0669591916336
2017-01-10	0.145398914273
2017-01-11	0.0136555527682
2017-01-12	-0.628606840636
2017-01-13	-0.710058656709
2017-01-14	-1.11343699795
2017-01-15	-1.18926838448
2017-01-16	-1.14776433516
2017-01-17	-1.18491556013
2017-01-18	-1.25136945017
2017-01-19	-1.31650466179
2017-01-20	-0.896663594527
2017-01-21	-0.458713164656
2017-01-22	-0.246267963067
2017-01-23	-0.209283244123
2017-01-24	-0.0500662786349
2017-01-25	0.114696379718
2017-01-26	0.0901095232555
2017-01-27	-0.522218798418
2017-01-28	-0.861881463007
2017-01-29	-1.5065312151
2017-01-30	-1.92809587517
2017-01-31	-1.88354289327
2017-02-01	-2.075599884
2017-02-02	-2.10733664397
2017-02-03	-2.28717501201
2017-02-04	-2.40409470656
2017-02-05	-2.035746088
2017-02-06	-1.80915850476
2017-02-07	-1.97552033051
2017-02-08	-2.20525836549
2017-02-09	-1.73678007231
2017-02-10	-1.53368048557
2017-02-11	-1.07876494573
2017-02-12	-1.3060001065
2017-02-13	-1.06340009366
2017-02-14	-0.83919627955
2017-02-15	-0.345598169652
2017-02-16	-0.342114907461
2017-02-17	-0.542450854043
2017-02-18	-1.10454123644
2017-02-19	-0.791813150172
2017-02-20	-0.640498582444
2017-02-21	-0.542875645883
2017-02-22	-1.16067783765
2017-02-23	-1.8295484766
2017-02-24	-1.45829854539
2017-02-25	-1.04572477772
2017-02-26	-1.14255817808
2017-02-27	-1.43497592849
2017-02-28	-1.31551166168
2017-03-01	-0.108861839373
2017-03-02	0.483979050274
2017-03-03	0.760334648849
2017-03-04	0.451762744895
2017-03-05	0.308401943758
2017-03-06	0.950923874813
2017-03-07	1.8577493561
2017-03-08	0.0964319431233
2017-03-09	0.314375698883
2017-03-10	0.148913532536
2017-03-11	0.545038250297
2017-03-12	-0.508555839002
2017-03-13	0.0528657095412
2017-03-14	-0.341211028601
2017-03-15	-0.17280609099
2017-03-16	-0.57416415486
2017-03-17	-0.419609264173
2017-03-18	-0.425440821354
2017-03-19	0.129390353616
2017-03-20	-0.197443867428
2017-03-21	0.222846942988
2017-03-22	-0.0212769033388
2017-03-23	0.213995805295
2017-03-24	0.972311235037
2017-03-25	0.759387578792
2017-03-26	0.899135704115
2017-03-27	0.880733242209
2017-03-28	0.476851681315
2017-03-29	0.228667315031
2017-03-30	0.313274128888
2017-03-31	0.0935201296813
2017-04-01	0.211872953447
2017-04-02	0.100659675336
2017-04-03	-0.528343223791
2017-04-04	-0.273544877715
2017-04-05	-0.176175158063
2017-04-06	-0.121451368227
2017-04-07	-1.77084538317
2017-04-08	-1.9758052276
2017-04-09	-1.99964052143
2017-04-10	-2.01013527881
2017-04-11	-1.8649150349
2017-04-12	-1.13786578197
2017-04-13	-1.25647906069
2017-04-14	-1.31883189143
2017-04-15	-1.14391699812
2017-04-16	-1.57503900449
