Date	EUR
2017-01-01	0.598501901185
2017-01-02	0.778671333611
2017-01-03	1.05454432887
2017-01-04	1.00517700832
2017-01-05	0.446734788782
2017-01-06	0.173203661185
2017-01-07	0.255696244828
2017-01-08	0.237640004627
2017-01-09	0.364172890712
2017-01-10	-0.41901379992
2017-01-11	-0.159745124507
2017-01-12	-0.143646009177
2017-01-13	-0.00965451628514
2017-01-14	-0.0765478526933
2017-01-15	-0.262791107862
2017-01-16	-0.601771448489
2017-01-17	-0.401776448258
2017-01-18	-0.919123569443
2017-01-19	-0.668577532383
2017-01-20	-0.731359338253
2017-01-21	-0.599393395352
2017-01-22	-0.638175990585
2017-01-23	0.143416929728
2017-01-24	0.197835469826
2017-01-25	0.530659755821
2017-01-26	0.755161771049
2017-01-27	0.602054261699
2017-01-28	0.299652152126
2017-01-29	0.536031111816
2017-01-30	-0.419058887813
2017-01-31	-0.248634187174
2017-02-01	-0.226153142739
2017-02-02	-1.213898362
2017-02-03	-1.00027170466
2017-02-04	-0.081992464294
2017-02-05	-0.435856718088
2017-02-06	-0.222421041231
2017-02-07	-0.444704848106
2017-02-08	-0.621227880746
2017-02-09	-0.37491783222
2017-02-10	-0.443180821965
2017-02-11	-0.993714884095
2017-02-12	-0.721193548437
2017-02-13	-0.597034919597
2017-02-14	-0.302589320835
2017-02-15	-0.433862793416
2017-02-16	0.110985029078
2017-02-17	0.662273158148
2017-02-18	0.641647586994
2017-02-19	0.673375663883
2017-02-20	-0.205365265469
2017-02-21	-0.0347452939573
2017-02-22	0.0131924132883
2017-02-23	-0.963070905258
2017-02-24	-1.47565423688
2017-02-25	-0.931191135332
2017-02-26	-0.595804221918
2017-02-27	-0.0942006621307
2017-02-28	-0.470475350277
2017-03-01	-0.353858700579
2017-03-02	-0.513382980579
2017-03-03	-0.0681392842397
2017-03-04	-0.687932096735
2017-03-05	-0.833256533562
2017-03-06	-0.979327631511
2017-03-07	-1.31015813456
2017-03-08	-1.79773588995
2017-03-09	-1.74715937364
2017-03-10	-1.22188477521
2017-03-11	-0.602384498259
2017-03-12	-0.882163356018
2017-03-13	-0.758297071436
2017-03-14	-0.39274477509
2017-03-15	0.0666554074463
2017-03-16	0.372523015106
2017-03-17	-0.396870449512
2017-03-18	-0.935028674609
2017-03-19	-0.773491622128
2017-03-20	-0.278712213029
2017-03-21	-0.244307408925
2017-03-22	-0.380695831363
2017-03-23	-0.70019552139
2017-03-24	-0.128577170265
2017-03-25	-0.32670244671
2017-03-26	-0.756176990135
2017-03-27	-1.30993657522
2017-03-28	-1.61089467295
2017-03-29	-1.19985153746
2017-03-30	-0.419425948275
2017-03-31	-0.739643405974
2017-04-01	-0.693973278338
2017-04-02	0.597764370206
2017-04-03	0.614322515974
2017-04-04	0.607331699394
2017-04-05	0.843475179358
2017-04-06	0.803380346166
2017-04-07	0.286121997446
2017-04-08	0.0568752467478
2017-04-09	0.71939414513
2017-04-10	0.374448578599
2017-04-11	0.396372877223
2017-04-12	0.118816533142
2017-04-13	-0.341139700016
2017-04-14	-0.262738806911
2017-04-15	0.298729824288
2017-04-16	0.00985833894804
2017-04-17	-0.197689185974
2017-04-18	-0.180080563417
2017-04-19	-0.0543352433922
2017-04-20	-0.0557963502849
2017-04-21	0.629608140333
2017-04-22	0.141433286127
2017-04-23	-0.162246564496
2017-04-24	-0.0999560524197
2017-04-25	-0.299447789034
2017-04-26	-0.0883201050113
2017-04-27	0.261134589019
2017-04-28	-0.411353809848
2017-04-29	0.634410428847
2017-04-30	0.756625955327
2017-05-01	0.59337950594
2017-05-02	0.661756697647
2017-05-03	0.352171844907
2017-05-04	0.432777996126
2017-05-05	0.389955791628
2017-05-06	-0.62473203541
2017-05-07	-0.707937232579
2017-05-08	-0.435976215352
2017-05-09	-0.244072965182
2017-05-10	-0.147780083096
2017-05-11	-0.645330616088
2017-05-12	-1.53861654958
2017-05-13	-1.19985670948
2017-05-14	-0.399560742713
2017-05-15	-0.662597509342
2017-05-16	-0.394584589157
2017-05-17	-0.64017471199
2017-05-18	-0.60272015177
2017-05-19	-0.341505060067
2017-05-20	-0.329031977561
2017-05-21	-1.19539406465
2017-05-22	-1.25809935704
2017-05-23	-1.90403528959
2017-05-24	-1.62371671977
2017-05-25	-1.63487919558
2017-05-26	-1.55491324311
2017-05-27	-1.47293092356
2017-05-28	-1.40115209633
2017-05-29	-1.68810384997
2017-05-30	-1.40502518845
2017-05-31	-1.32974672062
2017-06-01	-1.51647217746
2017-06-02	-1.06203215663
2017-06-03	-1.07852161343
2017-06-04	-0.537947395499
2017-06-05	-0.408566809842
2017-06-06	-0.298254654651
2017-06-07	-0.386904384165
2017-06-08	0.581771147927
2017-06-09	0.58582169917
2017-06-10	0.674546365686
2017-06-11	1.07181677015
2017-06-12	1.4322784911
2017-06-13	1.32810804492
2017-06-14	1.92032725397
2017-06-15	1.13597723747
2017-06-16	0.981100362656
2017-06-17	0.988346570046
2017-06-18	0.0476913338192
2017-06-19	0.457993604911
2017-06-20	0.592204364305
2017-06-21	0.47953932733
2017-06-22	0.398770686375
2017-06-23	0.545846732322
2017-06-24	0.503536663289
2017-06-25	0.802048942917
2017-06-26	0.960014682367
2017-06-27	0.798810540195
2017-06-28	0.195446495578
2017-06-29	0.365568570378
2017-06-30	0.342397681256
2017-07-01	0.553347875516
2017-07-02	0.095315089165
2017-07-03	0.0153542785414
2017-07-04	0.118163531142
2017-07-05	0.343343939708
2017-07-06	-0.833452283906
2017-07-07	-0.501825049686
2017-07-08	-0.903504015501
2017-07-09	-0.896504132927
2017-07-10	-0.599982908702
2017-07-11	-0.442543921251
2017-07-12	-0.194783688507
2017-07-13	0.222045721409
2017-07-14	0.158884099304
2017-07-15	0.133515340591
2017-07-16	0.143217406405
2017-07-17	-0.154591011461
2017-07-18	-0.021774695893
2017-07-19	-0.426505485328
2017-07-20	-0.427879505527
2017-07-21	-0.74912397578
2017-07-22	-0.704414993401
2017-07-23	-0.667120907344
2017-07-24	-0.760915179069
2017-07-25	-1.29844219123
2017-07-26	-0.99780017304
2017-07-27	-1.05698797979
2017-07-28	-1.00376526095
2017-07-29	-1.15534921896
2017-07-30	-1.43955788358
2017-07-31	-1.03485768726
2017-08-01	-0.629453181195
2017-08-02	-0.630176483652
2017-08-03	-0.342591649644
2017-08-04	-0.287660940339
2017-08-05	-0.307609732236
2017-08-06	-0.014389952537
2017-08-07	-0.0663681003499
2017-08-08	0.310267155443
2017-08-09	0.351686674408
2017-08-10	0.433223255722
2017-08-11	0.263378456009
2017-08-12	0.123872320864
2017-08-13	0.199155063349
2017-08-14	0.277400203555
2017-08-15	-0.198044573688
2017-08-16	-0.318359305954
2017-08-17	-0.549113046228
2017-08-18	-0.254792271922
2017-08-19	0.394019267673
2017-08-20	0.283713290549
2017-08-21	0.258574152943
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	-2.43274031853
2017-08-27	-1.648051389
2017-08-28	-1.55226989024
2017-08-29	-1.51262724014
2017-08-30	-1.3124451503
2017-08-31	-1.02971534279
2017-09-01	-0.992042922245
2017-09-02	-0.339916839679
2017-09-03	-0.0392762521378
2017-09-04	0.302637226359
2017-09-05	0.441544653281
2017-09-06	0.602359169325
2017-09-07	0.828273972119
2017-09-08	0.692265968086
2017-09-09	-0.208076703984
2017-09-10	-0.562065349577
2017-09-11	-1.19601064182
2017-09-12	-1.56171419075
2017-09-13	-2.34162538136
2017-09-14	-2.53024037786
2017-09-15	-2.82019491056
2017-09-16	-2.04530168995
2017-09-17	-2.15930262595
2017-09-18	-2.10256683028
2017-09-19	-1.72874131158
2017-09-20	-0.465807543277
2017-09-21	-0.412851693965
2017-09-22	-0.497648368876
2017-09-23	0.877931518729
2017-09-24	0.718528616094
2017-09-25	1.53888922125
2017-09-26	2.30058195762
2017-09-27	1.96159976119
2017-09-28	1.45951749731
2017-09-29	1.32547554495
2017-09-30	0.0391243395864
2017-10-01	-0.414879224215
2017-10-02	-0.517252105636
2017-10-03	-1.01039640306
2017-10-04	-0.689202558213
2017-10-05	-1.31894332068
2017-10-06	-2.08712793687
2017-10-07	-2.01326467058
2017-10-08	-1.75280784376
2017-10-09	-1.0776998825
2017-10-10	-1.39578145435
2017-10-11	-1.44736112165
2017-10-12	-0.767004927631
2017-10-13	-0.441995798012
2017-10-14	-0.296235905085
2017-10-15	0.0152914916333
2017-10-16	-0.0317212686599
2017-10-17	0.000611545594714
2017-10-18	-0.489618303291
2017-10-19	-0.681915367087
2017-10-20	-0.373291699346
2017-10-21	-0.362140585747
2017-10-22	-0.901135260183
2017-10-23	-1.77300623103
2017-10-24	-1.46150076014
2017-10-25	-1.55140455367
2017-10-26	-1.62664653115
2017-10-27	-0.908264917846
2017-10-28	-0.886550929141
2017-10-29	-0.682503694841
2017-10-30	-0.366220040121
2017-10-31	-0.496196492984
2017-11-01	-0.583377753653
2017-11-02	-0.203391069274
2017-11-03	-0.777574500037
2017-11-04	0.0569976259493
2017-11-05	0.886845441475
2017-11-06	1.40693831631
2017-11-07	2.02301583253
2017-11-08	2.03314962709
2017-11-09	2.18137860372
2017-11-10	4.03853865052
2017-11-11	2.27159546151
2017-11-12	-0.02417869164
2017-11-13	0.0652000343746
2017-11-14	1.23930175165
2017-11-15	0.646096766601
2017-11-16	0.824623777289
2017-11-17	0.903463045981
2017-11-18	0.913930975763
2017-11-19	1.54010421425
2017-11-20	1.04351998789
2017-11-21	0.45204601229
2017-11-22	0.029761324909
2017-11-23	-0.362775419317
2017-11-24	-0.66988388551
2017-11-25	-0.547825974585
2017-11-26	-0.133456057572
2017-11-27	-0.157826428418
2017-11-28	-0.037015442732
2017-11-29	0.780123544682
2017-11-30	0.778222849253
2017-12-01	0.227471033775
2017-12-02	0.288139480236
2017-12-03	-0.58952041042
2017-12-04	-0.51108791384
2017-12-05	-0.804012935253
2017-12-06	-1.39125920232
2017-12-07	-1.63046263411
2017-12-08	-0.686823205394
2017-12-09	-0.827843661452
2017-12-10	-0.147283409642
2017-12-11	0.785516440947
2017-12-12	0.658384379966
2017-12-13	0.642293228582
2017-12-14	1.53530180643
2017-12-15	1.65316447929
2017-12-16	1.79965076085
2017-12-17	1.24403124234
2017-12-18	0.694650499889
2017-12-19	0.438698057548
2017-12-20	0.4308392858
2017-12-21	0.0163776832673
2017-12-22	0.148307588158
2017-12-23	0.231607052673
2017-12-24	0.544227292913
2017-12-25	0.60626861134
2017-12-26	0.94154249718
2017-12-27	0.265322914818
2017-12-28	0.0737430094519
2017-12-29	-0.380925913185
2017-12-30	-0.760826378783
2017-12-31	-0.612130525311
2018-01-01	-0.57980059183
2018-01-02	-0.752433245799
2018-01-03	-0.63027235459
2018-01-04	-0.592325897284
2018-01-05	-0.612101816443
2018-01-06	-0.284132794408
2018-01-07	-0.166721533521
2018-01-08	0.191260020279
2018-01-09	0.266048687809
2018-01-10	0.501162088138
2018-01-11	0.66290884775
2018-01-12	0.94517755215
2018-01-13	0.958531721288
