Date	Materials
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	
2018-01-11	
2018-01-12	
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	
2018-01-17	
2018-01-18	
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	
2018-02-08	
2018-02-09	
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	
2018-03-27	
2018-03-28	
2018-03-29	
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	-0.0939298722984
2018-05-03	0.0500410796063
2018-05-04	0.0637920417212
2018-05-05	0.042591821941
2018-05-06	0.045775471941
2018-05-07	-0.0605591187916
2018-05-08	-0.0775171330957
2018-05-09	-0.052608627051
2018-05-10	-0.145311854713
2018-05-11	-0.161348409887
2018-05-12	-0.143641742488
2018-05-13	-0.121939409155
2018-05-14	-0.031545239347
2018-05-15	0.0716101301104
2018-05-16	0.0647797243293
2018-05-17	0.0485542152384
2018-05-18	0.035421547825
2018-05-19	0.0139172930631
2018-05-20	0.0219331597297
2018-05-21	0.00975045503396
2018-05-22	-0.691871116113
2018-05-23	-0.704097428419
2018-05-24	-0.703108273464
2018-05-25	-0.691718488774
2018-05-26	-0.709273161903
2018-05-27	-0.672835311903
2018-05-28	-0.660970517634
2018-05-29	
2018-05-30	
2018-05-31	-0.0623143475137
2018-06-01	-0.0355119939448
2018-06-02	-0.0741455882622
2018-06-03	-0.149504825405
2018-06-04	-0.130984833721
2018-06-05	-0.309680211921
2018-06-06	-0.28159888546
2018-06-07	-0.386607948201
2018-06-08	-0.406099450607
2018-06-09	-0.424280802392
2018-06-10	-0.452161750964
2018-06-11	-0.423945870972
2018-06-12	-0.335799075968
2018-06-13	-0.20325044558
2018-06-14	-0.237246094291
2018-06-15	-0.23583503318
2018-06-16	-0.162145404609
2018-06-17	-0.270749235221
2018-06-18	-0.295613019312
2018-06-19	-0.272944248021
2018-06-20	-0.361220679978
2018-06-21	-0.349569125405
2018-06-22	-0.347539606517
2018-06-23	-0.389207574269
2018-06-24	-0.125793849666
2018-06-25	-0.124989456611
2018-06-26	-0.158836696443
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	-0.202411942959
2018-07-04	-0.215972125408
2018-07-05	-0.190698310754
2018-07-06	-0.189210746944
2018-07-07	-0.167838285833
2018-07-08	-0.146964053928
2018-07-09	-0.237356618729
2018-07-10	-0.357111537281
2018-07-11	-0.22485948332
2018-07-12	-0.195991702855
2018-07-13	-0.197449046811
2018-07-14	-0.164812600893
2018-07-15	-0.105289551845
2018-07-16	-0.0144704774417
2018-07-17	0.0518743619828
2018-07-18	0.0417320230066
2018-07-19	0.0702846442052
2018-07-20	0.0624882409085
2018-07-21	0.0628735896181
2018-07-22	0.0880022896181
2018-07-23	-0.176491688187
2018-07-24	-0.354885750056
2018-07-25	-0.696978355874
2018-07-26	-0.734181474471
2018-07-27	-0.725791514871
2018-07-28	-0.741970084175
2018-07-29	-0.771028905604
2018-07-30	
2018-07-31	
2018-08-01	
2018-08-02	
2018-08-03	
2018-08-04	
2018-08-05	
2018-08-06	-0.0490147058978
2018-08-07	-0.153589386186
2018-08-08	-0.153856966648
2018-08-09	-0.171863985696
2018-08-10	-0.269478461325
2018-08-11	-0.225711987299
2018-08-12	-0.225657549799
2018-08-13	-0.326233032648
2018-08-14	-0.469712344668
2018-08-15	-0.474805236357
2018-08-16	-0.488492077627
2018-08-17	-0.568262081548
2018-08-18	-0.519524945574
2018-08-19	-0.540832825931
2018-08-20	-0.545632175704
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	
2018-09-20	
2018-09-21	
2018-09-22	
2018-09-23	
2018-09-24	
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	-0.881445036886
2018-10-10	-0.864784184088
2018-10-11	-0.830243310853
2018-10-12	-0.813614305285
2018-10-13	-0.810938985483
2018-10-14	-0.80323704936
2018-10-15	-0.560243326472
2018-10-16	-0.365314770203
2018-10-17	-0.361660426978
2018-10-18	-0.468040439209
2018-10-19	-0.476633494439
2018-10-20	-0.473652971912
2018-10-21	-0.471316767714
2018-10-22	-0.549728301811
2018-10-23	-0.549229504889
2018-10-24	-0.536139096068
2018-10-25	
2018-10-26	-0.311797563808
2018-10-27	-0.307640278781
2018-10-28	-0.299834273867
2018-10-29	-0.322305470534
2018-10-30	-0.323351602725
2018-10-31	-0.207215360322
2018-11-01	-0.135106227308
2018-11-02	-0.0438205793054
2018-11-03	-0.0446576152487
2018-11-04	-0.0663978229852
2018-11-05	-0.201156779814
2018-11-06	-0.207282048351
2018-11-07	-0.25486122113
2018-11-08	-0.382701436758
2018-11-09	-0.375519987287
2018-11-10	-0.383765644517
2018-11-11	-0.38371184032
2018-11-12	-0.467254020676
2018-11-13	-0.678369650855
2018-11-14	-0.679742439008
2018-11-15	-0.701748068899
2018-11-16	-0.721457588467
2018-11-17	-0.735221897405
2018-11-18	-0.758617497372
2018-11-19	-0.988683996161
2018-11-20	-0.994572133235
2018-11-21	-0.9981084777
2018-11-22	-0.983337548189
2018-11-23	-0.970295741664
2018-11-24	-0.959245621724
2018-11-25	-0.925397108395
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	
2018-12-03	
2018-12-04	
2018-12-05	
2018-12-06	
2018-12-07	-0.202171280235
2018-12-08	-0.197648778648
2018-12-09	-0.185528297695
2018-12-10	-0.156939396755
2018-12-11	-0.137497803473
2018-12-12	-0.147256276662
2018-12-13	-0.162226848942
2018-12-14	
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	-0.0573334895756
2018-12-19	-0.0576355343375
2018-12-20	-0.038570703327
2018-12-21	-0.0631450204266
2018-12-22	-0.0871922357628
2018-12-23	-0.0695475103659
2018-12-24	-0.0729676036839
2018-12-25	
2018-12-26	
2018-12-27	
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	-0.553204029845
2019-01-07	-0.584816532958
2019-01-08	-0.552635155469
2019-01-09	-0.551742726897
2019-01-10	-0.555217887629
2019-01-11	-0.545810976915
2019-01-12	-0.540093745031
2019-01-13	
2019-01-14	
2019-01-15	
2019-01-16	
2019-01-17	
2019-01-18	
2019-01-19	
2019-01-20	
2019-01-21	
2019-01-22	
2019-01-23	
2019-01-24	
2019-01-25	-0.503627226781
2019-01-26	-0.51912284933
2019-01-27	-0.505532607655
2019-01-28	-0.47601068612
2019-01-29	-0.47445809312
2019-01-30	-0.475278142062
2019-01-31	-0.455784318873
2019-02-01	
2019-02-02	
2019-02-03	
2019-02-04	-0.623788531274
2019-02-05	-0.625446262621
2019-02-06	-0.619752006537
2019-02-07	-0.643200313003
2019-02-08	-0.67591249512
2019-02-09	-0.677047656775
2019-02-10	-0.673475146298
2019-02-11	
2019-02-12	
2019-02-13	
2019-02-14	-0.0344958233391
2019-02-15	-0.0311635098471
2019-02-16	-0.0214910590773
2019-02-17	-0.0849289889674
2019-02-18	-0.0992806501395
2019-02-19	-0.109425376977
2019-02-20	-0.0923613503426
2019-02-21	-0.127509084611
2019-02-22	-0.109405430155
2019-02-23	-0.116596804985
2019-02-24	0.00808531111667
2019-02-25	0.0489374795803
2019-02-26	0.0484271300289
2019-02-27	0.0215199079058
2019-02-28	0.00114196164002
2019-03-01	-0.00199872093455
2019-03-02	0.012424702875
2019-03-03	
2019-03-04	
2019-03-05	
2019-03-06	
2019-03-07	
