Date	CAD
2017-01-01	-2.21300836136
2017-01-02	-2.10123267485
2017-01-03	-0.344157152411
2017-01-04	-0.4697250312
2017-01-05	-0.584819002542
2017-01-06	-0.592065905216
2017-01-07	-0.59806211045
2017-01-08	-1.17927957371
2017-01-09	-1.19103582797
2017-01-10	-1.33635887297
2017-01-11	-1.14789845198
2017-01-12	-1.16280130656
2017-01-13	-1.02594414785
2017-01-14	-0.766265273598
2017-01-15	
2017-01-16	
2017-01-17	
2017-01-18	-5.63748241312
2017-01-19	-5.65374444449
2017-01-20	-5.68299687536
2017-01-21	-5.8640082783
2017-01-22	-6.06478281234
2017-01-23	-6.11615726046
2017-01-24	-6.36151594513
2017-01-25	
2017-01-26	
2017-01-27	-0.579351699385
2017-01-28	-0.754883737441
2017-01-29	-0.92582274537
2017-01-30	-1.00255594124
2017-01-31	-0.984798044631
2017-02-01	-0.708300816478
2017-02-02	-0.785650902475
2017-02-03	-1.437874126
2017-02-04	-1.51791387435
2017-02-05	-1.54771699979
2017-02-06	-1.49835411895
2017-02-07	-1.50103872381
2017-02-08	-1.60727040016
2017-02-09	-1.58740558029
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	-0.335435559246
2017-02-16	-0.302233059782
2017-02-17	-0.121432279786
2017-02-18	0.0683738278216
2017-02-19	-0.0946532673913
2017-02-20	-0.337111182937
2017-02-21	-0.339696324265
2017-02-22	0.230507440221
2017-02-23	0.292453687145
2017-02-24	0.0430539155806
2017-02-25	0.0113114476515
2017-02-26	-0.138840562405
2017-02-27	0.242873139914
2017-02-28	0.198809857298
2017-03-01	
2017-03-02	
2017-03-03	0.793219170876
2017-03-04	1.18274492602
2017-03-05	1.4742104238
2017-03-06	1.65979742652
2017-03-07	1.73982735065
2017-03-08	1.77574584947
2017-03-09	2.07296482027
2017-03-10	0.245054794743
2017-03-11	-0.115723355121
2017-03-12	-0.251037810672
2017-03-13	-2.3399652514
2017-03-14	-2.26641875583
2017-03-15	-2.39029142976
2017-03-16	-2.74717284737
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
