Date	Financials
2017-01-01	-0.2472346976
2017-01-02	-0.238111898204
2017-01-03	-0.274447395065
2017-01-04	-0.27617077997
2017-01-05	-0.280081237736
2017-01-06	-0.277943216947
2017-01-07	-0.255184392853
2017-01-08	-0.292948471867
2017-01-09	-0.278321905175
2017-01-10	-0.298090876609
2017-01-11	-0.271470314375
2017-01-12	-0.28719082565
2017-01-13	-0.287269149523
2017-01-14	-0.274305812305
2017-01-15	-0.284427309077
2017-01-16	-0.317507312981
2017-01-17	-0.309999784987
2017-01-18	-0.306414952901
2017-01-19	-0.291506418883
2017-01-20	-0.29218237265
2017-01-21	-0.295423202793
2017-01-22	-0.302282354528
2017-01-23	-0.296898953778
2017-01-24	-0.286036387333
2017-01-25	-0.263403369215
2017-01-26	-0.26485567077
2017-01-27	-0.241139264137
2017-01-28	-0.252911979215
2017-01-29	-0.253096451183
2017-01-30	-0.234576933438
2017-01-31	-0.241563979232
2017-02-01	-0.282829726163
2017-02-02	-0.268812127363
2017-02-03	-0.261694232091
2017-02-04	-0.267288398574
2017-02-05	-0.255544291562
2017-02-06	-0.291428184808
2017-02-07	-0.307015653691
2017-02-08	-0.269582905737
2017-02-09	-0.317998683892
2017-02-10	-0.329238863329
2017-02-11	-0.35665140074
2017-02-12	-0.399107510061
2017-02-13	-0.381568342666
2017-02-14	-0.388451960273
2017-02-15	-0.412023280068
2017-02-16	-0.384424750158
2017-02-17	-0.417645772877
2017-02-18	-0.386262229166
2017-02-19	-0.33662719626
2017-02-20	-0.344187415609
2017-02-21	-0.332894326826
2017-02-22	-0.323932974782
2017-02-23	-0.36013417774
2017-02-24	-0.338253951041
2017-02-25	-0.354107773795
2017-02-26	-0.356269166472
2017-02-27	-0.302858016929
2017-02-28	-0.280067556942
2017-03-01	-0.255834386722
2017-03-02	-0.194174442859
2017-03-03	-0.169000615481
2017-03-04	-0.0915577599696
2017-03-05	-0.0037082707624
2017-03-06	-0.0196844464989
2017-03-07	-0.0300374466986
2017-03-08	-0.0276844641215
2017-03-09	-0.0395336508078
2017-03-10	-0.066975963648
2017-03-11	-0.15102381682
2017-03-12	-0.23662251731
2017-03-13	-0.244640557378
2017-03-14	-0.219130357975
2017-03-15	-0.231698538791
2017-03-16	-0.238186938506
2017-03-17	-0.25236675416
2017-03-18	-0.221684196788
2017-03-19	-0.154209607034
2017-03-20	-0.149270266491
2017-03-21	-0.19314885919
2017-03-22	-0.208826828035
2017-03-23	-0.185153424784
2017-03-24	-0.178489025846
2017-03-25	-0.190712065059
2017-03-26	-0.234233128449
2017-03-27	-0.232322474555
2017-03-28	-0.211694961044
2017-03-29	-0.168080741712
2017-03-30	-0.20075723135
2017-03-31	-0.186332773428
2017-04-01	-0.159798154401
2017-04-02	-0.146055308625
2017-04-03	-0.177309797567
2017-04-04	-0.189248601822
2017-04-05	-0.262877303705
2017-04-06	-0.26349569025
2017-04-07	-0.270948453461
2017-04-08	-0.295308876563
2017-04-09	-0.404450698466
2017-04-10	-0.368744291107
2017-04-11	-0.352215375197
2017-04-12	-0.279238178036
2017-04-13	-0.307714948955
2017-04-14	-0.355283376517
2017-04-15	-0.375111053275
2017-04-16	-0.312313996279
2017-04-17	-0.363910833205
2017-04-18	-0.418419009411
2017-04-19	-0.432063342882
2017-04-20	-0.381529891155
2017-04-21	-0.285005425502
2017-04-22	-0.28249743477
2017-04-23	-0.269650430788
2017-04-24	-0.224887509181
2017-04-25	-0.193553584585
2017-04-26	-0.208883885549
2017-04-27	-0.176782285823
2017-04-28	-0.253002051266
2017-04-29	-0.242178426853
2017-04-30	-0.285475608587
2017-05-01	-0.266469600262
2017-05-02	-0.304413710051
2017-05-03	-0.272835718768
2017-05-04	-0.29386167822
2017-05-05	-0.211741823666
2017-05-06	-0.225292538639
2017-05-07	-0.156914859219
2017-05-08	-0.136920673222
2017-05-09	-0.0503505302001
2017-05-10	-0.0479367794616
2017-05-11	-0.0291384887113
2017-05-12	-0.0532001239893
2017-05-13	-0.00890245492384
2017-05-14	-0.0683069331977
2017-05-15	-0.0946282266032
2017-05-16	-0.0661038009102
2017-05-17	-0.123756999004
2017-05-18	-0.132895152825
2017-05-19	-0.10560823336
2017-05-20	-0.153062668727
2017-05-21	-0.0907823485003
2017-05-22	-0.0922655109046
2017-05-23	-0.139074710531
2017-05-24	-0.0238649334707
2017-05-25	-0.0146800524417
2017-05-26	-0.0385556470351
2017-05-27	-0.102611326088
2017-05-28	-0.111051122204
2017-05-29	-0.104280905195
2017-05-30	-0.136533063989
2017-05-31	-0.190328723646
2017-06-01	-0.20586706362
2017-06-02	-0.176940769979
2017-06-03	-0.0990294950287
2017-06-04	-0.100371062299
2017-06-05	-0.0526513221239
2017-06-06	-0.0457333605106
2017-06-07	-0.0512586403405
2017-06-08	-0.0737936158124
2017-06-09	-0.121355833231
2017-06-10	-0.17269229979
2017-06-11	-0.174107254964
2017-06-12	-0.235920125932
2017-06-13	-0.210432446288
2017-06-14	-0.198565863167
2017-06-15	-0.14223519355
2017-06-16	-0.115828955247
2017-06-17	-0.133464959991
2017-06-18	-0.192105788184
2017-06-19	-0.230735308463
2017-06-20	-0.262513018605
2017-06-21	-0.248929498497
2017-06-22	-0.275562504242
2017-06-23	-0.278807539871
2017-06-24	-0.271373265103
2017-06-25	-0.211238087307
2017-06-26	-0.191028879894
2017-06-27	-0.181229349444
2017-06-28	-0.110426244941
2017-06-29	-0.109146782245
2017-06-30	-0.118944842249
2017-07-01	-0.113051769376
2017-07-02	-0.206400394401
2017-07-03	-0.118793984482
2017-07-04	-0.108267803286
2017-07-05	-0.128847079683
2017-07-06	-0.0810496706395
2017-07-07	-0.0611797927326
2017-07-08	-0.0295319500168
2017-07-09	0.0151058892204
2017-07-10	-0.0695804788364
2017-07-11	-0.0772147161807
2017-07-12	-0.0684938055211
2017-07-13	-0.172747462594
2017-07-14	-0.198257026241
2017-07-15	-0.298475097152
2017-07-16	-0.325068562422
2017-07-17	-0.295937978909
2017-07-18	-0.312282563642
2017-07-19	-0.343754040199
2017-07-20	-0.29436743586
2017-07-21	-0.291506166376
2017-07-22	-0.255664076378
2017-07-23	-0.219215588232
2017-07-24	-0.257940363498
2017-07-25	-0.219922373307
2017-07-26	-0.238028714353
2017-07-27	-0.242778171883
2017-07-28	-0.220628565394
2017-07-29	-0.215276182252
2017-07-30	-0.225231845624
2017-07-31	-0.15747495646
2017-08-01	-0.180029648592
2017-08-02	-0.11125214678
2017-08-03	-0.102366156636
2017-08-04	-0.102660369994
2017-08-05	-0.0911696655183
2017-08-06	-0.137148647602
2017-08-07	-0.148358080183
2017-08-08	-0.125633310096
2017-08-09	-0.16802503013
2017-08-10	-0.145355616595
2017-08-11	-0.149266622887
2017-08-12	-0.160066081341
2017-08-13	-0.110846390694
2017-08-14	-0.0650259473177
2017-08-15	-0.0992478947617
2017-08-16	-0.196281976206
2017-08-17	-0.247370985023
2017-08-18	-0.244272229841
2017-08-19	-0.25171466278
2017-08-20	-0.210176264754
2017-08-21	-0.203041188379
2017-08-22	-0.165653675376
2017-08-23	-0.0772520458544
2017-08-24	-0.0358197720784
2017-08-25	-0.0474117452912
2017-08-26	0.0130892723756
2017-08-27	0.02479650479
2017-08-28	-0.0727211694617
2017-08-29	-0.0563183455688
2017-08-30	-0.117181295195
2017-08-31	-0.164647704598
2017-09-01	-0.15834572945
2017-09-02	-0.145325696614
2017-09-03	-0.130168789842
2017-09-04	-0.0680114651598
2017-09-05	-0.139738306855
2017-09-06	-0.119983244227
2017-09-07	-0.0975193599035
2017-09-08	-0.138267152175
2017-09-09	-0.144306007853
2017-09-10	-0.122254796394
2017-09-11	-0.154710320484
2017-09-12	-0.161609415427
2017-09-13	-0.118901125638
2017-09-14	-0.116324637599
2017-09-15	-0.0653553123002
2017-09-16	-0.123584736794
2017-09-17	-0.12426855841
2017-09-18	-0.100530961138
2017-09-19	-0.0733740013903
2017-09-20	-0.085887133632
2017-09-21	-0.0866357291474
2017-09-22	-0.0868290279935
2017-09-23	-0.0247784482502
2017-09-24	-0.0316970545584
2017-09-25	-0.0583252879424
2017-09-26	-0.0568268818886
2017-09-27	-0.0710108023455
2017-09-28	-0.0566553520701
2017-09-29	-0.0647139764302
2017-09-30	-0.0819299367422
2017-10-01	-0.091742601902
2017-10-02	-0.069969493347
2017-10-03	-0.0517886971182
2017-10-04	-0.0462900375466
2017-10-05	-0.0503722705335
2017-10-06	-0.0456591085244
2017-10-07	-0.0226192700776
2017-10-08	-0.0831941986473
2017-10-09	-0.103126445393
2017-10-10	-0.112621342322
2017-10-11	-0.118949585548
2017-10-12	-0.160311349337
2017-10-13	-0.199640583774
2017-10-14	-0.21809501899
2017-10-15	-0.153688442386
2017-10-16	-0.178629264177
2017-10-17	-0.198035134849
2017-10-18	-0.239176143558
2017-10-19	-0.234822885448
2017-10-20	-0.267890269775
2017-10-21	-0.279904813667
2017-10-22	-0.271351527608
2017-10-23	-0.236302826041
2017-10-24	-0.223613488359
2017-10-25	-0.202235204142
2017-10-26	-0.182701425187
2017-10-27	-0.186838784779
2017-10-28	-0.150521126882
2017-10-29	-0.112524320769
2017-10-30	-0.134966634664
2017-10-31	-0.169973100964
2017-11-01	-0.149189571482
2017-11-02	-0.15660627254
2017-11-03	-0.135754860655
2017-11-04	-0.0761938679119
2017-11-05	-0.073393170266
2017-11-06	-0.0688371420039
2017-11-07	-0.0612411141596
2017-11-08	-0.0911201388423
2017-11-09	-0.120572575942
2017-11-10	-0.0711943138082
2017-11-11	-0.128301271584
2017-11-12	-0.192776962224
2017-11-13	-0.178708438404
2017-11-14	-0.144558701407
2017-11-15	-0.11712405514
2017-11-16	-0.0329739934953
2017-11-17	-0.0742093839664
2017-11-18	-0.0623612073569
2017-11-19	-0.0574447148836
2017-11-20	-0.0517626251162
2017-11-21	-0.0817638017181
2017-11-22	-0.063282438239
2017-11-23	-0.0639078034524
2017-11-24	-0.0646146117095
2017-11-25	-0.0596848270658
2017-11-26	-0.0720615940031
2017-11-27	-0.0601448870259
2017-11-28	-0.0347807068175
2017-11-29	-0.0523584343423
2017-11-30	-0.0795940066751
2017-12-01	-0.113155472101
2017-12-02	-0.15518413176
2017-12-03	-0.1501562153
2017-12-04	-0.183710709961
2017-12-05	-0.236812600462
2017-12-06	-0.19876512833
2017-12-07	-0.191345368619
2017-12-08	-0.153633887162
2017-12-09	-0.0992995275846
2017-12-10	-0.156939888234
2017-12-11	-0.107949594128
2017-12-12	-0.038618340548
2017-12-13	-0.113905987277
2017-12-14	-0.124444550632
2017-12-15	-0.126029539991
2017-12-16	-0.127428910221
2017-12-17	-0.0712561581426
2017-12-18	-0.0933846495636
2017-12-19	-0.131141652112
2017-12-20	-0.0974613692665
2017-12-21	-0.096758979923
2017-12-22	-0.110121565537
2017-12-23	-0.118393290388
2017-12-24	-0.128920979268
2017-12-25	-0.0629560743324
2017-12-26	-0.0511782996445
2017-12-27	-0.132827514479
2017-12-28	-0.1454420988
2017-12-29	-0.215786324787
2017-12-30	-0.235290930022
2017-12-31	-0.233158669641
2018-01-01	-0.318411862712
2018-01-02	-0.322441070291
2018-01-03	-0.241452597033
2018-01-04	-0.246220567461
2018-01-05	-0.152538806262
2018-01-06	-0.137554893897
2018-01-07	-0.16795891576
2018-01-08	-0.221197088274
2018-01-09	-0.210824539976
2018-01-10	-0.217860835939
2018-01-11	-0.252212204477
2018-01-12	-0.260091511503
2018-01-13	-0.24233484518
2018-01-14	-0.126132328328
2018-01-15	-0.0703919646791
2018-01-16	-0.0909248432529
2018-01-17	-0.103818236983
2018-01-18	-0.0973240764549
2018-01-19	-0.0973724586405
2018-01-20	-0.0741083458715
2018-01-21	-0.122416156297
2018-01-22	-0.179400477193
2018-01-23	-0.17591860391
2018-01-24	-0.186143014797
2018-01-25	-0.174706087435
2018-01-26	-0.175242017649
2018-01-27	-0.188954425808
2018-01-28	-0.269323789827
2018-01-29	-0.252398177699
2018-01-30	-0.246947482642
2018-01-31	-0.22208203815
