Date	UK
2017-01-01	-0.0598115707642
2017-01-02	-0.139101307098
2017-01-03	-0.275644390364
2017-01-04	0.504325804897
2017-01-05	0.826129791225
2017-01-06	0.631946914442
2017-01-07	1.62583777704
2017-01-08	0.503065791339
2017-01-09	0.703016953428
2017-01-10	0.235949061143
2017-01-11	0.14949811223
2017-01-12	0.516954850384
2017-01-13	0.36658777689
2017-01-14	-0.761854013084
2017-01-15	-0.476871447358
2017-01-16	-0.717588193832
2017-01-17	-0.763704492665
2017-01-18	-0.726770850969
2017-01-19	-1.09801185248
2017-01-20	-1.09220724055
2017-01-21	-0.779354962124
2017-01-22	-1.31571906601
2017-01-23	-0.420777368467
2017-01-24	0.29413762771
2017-01-25	0.652854864181
2017-01-26	0.434335816079
2017-01-27	1.23618202839
2017-01-28	1.28457697058
2017-01-29	1.50397637076
2017-01-30	0.1500522399
2017-01-31	0.284791137017
2017-02-01	0.00504392388562
2017-02-02	0.0340858185266
2017-02-03	-0.795938737292
2017-02-04	-0.713039655146
2017-02-05	-0.805073350483
2017-02-06	-0.803067119133
2017-02-07	-0.94958535861
2017-02-08	-0.767281198128
2017-02-09	-0.502422896772
2017-02-10	-0.187668238842
2017-02-11	-0.222038991565
2017-02-12	-0.29521830213
2017-02-13	0.643316257688
2017-02-14	0.540096306741
2017-02-15	0.818719821542
2017-02-16	0.884614034726
2017-02-17	0.337935417416
2017-02-18	0.192828620504
2017-02-19	0.484178683684
2017-02-20	-1.48588675391
2017-02-21	-1.47260935881
2017-02-22	-0.512624050706
2017-02-23	-0.584903782115
2017-02-24	-0.0414153841731
2017-02-25	0.1747813946
2017-02-26	-0.226567741918
2017-02-27	0.935498415233
2017-02-28	0.168375923868
2017-03-01	-0.522494153428
2017-03-02	-0.425113180596
2017-03-03	0.890828714428
2017-03-04	0.668199297667
2017-03-05	1.09521946542
2017-03-06	0.612618849076
2017-03-07	1.50263098123
2017-03-08	3.01046601645
2017-03-09	2.22617108269
2017-03-10	1.06648831909
2017-03-11	1.127268386
2017-03-12	0.572690764799
2017-03-13	-0.0239388422152
2017-03-14	0.961592809992
2017-03-15	0.820075109177
2017-03-16	0.523523480847
2017-03-17	0.305159353762
2017-03-18	0.235147292678
2017-03-19	-0.0455597658055
2017-03-20	0.240057009301
2017-03-21	-0.073597022929
2017-03-22	-0.589189561252
2017-03-23	-1.24254130219
2017-03-24	-1.08470535287
2017-03-25	-1.17010084152
2017-03-26	-0.822481895456
2017-03-27	-0.687107621455
2017-03-28	-1.65004722411
2017-03-29	-0.836273460334
2017-03-30	0.114497150478
2017-03-31	-0.0928937655281
2017-04-01	-0.311326054749
2017-04-02	-0.524834807028
2017-04-03	0.329301523424
2017-04-04	0.431720166177
2017-04-05	0.806803382245
2017-04-06	0.843694437154
2017-04-07	0.295505683634
2017-04-08	0.358683985782
2017-04-09	0.327735181416
2017-04-10	0.496642535959
2017-04-11	0.176827797625
2017-04-12	-0.0398414044606
2017-04-13	0.00863042660444
2017-04-14	0.415842011886
2017-04-15	0.524735117018
2017-04-16	0.688392809507
2017-04-17	-0.526115611675
2017-04-18	-1.7638284587
2017-04-19	-1.85176836733
2017-04-20	-1.97093530853
2017-04-21	-1.03472109883
2017-04-22	-0.941269564477
2017-04-23	-0.611279165444
2017-04-24	0.890263563117
2017-04-25	1.54123798972
2017-04-26	1.55215683276
2017-04-27	1.54329819269
2017-04-28	1.6139318947
2017-04-29	1.43244817863
2017-04-30	1.65227940013
2017-05-01	1.25755363176
2017-05-02	1.40415140668
2017-05-03	1.09653352218
2017-05-04	-0.914406316299
2017-05-05	0.279788369984
2017-05-06	0.0133714899392
2017-05-07	0.126358152021
2017-05-08	-0.108708747644
2017-05-09	0.304522354078
2017-05-10	-0.335781607931
2017-05-11	0.515827979973
2017-05-12	-0.641718716893
2017-05-13	-0.508156316697
2017-05-14	-0.560793727681
2017-05-15	-1.04815556035
2017-05-16	-1.31823544182
2017-05-17	-1.08015634758
2017-05-18	-1.1437401774
2017-05-19	-1.33491713912
2017-05-20	-1.65241861228
2017-05-21	-1.67288629844
2017-05-22	-1.08876016118
