Date	Consumer Staples
2018-08-17	
2018-08-18	
2018-08-19	
2018-08-20	0.157831371746
2018-08-21	0.154567853557
2018-08-22	0.152775265178
2018-08-23	0.148587271708
2018-08-24	0.144387875062
2018-08-25	0.14060479386
2018-08-26	0.135190323842
2018-08-27	0.138087082015
2018-08-28	0.132313412146
2018-08-29	-0.136776763183
2018-08-30	-0.13719422509
2018-08-31	-0.138267691041
2018-09-01	-0.146520636131
2018-09-02	-0.158986703866
2018-09-03	-0.164872708403
2018-09-04	-0.17492580513
2018-09-05	-0.179125552965
2018-09-06	-0.180010251838
2018-09-07	-0.181743425328
2018-09-08	-0.188708237258
2018-09-09	-0.201860635781
2018-09-10	-0.203976238924
2018-09-11	-0.206815952709
2018-09-12	-0.210403675961
2018-09-13	-0.212481786959
2018-09-14	-0.214664483886
2018-09-15	-0.220829516782
2018-09-16	-0.228209157961
2018-09-17	-0.225015987726
2018-09-18	-0.221029144099
2018-09-19	-0.491424166154
2018-09-20	-0.491877875081
2018-09-21	-0.494558361764
2018-09-22	-0.49675725516
2018-09-23	-0.500769472969
2018-09-24	-0.499499333609
2018-09-25	-0.495733327146
2018-09-26	-0.498545212287
2018-09-27	-0.496552412636
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	
2018-10-19	
2018-10-20	
2018-10-21	
2018-10-22	
2018-10-23	
2018-10-24	
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	
2018-11-01	
2018-11-02	
2018-11-03	
2018-11-04	
2018-11-05	
2018-11-06	
2018-11-07	
2018-11-08	
2018-11-09	
2018-11-10	
2018-11-11	
2018-11-12	
2018-11-13	
2018-11-14	
2018-11-15	
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	
2018-11-21	
2018-11-22	
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	-0.173927994512
2018-11-28	-0.176572209997
2018-11-29	-0.176548645228
2018-11-30	-0.178803332378
2018-12-01	-0.185318715766
