Date	AUD
2017-01-01	-0.443640622682
2017-01-02	0.285231303276
2017-01-03	0.600850597955
2017-01-04	-0.0566537056255
2017-01-05	-0.321752068561
2017-01-06	-0.404755024023
2017-01-07	-0.240296775055
2017-01-08	-0.467258047583
2017-01-09	
2017-01-10	
2017-01-11	-1.38152539577
2017-01-12	-1.84249532235
2017-01-13	-1.82592750582
2017-01-14	-2.22930584706
2017-01-15	-2.31869010041
2017-01-16	-1.76759381439
2017-01-17	-1.80056033186
2017-01-18	-1.91412681624
2017-01-19	-1.26143696438
2017-01-20	-1.86293558715
2017-01-21	-1.42498515728
2017-01-22	-1.25372793504
2017-01-23	-1.89562237824
2017-01-24	-2.06450946009
2017-01-25	-2.06798415379
2017-01-26	-2.20329942078
2017-01-27	-2.14865523079
2017-01-28	-2.48831789538
2017-01-29	-2.46218531787
2017-01-30	-2.94342060926
2017-01-31	-2.72992789357
2017-02-01	-2.36972908803
2017-02-02	-1.57279634966
2017-02-03	-1.55660537684
2017-02-04	-1.67352507139
2017-02-05	-1.59307410609
2017-02-06	-0.555274690913
2017-02-07	-0.532051895599
2017-02-08	-0.293184906645
2017-02-09	-0.222672771462
2017-02-10	0.573156408492
2017-02-11	1.02807194833
2017-02-12	0.812422144552
2017-02-13	-0.00738495445231
2017-02-14	0.100103616581
2017-02-15	-0.101155269755
2017-02-16	-0.143611894307
2017-02-17	0.113267442778
2017-02-18	-0.448822939616
2017-02-19	-0.136094853351
2017-02-20	-1.31253957769
2017-02-21	0.169123144798
2017-02-22	-0.968149159089
2017-02-23	-0.864017671947
2017-02-24	-0.636878511936
2017-02-25	-0.224304744267
2017-02-26	-0.321138144625
2017-02-27	-1.04064461934
2017-02-28	-1.34583616348
2017-03-01	-0.793508715108
2017-03-02	-0.986044138943
2017-03-03	-1.52966230895
2017-03-04	-1.27311540627
2017-03-05	-1.11436329076
2017-03-06	0.461608903839
2017-03-07	0.351016467597
2017-03-08	0.569417823925
2017-03-09	0.787361579684
2017-03-10	1.01245376996
2017-03-11	1.40560206762
2017-03-12	1.86279160991
2017-03-13	0.574772388037
2017-03-14	1.60428720894
2017-03-15	-0.477087437099
2017-03-16	-0.618597854535
2017-03-17	-0.611346276801
2017-03-18	-0.617177833982
2017-03-19	-0.480239190917
2017-03-20	-2.37132873622
2017-03-21	-2.24315209576
2017-03-22	-0.610073989231
2017-03-23	-0.374611176527
2017-03-24	-0.243560953995
2017-03-25	-0.456484610241
2017-03-26	-0.316736484918
2017-03-27	-0.0637471305313
2017-03-28	2.37714741888
2017-03-29	1.28777126786
2017-03-30	0.365549953538
2017-03-31	-0.0625042813405
2017-04-01	0.0558485424257
2017-04-02	-0.331683564369
2017-04-03	-0.416740881599
2017-04-04	-1.61144289051
2017-04-05	-1.61602226869
2017-04-06	-1.71659490921
2017-04-07	-1.9366317665
2017-04-08	-2.14159161092
2017-04-09	-2.9988696749
2017-04-10	-3.21950404039
2017-04-11	
2017-04-12	-1.56017400533
2017-04-13	-1.67878728404
2017-04-14	-1.74114011479
2017-04-15	-1.56622522148
2017-04-16	-1.99734722785
2017-04-17	-2.33573531286
2017-04-18	-2.30467860543
2017-04-19	-1.93306974224
2017-04-20	-2.03080247496
2017-04-21	-2.26262174017
2017-04-22	-2.42928105328
2017-04-23	-2.35117273742
2017-04-24	-2.00059356546
2017-04-25	-2.10466990487
2017-04-26	-2.85513816966
2017-04-27	-2.62119992521
2017-04-28	-2.46964859418
2017-04-29	-2.58348013913
2017-04-30	-2.1426322102
2017-05-01	-1.76108792377
2017-05-02	-0.488956630329
2017-05-03	-0.539741322301
