Date	Communication Services	Consumer Discretionary	Consumer Staples	Energy	Financials	Health Care	Industrials	Information Technology	Materials	Real Estate	Utilities
2017-01-01	0.167384659875	0.118967318906	-0.116812311477	-0.0390892279148	0.024356606646	0.102743880813	-0.147086162763	-0.0849783535515	-0.359286958569	0.065426528989	0.097672225556
2017-01-02	0.164415472379	0.0981223252124	-0.0961492343104	-0.0322244490916	0.0585261373696	0.106083250876	-0.139308543808	-0.0756939060804	-0.359881865964	0.0851796354788	0.105315774221
2017-01-03		0.101042129913	-0.147147170203	0.145061879308	0.0275728671421	0.0875573137152	-0.0909706930469	-0.0395550463022	-0.00445040726737	0.232023655197	0.140688491064
2017-01-04	0.141652725274	0.0780772564978	-0.183713578424	0.0224117605429	0.0833001571066	0.220880807973	-0.00277853654809	-0.0179042534781	0.35130869534		0.139196799155
2017-01-05	0.139632460914	0.0939895492706	-0.195197420192	0.0127432873334	0.09386431112	0.221082638877	0.0149440106194	0.0181866099074	0.243251152416		0.210141938674
2017-01-06	0.0298240740283	0.0359538353902	-0.0505966027231	-0.0673249980844	0.000378743838143	0.051773053243	-0.00176061257299	0.0303640969668	0.114371480071	-0.389317525053	-0.14176142993
2017-01-07	0.00915275722159	0.0466440581868	-0.0720347354263	-0.0706852665416	-0.0310734707741	0.0455402551769	-0.0136281000624	0.0174243396921	0.106084391801	-0.386160773803	-0.151651161707
2017-01-08	-0.0126182096263	-0.00252317912737	-0.0224714675518	-0.0730598654606	-0.0631320988211	0.0950602572316	-0.00794118122243	0.0207063408786	0.107528557727	-0.370362174517	-0.147621096672
2017-01-09	0.0113859824125	-0.00641298389182	-0.0202316721152	-0.0639685237665	-0.166631013725	0.0531297082682	0.00406784711911	-0.0265095724631	0.118464814507	-0.363310191198	0.0265042957107
2017-01-10	0.0146467474867	-0.0175539472957	0.065590113541	-0.228152048628	-0.141895545518	0.0517008414581	-0.0208763923821	-0.101920089169	0.0146937808023	-0.144933522286	-0.0580040873757
2017-01-11	-0.0973526045703	-0.0238855421528	0.0695731477149	-0.202523450341	-0.178271622742	-0.136894129197	-0.0854240707289	-0.0922548260853	0.0156664374088	-0.250441040932	-0.0547477422056
2017-01-12	-0.0992193327171	-0.00321650708126	0.112800266869	-0.188496993055	-0.167035975359	-0.103330519564	-0.116450031782	-0.0880707267253	0.0424973824257	-0.248288716204	-0.0560325184767
2017-01-13		-0.0128640065476	0.0126682763947	-0.219539023058	-0.164220715234	-0.093959121962	-0.137715385502	-0.0837062411894	0.108349146686	-0.156553613402	0.373195291122
2017-01-14		-0.0191862133479	0.0263434733551	-0.105869456605	-0.138028477844	-0.0873785064843	-0.0558239855799	-0.0760772148033	0.110854523565	-0.15883751806	0.383547632476
2017-01-15		-0.0616190400028	-0.03517483286	-0.19294929079	-0.17954663591	-0.226924308415	-0.131679709171	-0.181575884913	0.104358035889	-0.256956879902	-0.0362442629623
2017-01-16		-0.0382621242211	-0.0336149004125	-0.209160979674	-0.15990552759	-0.276674278139	-0.146546190221	-0.167523753293	0.0850747211005	-0.270973095296	-0.0762184254076
2017-01-17	0.256545280419	-0.0306724616383	-0.127810596501	-0.109722206502	-0.237191203015	-0.280000235882	-0.165415635479	-0.146009651488	0.0859993140898	-0.36541868554	-0.0387713390413
2017-01-18	0.262856609985	-0.0212138856403	-0.071193671155	-0.054698515786	-0.195203633386	-0.235413202479	-0.118346283315	-0.169248107287	0.125820270819	-0.296278963351	-0.064322086279
2017-01-19	0.253067131183	-0.039387908585	-0.0884308503562	-0.060656719434	-0.244701131439	-0.216663917574	-0.131811235225	-0.137441503876	0.0941756143939	-0.303129399459	-0.0694285669332
2017-01-20	-0.0843524665003	-0.003235918411	0.00911212901177	-0.0756624685549	-0.241617426688	-0.27345433599	-0.11838155676	-0.207952077375	-0.115841140515	-0.477598802462	-0.0804177743935
2017-01-21	-0.0864867118101	-0.026628845123	0.0214614192704	-0.105581071582	-0.281269882187	-0.280808573884	-0.187442636657	-0.0705886414701	-0.104093272186	-0.463131995329	-0.0821455340571
2017-01-22	-0.0844771246981	0.00608364003032	0.0248555653823	0.000610414709114	-0.258895645195	-0.247686376121	-0.149115862135	0.00333895103753	-0.114676915445		0.0330895538181
2017-01-23	-0.0739847218179	-0.00251393852059	0.0309839965688	0.0165149169051	-0.232382116949	-0.216477862027	-0.136837259117	0.00417707129076	-0.102607651384		-0.0344482517879
2017-01-24	-0.282107600388	-0.0187198786019	0.0186507390312	-0.136980819943	-0.214837814913	-0.253677696037	-0.107316344967	-0.0316395714173	-0.165702046434		-0.0590709978322
2017-01-25	-0.268038279184	0.0024314669303	0.0382167611778	-0.354903464451	-0.193045241194	-0.155604357376	-0.0893484326532	-0.0128468481874	-0.25580407233		0.0427062370787
2017-01-26	-0.249172017668	-0.0155488491282	0.109268426274	-0.280580043248	-0.176794115255	-0.253929821292	-0.12298074412	-0.0731729342584	-0.299993022087		0.0408177823389
2017-01-27	-0.173084869282	-0.0521374291015	0.00564571069543	-0.137470057982	-0.205753820027	-0.256139476512	-0.14203062164	-0.0373477482661	-0.281452020295		-0.172085517015
2017-01-28	-0.15832333203	0.029383358285	0.000940800447053	-0.135537776965	-0.226744255162	-0.240033821188	-0.14457866681	-0.192628709631	-0.32700768575		-0.163954352911
2017-01-29	-0.173914706677	0.0136959891866	-0.0139469038409	-0.133046472274	-0.22692872713	-0.247114017503	-0.15802651657	-0.194183883646	-0.328052029277	-0.209338590007	-0.164170176598
2017-01-30	-0.238304187538	0.0216605084313	-0.0371826162532	-0.0914141533743	-0.264260257835	-0.204778067773	-0.13610834682	-0.177419760711	-0.396828873173	-0.0813734539359	-0.38325908826
2017-01-31	-0.129375568276	-0.0181102195308	-0.0105856534805	-0.159719354202	-0.307320280897	-0.2025046539	-0.191846168692	-0.171019962486	-0.393186208227	-0.0732985042196	-0.168653031952
2017-02-01	-0.142460177947	-0.0452057755201	-0.0639449587341	-0.125939575239	-0.391397422972	-0.34008322796	-0.235910112166	-0.175044333092	-0.391594250635	0.0182484907683	-0.160310185273
2017-02-02	-0.143085457464	-0.030439513413	-0.1115207606	-0.100727145078	-0.352322761763	-0.271880304853	-0.190358653313	-0.158746475781	-0.32015430359	0.0521837532113	-0.159947334545
2017-02-03	-0.124133340866	-0.0192171064624	-0.0771255640237	-0.182712792394	-0.333304742125	-0.2638229416	-0.202380059382	-0.140324237039	-0.248633993075	0.113870679918	-0.0645408934707
2017-02-04	-0.145792200609	-0.0835048336321	-0.0863325035905	-0.19962559712	-0.256677672311	-0.278240821543	-0.222711888891	-0.153745355522	-0.269291550971	0.0925519694912	-0.0819000002385
2017-02-05	-0.226520643445	-0.0836729520103	-0.111191338016	-0.229385985534	-0.244933565299	-0.238687283428	-0.214427428041	-0.163165725576	-0.274494872505	0.209177081497	-0.0610434548732
2017-02-06	-0.231668657539	-0.100716868962	-0.0888178107526	-0.230042539055	-0.224811982184	-0.241164406588	-0.249942648023	-0.130724596727	-0.265121069427	0.275746050691	-0.220789860558
2017-02-07	-0.294099084886	-0.0787127328087	-0.0518508119946	-0.192007165961	-0.105577231505	-0.190860993403	-0.174952965734	-0.0808210819065	-0.244034243474	0.369523085779	-0.368801981968
2017-02-08	-0.434914371161	-0.0903100103158	-0.0137288743739	-0.253470224665	-0.0238571471932	-0.0913431904723	-0.15997631281	-0.104312752961	-0.238488388769	0.432623879901	-0.367722647297
2017-02-09	-0.442837799722	-0.084427491055	-0.00245783838048	-0.196769272505	0.0657368653277	-0.086790510206	-0.16935487873	-0.116831693341	-0.253936275389	0.415264752239	-0.547927872348
2017-02-10	-0.450483216823	-0.0776357277935	-0.0426657366881	-0.232931635725	0.0577960788001	-0.0890235732994	-0.218335411526	-0.138776985414	-0.33646501248	0.0448916743326	-0.545174426658
2017-02-11	-0.447019286778	-0.0461883872276	-0.0548340450092	-0.241405592799	-0.0088784511054	-0.0988270212322	-0.222583996481	-0.0717582003526	-0.342456941855	0.0499441753908	-0.543257447065
2017-02-12		-0.0954253348959	-0.0135905482097	-0.256076995279	-0.141600214989	-0.170548817696	-0.309557691719	-0.0934594795193	-0.396367173808	-0.134057260426	-0.575966621145
