Date	Italy
2017-01-01	0.781542511659
2017-01-02	0.962838227791
2017-01-03	0.521439495059
2017-01-04	0.890450194923
2017-01-05	1.19884533021
2017-01-06	1.16333647601
2017-01-07	1.13472994281
2017-01-08	1.81512240681
2017-01-09	1.44813435351
2017-01-10	1.6523246634
2017-01-11	1.21893465001
2017-01-12	0.765091392431
2017-01-13	0.470019911651
2017-01-14	0.470019911651
2017-01-15	-0.76701504913
2017-01-16	-0.387696980766
2017-01-17	-1.95585952599
2017-01-18	-2.29392200701
2017-01-19	-2.06962256079
2017-01-20	-1.71506370428
2017-01-21	-1.71506370428
2017-01-22	-0.975691357309
2017-01-23	-1.29775215493
2017-01-24	0.393326284385
2017-01-25	0.210187294326
2017-01-26	0.208102799552
2017-01-27	0.300352148133
2017-01-28	0.97582458338
2017-01-29	1.04957031853
2017-01-30	0.687955592888
2017-01-31	0.3078171732
2017-02-01	0.749656385851
2017-02-02	0.527912404357
2017-02-03	-0.0344239379476
2017-02-04	-0.875498743631
2017-02-05	-1.28360316267
2017-02-06	-0.705875677216
2017-02-07	-0.623403219787
2017-02-08	-0.450390125951
2017-02-09	-0.336750704673
2017-02-10	0.931736613995
2017-02-11	0.931736613995
2017-02-12	0.974843813931
2017-02-13	0.333126019775
2017-02-14	-0.079973718641
2017-02-15	-1.74741886616
2017-02-16	-2.41216210716
2017-02-17	-2.71512911026
2017-02-18	-2.71512911026
2017-02-19	-2.73252592894
2017-02-20	-2.93008796429
2017-02-21	-2.76898920763
2017-02-22	-1.35867909947
2017-02-23	-0.900590341552
2017-02-24	-0.848601939446
2017-02-25	-1.11800234341
2017-02-26	-0.866600714914
2017-02-27	-0.508035998516
2017-02-28	-0.397652831578
2017-03-01	-0.070822550237
2017-03-02	-0.505417402996
2017-03-03	0.100654666942
2017-03-04	0.50114503279
2017-03-05	0.44079614141
2017-03-06	-0.380150519237
2017-03-07	0.232985910069
2017-03-08	-0.571853186796
2017-03-09	0.00543769671426
2017-03-10	-1.18137530481
2017-03-11	-1.18137530481
2017-03-12	-1.12756888837
2017-03-13	0.0186427284085
2017-03-14	-0.996329063992
2017-03-15	-0.710562199616
