Date	Materials
2017-01-01	-0.213343810329
2017-01-02	-0.213938717724
2017-01-03	-0.219898046518
2017-01-04	-0.225759733122
2017-01-05	-0.230327916567
2017-01-06	-0.238193449822
2017-01-07	-0.246480538092
2017-01-08	
2017-01-09	-0.092588317446
2017-01-10	-0.083606100327
2017-01-11	-0.0826334437205
2017-01-12	-0.079011277239
2017-01-13	-0.0663167366776
2017-01-14	-0.0638113597981
2017-01-15	-0.0703078474738
2017-01-16	-0.554180728177
2017-01-17	-0.553256135188
2017-01-18	-0.550546707534
2017-01-19	-0.325779347478
2017-01-20	-0.33774928022
2017-01-21	-0.328658343298
2017-01-22	-0.339241986557
2017-01-23	-0.287809591011
2017-01-24	-0.240867606522
2017-01-25	-0.20559789292
2017-01-26	-0.315302739456
2017-01-27	-0.310518229515
2017-01-28	-0.311038066895
2017-01-29	-0.312082410422
2017-01-30	-0.222868689214
2017-01-31	-0.243505246308
2017-02-01	-0.320496144139
2017-02-02	-0.105579961074
2017-02-03	-0.0907964146747
2017-02-04	0.0293473338778
2017-02-05	0.0383954570921
2017-02-06	0.188615851696
2017-02-07	0.187890806476
2017-02-08	0.193436661181
2017-02-09	0.148344099826
2017-02-10	0.133444490439
2017-02-11	0.0975735296162
2017-02-12	0.0837253248542
2017-02-13	-0.10503937541
2017-02-14	-0.108702201938
2017-02-15	-0.129387941131
2017-02-16	-0.301838084099
2017-02-17	-0.308985928564
2017-02-18	-0.302663483279
2017-02-19	-0.242352742293
2017-02-20	-0.198231157388
2017-02-21	-0.200189810058
2017-02-22	-0.275866817867
2017-02-23	-0.289103229698
2017-02-24	-0.27247186025
2017-02-25	-0.256680566648
2017-02-26	-0.342183370372
2017-02-27	-0.351283600875
2017-02-28	-0.139800931044
2017-03-01	0.0728518763125
2017-03-02	0.0750481195163
2017-03-03	0.246321593496
2017-03-04	0.240761629295
2017-03-05	0.235999531489
2017-03-06	0.232146462913
2017-03-07	0.398524352422
2017-03-08	0.400728879533
2017-03-09	0.40010212782
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	0.0297618841322
2017-03-14	0.0370691805657
2017-03-15	0.0289535864686
2017-03-16	0.0248546695563
2017-03-17	0.0185228187876
2017-03-18	0.0135967562903
2017-03-19	-0.00803522428653
2017-03-20	0.0329852476416
2017-03-21	0.126823547498
2017-03-22	0.138416644025
2017-03-23	0.14468779097
2017-03-24	0.147946872469
2017-03-25	0.145974197639
2017-03-26	0.239594866032
2017-03-27	0.334883086388
2017-03-28	0.151069739677
2017-03-29	0.0545624853142
2017-03-30	0.041147142061
2017-03-31	-0.0403518178518
2017-04-01	-0.0278013233463
2017-04-02	-0.0266854979381
2017-04-03	-0.0311458286091
2017-04-04	-0.114339426248
2017-04-05	-0.196710474336
