Date	Consumer Staples
2017-01-01	-0.128577047545
2017-01-02	-0.157891246183
2017-01-03	-0.174014315174
2017-01-04	-0.172578915986
2017-01-05	-0.181578652235
2017-01-06	-0.184991740322
2017-01-07	-0.178028804126
2017-01-08	-0.211002770367
2017-01-09	-0.20423806036
2017-01-10	-0.183370381674
2017-01-11	-0.21501143494
2017-01-12	-0.212448260973
2017-01-13	-0.208258882435
2017-01-14	-0.210506199814
2017-01-15	-0.21292070403
2017-01-16	-0.199189280733
2017-01-17	-0.181071998728
2017-01-18	-0.185337337186
2017-01-19	-0.187163722772
2017-01-20	-0.188959941607
2017-01-21	-0.174662123253
2017-01-22	-0.195714964487
2017-01-23	-0.190625792834
2017-01-24	-0.190396326336
2017-01-25	-0.19773801847
2017-01-26	-0.206231880845
2017-01-27	-0.233040146769
2017-01-28	-0.223539510559
2017-01-29	-0.257640088327
2017-01-30	-0.267829317296
2017-01-31	-0.264935381028
2017-02-01	-0.24580689165
2017-02-02	-0.241065859723
2017-02-03	-0.238488900922
2017-02-04	-0.238545973559
2017-02-05	-0.236200640146
2017-02-06	-0.227340833197
2017-02-07	-0.223768758879
2017-02-08	-0.232622279517
2017-02-09	-0.240333127245
2017-02-10	-0.231321254706
2017-02-11	-0.251836615018
2017-02-12	-0.262552728653
2017-02-13	-0.257995350964
2017-02-14	-0.252858197267
2017-02-15	-0.257819936359
2017-02-16	-0.27764038664
2017-02-17	-0.28339816599
2017-02-18	-0.292788112742
2017-02-19	-0.294338702175
2017-02-20	-0.292001460271
2017-02-21	-0.278463491292
2017-02-22	-0.292137818635
2017-02-23	-0.289986823422
2017-02-24	-0.282720358745
2017-02-25	-0.277841007244
2017-02-26	-0.253261884032
2017-02-27	-0.251682674557
2017-02-28	-0.225069936957
2017-03-01	-0.222882416509
2017-03-02	-0.223136520084
2017-03-03	-0.215169934342
2017-03-04	-0.214837403791
2017-03-05	-0.216956008777
2017-03-06	-0.21332623892
2017-03-07	-0.239620186514
2017-03-08	-0.240438791114
2017-03-09	-0.247715771143
2017-03-10	-0.240275402772
2017-03-11	-0.255674946091
2017-03-12	-0.254532351315
2017-03-13	-0.249608205656
2017-03-14	-0.215812680826
2017-03-15	-0.213237235912
2017-03-16	-0.214595576365
2017-03-17	-0.226269068847
2017-03-18	-0.223267271238
2017-03-19	-0.223935623325
2017-03-20	-0.202143043254
2017-03-21	-0.201212240162
2017-03-22	-0.200226819428
2017-03-23	-0.193896240356
2017-03-24	-0.187651655179
2017-03-25	-0.183890933773
2017-03-26	-0.183329165716
2017-03-27	-0.181453506306
2017-03-28	-0.200023204955
2017-03-29	-0.201852974026
2017-03-30	-0.239751296063
2017-03-31	-0.226185292845
2017-04-01	-0.228383290047
2017-04-02	-0.237156085495
2017-04-03	-0.235208669039
2017-04-04	-0.238530592596
2017-04-05	-0.243812180422
2017-04-06	-0.217569814158
2017-04-07	-0.219401311528
2017-04-08	-0.227631275532
2017-04-09	-0.229163899768
2017-04-10	-0.212917990401
2017-04-11	-0.201534143718
2017-04-12	-0.194335679819
2017-04-13	-0.198327278866
2017-04-14	-0.200624597082
2017-04-15	-0.201374314014
2017-04-16	-0.197178379977
2017-04-17	-0.195208457789
2017-04-18	-0.187204501012
2017-04-19	-0.201510057028
2017-04-20	-0.20114790469
2017-04-21	-0.197045818606
2017-04-22	-0.192752699165
2017-04-23	-0.185208623352
2017-04-24	-0.222481051603
2017-04-25	-0.222122175103
2017-04-26	-0.221553553696
2017-04-27	-0.200419507213
2017-04-28	-0.22373858839
2017-04-29	-0.208822550635
2017-04-30	-0.20212568493
2017-05-01	-0.192701410379
2017-05-02	-0.193627478521
2017-05-03	-0.191560830226
2017-05-04	-0.194227447855
2017-05-05	-0.185277134571
2017-05-06	-0.181589928898
2017-05-07	-0.180243905959
2017-05-08	-0.18454778459
2017-05-09	-0.185341357817
2017-05-10	-0.160862965983
2017-05-11	-0.0948159809245
2017-05-12	-0.150137835728
2017-05-13	-0.169668831655
2017-05-14	-0.172492334854
2017-05-15	-0.172023914053
2017-05-16	-0.173330641398
2017-05-17	-0.168509931327
2017-05-18	-0.203845752513
2017-05-19	-0.202829792892
2017-05-20	-0.200341784346
2017-05-21	-0.200115611723
2017-05-22	-0.186398845743
2017-05-23	-0.175188350906
2017-05-24	-0.160456148341
2017-05-25	-0.15964677978
2017-05-26	-0.157813055501
2017-05-27	-0.177587213421
2017-05-28	-0.146046029948
2017-05-29	-0.143930354309
2017-05-30	-0.154217996631
2017-05-31	-0.149325064956
2017-06-01	-0.15141573502
2017-06-02	-0.153227036741
2017-06-03	-0.141845157881
2017-06-04	-0.17201987848
2017-06-05	-0.206003111266
2017-06-06	-0.228509061492
2017-06-07	-0.213361880201
2017-06-08	-0.210605340342
2017-06-09	-0.242473329663
2017-06-10	-0.313107812881
2017-06-11	-0.292947394239
2017-06-12	-0.286124137102
2017-06-13	-0.290982698023
2017-06-14	-0.288500710327
2017-06-15	-0.212892145144
2017-06-16	-0.215646626199
2017-06-17	-0.194561995473
2017-06-18	-0.194999648533
2017-06-19	-0.205010623926
2017-06-20	-0.195979952699
2017-06-21	-0.214236483953
2017-06-22	-0.228383821723
2017-06-23	-0.183748539181
2017-06-24	-0.182864190462
2017-06-25	-0.186436683762
2017-06-26	-0.178736193623
2017-06-27	-0.176726123684
2017-06-28	-0.197597437352
2017-06-29	-0.212990228064
2017-06-30	-0.187751290567
2017-07-01	-0.187754637908
2017-07-02	-0.193742191118
2017-07-03	-0.193435846127
2017-07-04	-0.128609007114
2017-07-05	-0.0459845462349
2017-07-06	-0.00626312226368
2017-07-07	-0.000651888942132
2017-07-08	-0.00393777705227
2017-07-09	-0.0418914342348
2017-07-10	-0.0437141987304
2017-07-11	-0.00331163980599
2017-07-12	0.0139648282965
2017-07-13	0.0140437789943
2017-07-14	0.0120661656136
2017-07-15	-0.0651492831827
2017-07-16	-0.0734424301184
2017-07-17	-0.0714657610409
2017-07-18	-0.098927852045
2017-07-19	-0.0526477063915
2017-07-20	-0.0653721566632
2017-07-21	-0.0633756461129
2017-07-22	-0.0617089467141
2017-07-23	-0.086646797111
2017-07-24	-0.0864485686238
2017-07-25	-0.0837748487738
2017-07-26	-0.0801566473999
2017-07-27	-0.101634365926
2017-07-28	-0.0784152800898
2017-07-29	-0.0362665099024
2017-07-30	-0.0826944388409
2017-07-31	-0.08155773702
2017-08-01	-0.0760932438642
2017-08-02	-0.0734825997902
2017-08-03	-0.119569487735
2017-08-04	-0.245156817002
2017-08-05	-0.249393949032
2017-08-06	-0.265940670596
2017-08-07	-0.261309968445
2017-08-08	-0.260076299897
2017-08-09	-0.289121385928
2017-08-10	-0.289623375941
2017-08-11	-0.205940566658
2017-08-12	-0.208965569736
2017-08-13	-0.228408756151
2017-08-14	-0.227257306039
2017-08-15	-0.224509809328
2017-08-16	-0.22474294333
2017-08-17	-0.210714688667
2017-08-18	-0.243225454852
2017-08-19	-0.243274489008
2017-08-20	-0.247467862337
2017-08-21	-0.249433215579
2017-08-22	-0.1970355745
2017-08-23	-0.206813924368
2017-08-24	-0.204405917351
2017-08-25	-0.240706686078
2017-08-26	-0.208969836315
2017-08-27	-0.207003775253
2017-08-28	-0.201987258367
2017-08-29	-0.198716722624
2017-08-30	-0.19793152289
2017-08-31	-0.197901588943
2017-09-01	-0.241987909901
2017-09-02	-0.23924291509
2017-09-03	-0.172869991482
2017-09-04	-0.168441997541
2017-09-05	-0.144181363121
2017-09-06	-0.146039280333
2017-09-07	-0.145902958512
2017-09-08	-0.098219440729
2017-09-09	-0.0939432446695
2017-09-10	-0.200752286851
2017-09-11	-0.196845149659
2017-09-12	-0.168127672621
2017-09-13	-0.169588604825
2017-09-14	-0.168674013526
2017-09-15	-0.169289129022
2017-09-16	-0.169532928513
2017-09-17	-0.170164526514
2017-09-18	-0.181094336216
2017-09-19	-0.181452012579
2017-09-20	-0.166830943131
2017-09-21	-0.230081073021
2017-09-22	-0.213786075204
2017-09-23	-0.220663243176
2017-09-24	-0.180895364026
2017-09-25	-0.22683463384
2017-09-26	-0.226588537864
2017-09-27	-0.227133739313
2017-09-28	-0.262456590005
2017-09-29	-0.26215306053
2017-09-30	-0.261906204089
2017-10-01	-0.22701347739
2017-10-02	-0.206299744763
2017-10-03	-0.255317149921
2017-10-04	-0.258725694743
2017-10-05	-0.241167265678
2017-10-06	-0.23761942276
2017-10-07	-0.201402038895
2017-10-08	-0.207841759814
