Date	France
2017-01-01	-1.17356612158
2017-01-02	-1.19002884506
2017-01-03	-1.22008932592
2017-01-04	-2.70243756446
2017-01-05	
2017-01-06	-0.315053380439
2017-01-07	0.0304085990623
2017-01-08	-0.321031430804
2017-01-09	-0.492114895056
2017-01-10	-0.61368933442
2017-01-11	-0.159107344991
2017-01-12	-0.0874354880485
2017-01-13	-0.164690246962
2017-01-14	-0.0640840460274
2017-01-15	0.450657572208
2017-01-16	0.372505059712
2017-01-17	0.388673174878
2017-01-18	0.1359725161
2017-01-19	-0.114299396552
2017-01-20	-0.0655655098996
2017-01-21	0.0831485939266
2017-01-22	-0.0390742903282
2017-01-23	-0.0740484990889
2017-01-24	0.454834120826
2017-01-25	-0.199479296397
2017-01-26	0.278560822925
2017-01-27	0.031741413974
2017-01-28	-0.458271132288
2017-01-29	-0.82622338921
2017-01-30	-0.67345716336
2017-01-31	-0.62208374108
2017-02-01	-0.193411219001
2017-02-02	-0.99715578664
2017-02-03	-0.216316785516
2017-02-04	-0.503846140303
2017-02-05	0.0815150042963
2017-02-06	0.699357295073
2017-02-07	0.135938844873
2017-02-08	-0.188376180035
2017-02-09	0.0172841426907
2017-02-10	-0.0781254586685
2017-02-11	0.529952191891
2017-02-12	0.480184588089
2017-02-13	0.191065704154
2017-02-14	0.354820444275
2017-02-15	1.03881618891
2017-02-16	1.15663392984
2017-02-17	0.558302410293
2017-02-18	0.538899398718
2017-02-19	-0.0110287843795
2017-02-20	-0.799973644175
2017-02-21	-0.955792514889
2017-02-22	-1.40174921083
2017-02-23	-2.15358049608
2017-02-24	-1.5828167884
2017-02-25	-1.49648049955
2017-02-26	-1.100091804
2017-02-27	
2017-02-28	-0.525011147748
2017-03-01	-0.591698880835
2017-03-02	-0.418367021871
2017-03-03	-0.487774867519
2017-03-04	-0.604070078501
2017-03-05	0.35060328195
2017-03-06	0.219423132799
2017-03-07	0.141643828988
2017-03-08	0.130200274098
2017-03-09	-0.00992671986414
2017-03-10	0.0499869495639
2017-03-11	0.446001022282
2017-03-12	-0.167000704688
2017-03-13	0.201933884736
2017-03-14	0.578102948751
2017-03-15	0.751328719551
2017-03-16	1.34624105561
2017-03-17	1.57363235372
2017-03-18	1.22956275844
2017-03-19	0.983860516751
2017-03-20	1.23395284262
2017-03-21	0.750363209634
2017-03-22	0.35692877237
2017-03-23	0.309298986552
2017-03-24	-0.148754415751
2017-03-25	0.029189979787
2017-03-26	0.364196561193
2017-03-27	-0.143934968206
2017-03-28	0.4612032269
2017-03-29	1.32330062882
2017-03-30	1.24507821648
2017-03-31	0.655942377517
2017-04-01	0.163045040495
2017-04-02	-0.44266159795
2017-04-03	-0.46811375636
2017-04-04	-0.911423547945
2017-04-05	-2.12151327333
2017-04-06	-1.8860486285
2017-04-07	-1.18267460464
2017-04-08	-1.59853344426
2017-04-09	-1.50980149438
2017-04-10	-1.27993904005
2017-04-11	-1.39303642909
2017-04-12	-1.15890751616
2017-04-13	-1.4272478718
2017-04-14	-1.62288669384
2017-04-15	-1.10420245194
2017-04-16	-0.41036324417
2017-04-17	-1.17906957473
2017-04-18	-1.30022417612
2017-04-19	-0.759173394929
2017-04-20	-0.681527079432
2017-04-21	-0.591263623684
2017-04-22	-0.425546504358
2017-04-23	-0.939337764466
2017-04-24	-1.02359138455
2017-04-25	-1.09326416165
2017-04-26	-1.66471594336
2017-04-27	-0.0103802143573
2017-04-28	0.0591506674099
2017-04-29	0.218073370317
2017-04-30	0.0040059200459
2017-05-01	1.03168425159
2017-05-02	1.1978283176
2017-05-03	-0.529737187744
2017-05-04	-1.65176150444
2017-05-05	-1.79984271479
2017-05-06	-1.9075621772
2017-05-07	-0.861554487319
2017-05-08	-0.65962421592
2017-05-09	-0.794352155027
2017-05-10	-0.211093907796
2017-05-11	0.0615750110816
2017-05-12	0.090204974794
2017-05-13	0.287982340008
2017-05-14	0.076130421191
2017-05-15	0.0807175493355
2017-05-16	0.46113760919
2017-05-17	1.37333445959
2017-05-18	1.54011382816
2017-05-19	1.9028544238
2017-05-20	1.43898963211
2017-05-21	1.90482719471
2017-05-22	1.93893696329
2017-05-23	1.91991266837
2017-05-24	1.32814052689
2017-05-25	1.22539706215
2017-05-26	0.714927875787
