Date	Industrials
2018-02-20	-0.0181117456835
2018-02-21	-0.0173978981227
2018-02-22	-0.0266477573432
2018-02-23	-0.206897830443
2018-02-24	-0.222575069668
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	-0.439091850868
2018-03-22	-0.428547466533
2018-03-23	-0.488629777112
2018-03-24	-0.509690078895
2018-03-25	-0.486263080255
2018-03-26	-0.488005811547
2018-03-27	-0.485985690322
2018-03-28	-0.565139456167
2018-03-29	-0.567084777406
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	0.372972141869
2018-04-27	0.35810042186
2018-04-28	0.386271547444
2018-04-29	0.37637273642
2018-04-30	0.369795721724
2018-05-01	0.353588960706
2018-05-02	0.33618470737
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	
2018-05-09	
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	-0.15915357282
2018-06-02	-0.166232709751
2018-06-03	-0.174857718852
2018-06-04	-0.178678482756
2018-06-05	-0.177874525027
2018-06-06	-0.168663934629
2018-06-07	-0.158206769301
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
