Date	Canada
2017-01-01	1.48331404715
2017-01-02	1.38055974013
2017-01-03	0.156798542086
2017-01-04	-0.427668004989
2017-01-05	-0.459009931892
2017-01-06	-1.23712596501
2017-01-07	-1.4292686852
2017-01-08	-1.74031826096
2017-01-09	-1.92199368942
2017-01-10	-1.6728515819
2017-01-11	-1.29645358169
2017-01-12	-1.56928794758
2017-01-13	-1.49655255697
2017-01-14	-1.35073450542
2017-01-15	-1.99663495511
2017-01-16	-1.96083056542
2017-01-17	-2.98304771017
2017-01-18	-3.14206084808
2017-01-19	-2.69841286156
2017-01-20	-2.2897766193
2017-01-21	-2.08376619516
2017-01-22	-1.90142883522
2017-01-23	-2.21174837699
2017-01-24	-1.48177782169
2017-01-25	-1.32886375464
2017-01-26	-1.08858424438
2017-01-27	-0.437862284519
2017-01-28	-0.89245987809
2017-01-29	-1.08684488445
2017-01-30	-0.96186396101
2017-01-31	-1.62072642168
2017-02-01	-1.3161592146
2017-02-02	-1.69734200361
2017-02-03	-1.8522930271
2017-02-04	-1.67566499094
2017-02-05	-1.46115670229
2017-02-06	-1.46708654436
2017-02-07	-1.21669738631
2017-02-08	-1.41489543641
2017-02-09	-1.19584078785
2017-02-10	-0.818130659507
2017-02-11	-1.34281658058
2017-02-12	-1.34281658058
2017-02-13	-1.34374550726
2017-02-14	-1.36667871122
2017-02-15	-2.06268765056
2017-02-16	-1.99507772934
2017-02-17	-2.25325176662
2017-02-18	-1.31827317191
2017-02-19	-1.47612362071
2017-02-20	-2.02322345665
2017-02-21	-2.30056835176
2017-02-22	-1.68678473647
2017-02-23	-1.00794670732
2017-02-24	0.705476014838
2017-02-25	0.608932645143
2017-02-26	0.712119930522
2017-02-27	0.923854548796
2017-02-28	-2.12109759836
2017-03-01	-2.60875075063
2017-03-02	-2.87930214894
2017-03-03	-2.94656802319
2017-03-04	-2.98778071409
2017-03-05	-2.98778071409
2017-03-06	-2.55842884864
2017-03-07	-1.47561633776
2017-03-08	-1.19707682581
2017-03-09	-1.5616451418
2017-03-10	-1.5944615817
2017-03-11	-2.27965487642
2017-03-12	-2.560562348
2017-03-13	-2.56528089344
2017-03-14	-2.37543996435
2017-03-15	-2.15060009599
2017-03-16	-1.59463745763
2017-03-17	-1.43759183491
2017-03-18	-1.73817553914
2017-03-19	-1.19929326838
2017-03-20	-1.33936307238
2017-03-21	-1.5772141392
2017-03-22	-1.18606592137
2017-03-23	-2.25935694356
2017-03-24	-2.7911559741
2017-03-25	-2.21593340464
2017-03-26	-2.21985160924
2017-03-27	-2.2570116433
2017-03-28	-3.6043484074
2017-03-29	-4.07340129259
2017-03-30	-3.036971446
2017-03-31	-1.46232154511
2017-04-01	-1.71434526171
2017-04-02	-1.35311174525
2017-04-03	-1.35649066589
2017-04-04	-1.45902101725
2017-04-05	-1.4369749112
2017-04-06	-1.34601732324
2017-04-07	-1.7008873291
2017-04-08	-2.3898528493
2017-04-09	-2.30098198515
2017-04-10	-2.49171263715
2017-04-11	-2.38688960567
2017-04-12	-2.10204551747
2017-04-13	-2.05940090612
2017-04-14	-2.06217610222
2017-04-15	-1.76766593151
2017-04-16	-2.10868755484
2017-04-17	-1.9520835982
2017-04-18	-2.06289765061
2017-04-19	-3.1477930455
2017-04-20	-0.746170506582
2017-04-21	-0.520797821874
2017-04-22	-0.610057835332
2017-04-23	-2.18681524962
2017-04-24	-1.76778076462
2017-04-25	-2.37473553623
2017-04-26	-2.55105307933
2017-04-27	-2.56031948201
2017-04-28	-2.49991203864
2017-04-29	-1.49228248049
2017-04-30	-1.34230263317
2017-05-01	-1.7326224901
2017-05-02	-0.735179697441
2017-05-03	-0.415217407492
2017-05-04	-0.561608286203
2017-05-05	-0.774878942197
2017-05-06	-1.59946767957
2017-05-07	-1.53896811816
2017-05-08	-1.37728934636
2017-05-09	-1.65139957394
2017-05-10	-1.96655240748
2017-05-11	-2.38914199277
2017-05-12	-2.19173811535
2017-05-13	-2.04012533158
2017-05-14	-2.47306283331
2017-05-15	-2.25026520649
2017-05-16	-2.04929890817
2017-05-17	-2.30049325715
2017-05-18	-1.90349860444
2017-05-19	-2.043893732
2017-05-20	-2.043893732
2017-05-21	-1.11557858134
2017-05-22	-2.59356290243
2017-05-23	-2.40337246116
2017-05-24	-2.06654196908
2017-05-25	-1.76944531468
2017-05-26	-1.63715474591
2017-05-27	-1.57374173582
2017-05-28	-1.74605891439
2017-05-29	-0.644934802795
2017-05-30	-0.97403721863
2017-05-31	-1.26518895024
2017-06-01	-1.02518773048
2017-06-02	-1.16997094005
2017-06-03	-1.16970558518
2017-06-04	-0.520243860338
2017-06-05	-1.32949220297
2017-06-06	-1.31619045815
2017-06-07	-0.835368029295
2017-06-08	-1.35881084377
2017-06-09	-1.46852737544
2017-06-10	-1.46852737544
2017-06-11	-2.13184204728
2017-06-12	-1.92334316198
2017-06-13	-1.76174243183
2017-06-14	-1.7635641962
2017-06-15	-1.54783904278
2017-06-16	-1.54835703132
2017-06-17	-1.12177309343
2017-06-18	-0.937677297392
2017-06-19	-0.889247654063
2017-06-20	-0.736515328135
2017-06-21	-1.47021036664
2017-06-22	-0.998075002499
2017-06-23	-0.290083566524
2017-06-24	-0.656182955036
2017-06-25	-0.568542577842
2017-06-26	-0.62168833956
2017-06-27	-0.556350795107
2017-06-28	-0.502846444452
2017-06-29	-1.12564364152
2017-06-30	-2.27738776683
2017-07-01	-2.71296520371
2017-07-02	-2.622071269
2017-07-03	-1.48254883245
2017-07-04	-1.62444988175
2017-07-05	-1.57107283907
2017-07-06	-1.48309784547
2017-07-07	-1.114396498
2017-07-08	-0.91457559635
2017-07-09	-1.2676913789
2017-07-10	-1.5662337197
2017-07-11	-1.50243730622
2017-07-12	-1.49941049815
2017-07-13	-1.72304988532
2017-07-14	-1.27816459633
2017-07-15	-0.814698514992
2017-07-16	-0.814698514992
2017-07-17	-0.782386496274
2017-07-18	-1.12292664809
2017-07-19	-1.33021323206
2017-07-20	-0.648122077001
2017-07-21	-0.443072784549
2017-07-22	-0.539789640558
2017-07-23	-0.195928530248
2017-07-24	0.0382438750182
2017-07-25	0.729460294917
2017-07-26	1.23951640376
2017-07-27	1.02902053634
2017-07-28	0.78754245428
2017-07-29	0.954637919026
2017-07-30	0.244324267206
2017-07-31	-0.211455560894
2017-08-01	-0.555528975072
2017-08-02	-0.821102900917
2017-08-03	-1.41531066551
2017-08-04	-2.11252739755
2017-08-05	-2.27154716747
2017-08-06	-1.99264898374
2017-08-07	-1.53132507594
2017-08-08	-1.52955549746
2017-08-09	-1.84801767374
2017-08-10	-1.67939369131
2017-08-11	-1.40044072633
2017-08-12	-1.48486965837
2017-08-13	-1.26435791435
2017-08-14	-2.09219936208
2017-08-15	-1.78253581647
2017-08-16	-1.8865702083
2017-08-17	-1.95205239977
2017-08-18	-1.22488117178
2017-08-19	-1.18890001133
2017-08-20	-1.34886035451
2017-08-21	-1.38936028288
2017-08-22	-0.498520935124
2017-08-23	0.389421325246
2017-08-24	0.636442407216
2017-08-25	0.232298780826
2017-08-26	0.536456324985
2017-08-27	0.468783657043
2017-08-28	0.293441844665
2017-08-29	-1.93816265046
2017-08-30	-1.78523801979
2017-08-31	-0.957428988645
2017-09-01	-1.13778281169
2017-09-02	-1.45320810931
2017-09-03	-1.8890977749
2017-09-04	-1.76045150138
2017-09-05	-1.80281023192
2017-09-06	-1.455677046
2017-09-07	-1.77202476837
2017-09-08	-2.10773940283
2017-09-09	-1.96269923671
2017-09-10	-1.81162201746
2017-09-11	-1.90749817539
2017-09-12	-1.98057434032
2017-09-13	-2.9783687074
2017-09-14	-2.6166605825
2017-09-15	-2.15968152856
2017-09-16	-2.14638177977
2017-09-17	-1.33246745474
2017-09-18	-1.43498459973
2017-09-19	-1.40474370601
2017-09-20	-0.771517604589
2017-09-21	-1.43664055701
2017-09-22	-1.49077722762
2017-09-23	-1.47052447408
2017-09-24	-2.09568208396
2017-09-25	-2.07941868348
2017-09-26	-2.03418809431
2017-09-27	-1.84940528323
2017-09-28	-1.53821928759
2017-09-29	-0.864752436024
2017-09-30	-0.976162407922
2017-10-01	-0.865515949939
2017-10-02	-0.476343227056
2017-10-03	-0.231590252738
2017-10-04	-0.559943903742
2017-10-05	-0.548287127652
2017-10-06	-1.16543390451
2017-10-07	-0.839677042528
2017-10-08	-0.722770244694
2017-10-09	-0.900308283795
2017-10-10	-1.52804006981
2017-10-11	-1.40382185349
2017-10-12	-1.40781388003
2017-10-13	-1.44327174639
2017-10-14	-1.3892850669
2017-10-15	-1.62231844999
2017-10-16	-1.32975900535
2017-10-17	-1.16840886398
2017-10-18	-1.9516098334
2017-10-19	-2.21960897751
2017-10-20	-2.0492468293
2017-10-21	-2.14212029972
2017-10-22	-1.65458900603
2017-10-23	-0.617885536488
2017-10-24	-0.625953470283
2017-10-25	0.224326503626
2017-10-26	0.892000382851
2017-10-27	0.512124125938
2017-10-28	0.765247694756
2017-10-29	0.269912041254
2017-10-30	-0.300266871242
2017-10-31	-0.85210090951
2017-11-01	-0.812066368266
2017-11-02	-1.30221668219
2017-11-03	-1.57938582912
2017-11-04	-1.78130589425
2017-11-05	-1.5079617706
2017-11-06	-1.43099078053
2017-11-07	-1.01829728356
2017-11-08	-1.14615011794
2017-11-09	-1.06950009612
2017-11-10	-1.00426206013
2017-11-11	-1.01563047517
2017-11-12	-1.40118260068
