Date	Canada
2017-01-01	0.14979811458
2017-01-02	0.0470438075613
2017-01-03	-0.0732176211792
2017-01-04	0.0720977670792
2017-01-05	0.182088901965
2017-01-06	
2017-01-07	
2017-01-08	
2017-01-09	
2017-01-10	-0.629371733047
2017-01-11	-0.197545263864
2017-01-12	0.0424887027142
2017-01-13	-2.35277463972
2017-01-14	-2.20014069348
2017-01-15	-2.49698789082
2017-01-16	-2.37003722841
2017-01-17	-3.12249767012
2017-01-18	-2.62636801205
2017-01-19	-2.20692434984
2017-01-20	-1.19249457864
2017-01-21	-1.00174300634
2017-01-22	-0.81940564641
2017-01-23	-1.12972518818
2017-01-24	-1.09329252148
2017-01-25	-1.12218850164
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	
2017-02-03	
2017-02-04	
2017-02-05	
2017-02-06	
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	-2.80364916862
2017-02-17	-1.93708741844
2017-02-18	-1.00210882373
2017-02-19	-1.16952800468
2017-02-20	-1.30280066371
2017-02-21	-1.58014555882
2017-02-22	-1.30963450604
2017-02-23	-0.959064011381
2017-02-24	0.229888809375
2017-02-25	0.13334543968
2017-02-26	0.239163813796
2017-02-27	0.45089843207
2017-02-28	0.84909469643
2017-03-01	0.383909088981
2017-03-02	0.598133633079
2017-03-03	
2017-03-04	
2017-03-05	
2017-03-06	
2017-03-07	
2017-03-08	
2017-03-09	
2017-03-10	
2017-03-11	
2017-03-12	
2017-03-13	
2017-03-14	
2017-03-15	
2017-03-16	
2017-03-17	
2017-03-18	
2017-03-19	
2017-03-20	
2017-03-21	
2017-03-22	
2017-03-23	-0.186137674942
2017-03-24	-0.0541924928805
2017-03-25	-0.46577127147
2017-03-26	-0.457895651906
2017-03-27	0.246033852424
2017-03-28	0.226826701964
2017-03-29	-0.242226183229
2017-03-30	0.385712009599
2017-03-31	-0.247317231351
2017-04-01	-0.499340947951
2017-04-02	-0.424614893229
2017-04-03	-2.68378084068
2017-04-04	-2.6454006132
2017-04-05	-2.34063506635
2017-04-06	-2.23189472543
