Date	Australia	Belgium	Canada	France	Germany	Italy	Japan	Netherlands	Spain	Sweden	Switzerland	UK	US
2017-01-01			0.14979811458	-2.90462118286	-0.316654240223	0.111099278106					-0.574384105056	-0.701145697919	-1.15663024852
2017-01-02			0.0470438075613	-2.92108390633	-0.331188272735	-0.16939816425					-0.589633265422	-0.780435434252	-1.28970659087
2017-01-03			-0.0732176211792	-1.63976230933	-0.225194902065	1.08030230178					-1.00797031636	-1.29144630311	-1.30014489211
2017-01-04		0.361359380725	0.0720977670792	-0.679248550006	-1.00348259682	2.18289722896					-1.8136244977	0.583653351715	-0.815032273579
2017-01-05		-0.189429149987	0.182088901965	-1.04178853182	-1.13130645397	1.9795846197						0.246679530027	-1.04259001105
2017-01-06		-0.535812793076		-1.12361388288	-1.31708645194	2.10663153935						0.0524966532438	-0.530406243382
2017-01-07		-0.331566007855		-0.778151903383	-1.37768758366	2.06373442978						-0.00251915817032	-0.505184439848
2017-01-08		-0.331566007855		-1.12959193325	-0.80354469769	2.94984538765						0.189640897394	-0.705240631292
2017-01-09		0.103205511764		-1.00763301211	-0.866332195	3.19638246246						0.244735750194	-0.208049229891
2017-01-10		0.309494846183	-0.629371733047		-0.724756709116		2.82186075359					1.39269341341	-0.0581387121325
2017-01-11			-0.197545263864		1.12128016271		3.0310262489					0.408996654083	0.269199056957
2017-01-12			0.0424887027142		1.24712776293		3.18816347452					0.346806972251	0.930126058774
2017-01-13			-2.35277463972		-1.16822872318		1.34136853856				-2.81543348053	0.397765424661	0.0530654830621
2017-01-14			-2.20014069348		-1.2180774117		1.28475303585				-2.88099583219	0.530322936179	-0.940789983621
2017-01-15			-2.49698789082		-1.31046388091		1.20691213542				-2.88099583219	-1.63626486151	-1.03141353314
2017-01-16			-2.37003722841		-1.37125136279		1.04741314196				-3.34146938948	-1.55487997151	-0.963696973037
2017-01-17			-3.12249767012		-1.19124177204		-0.796210110503				-3.15279893857	-3.66238997325	-2.13979533898
2017-01-18			-2.62636801205		-1.23787233887		-0.915286926315				-3.11875150832	-3.5958442325	-3.03471241709
2017-01-19			-2.20692434984		-1.2512027006		-1.08201958896				-3.92463719453	-3.49602373868	-3.04885846799
2017-01-20			-1.19249457864				-1.36569783943					-2.06868312354	-1.58797322469
2017-01-21			-1.00174300634				-1.5630441691					-2.10615330775	-0.0135918134741
2017-01-22			-0.81940564641				-1.57414144927					-0.830986204685	0.075037105497
2017-01-23	-2.34537616643		-1.12972518818				-1.48866657881					-0.781305875048	0.0797235676245
2017-01-24	-2.41180273657		-1.09329252148				-2.16140848295					-0.877267701774	1.46814087314
2017-01-25	-1.68365154576		-1.12218850164		0.736145663958		-2.69834980217					-1.89823704798	1.10138601909
2017-01-26	-2.37987533215				0.37075992224		-2.90427957008					-2.08459092126	1.03855158104
2017-01-27	-2.53764472873				0.330694505745		-3.2080264686					-2.93870898687	0.449426154234
2017-01-28	-3.19908614079				0.0269384705947		-4.14327185287					-2.89031404468	0.0653752124812
2017-01-29	-3.3458432421				0.0526870001171		-3.96365469058					-2.67091464449	-0.0797457316033
2017-01-30	-2.19951144966				0.257828719249		-3.85065575686					-2.6067566144	-0.640056921732
2017-01-31	-1.91945702523				0.460010040358		-3.91308280885					-2.56474413477	-0.257909413053
2017-02-01												-0.967678112297	-0.245246593958
2017-02-02												-0.858881773851	-1.02268751872
2017-02-03	1.64010171915			-0.398227535587	-1.00217506046							-0.563029446854	-1.35230293476
2017-02-04	2.18079278462			-0.685756890373	-0.951121468189							-0.480130364708	-1.2156552267
2017-02-05	1.83702620694			-0.100395745774	-1.15597585363							-0.572164060044	-0.862575305097
2017-02-06	1.17748277159			-0.0107986292435	-0.622056866731							-0.698129316556	-0.19307180848
2017-02-07	0.813810936814			-0.185445596823	-0.789791587121							-0.714927457944	-0.365447536228
2017-02-08	0.215146552161			0.0683512216551	-0.464926595388							-0.423399728202	-0.0788609872314
2017-02-09	0.00742611385574			-0.0859632308555	-0.553718173469							-0.405585702956	0.69874563774
2017-02-10	-0.512023286964			1.76879035042	2.11503792728		2.08039747786					-0.467219257494	0.610742036087
2017-02-11	-1.03064746538			2.37686800098	2.11503792728		2.01036867564					-0.501590010217	-0.174892599366
2017-02-12	-0.878844387499			2.32710039718	2.02520405194		2.00483557848					-0.568708581571	-1.29372126146
2017-02-13	-1.6326512344			3.64265098074	3.6339810108		2.00082665734					-0.198702502533	-1.79958058646
2017-02-14	-1.60494797333			3.61149936418	3.52052994585		1.95947041882					-0.223840944912	-2.85409789957
2017-02-15				3.55614342532	3.34314465137		2.13774045823					-0.123598556268	-2.67811381208
2017-02-16			-2.80364916862	3.81739649993	3.46219723614		2.24680232608					-0.0742765536306	-2.61047425858
2017-02-17			-1.93708741844		-2.84443138549	-2.83418311246						-0.582187351212	-2.29962485329
2017-02-18			-1.00210882373		-2.5404630279	-2.83418311246						-0.727294148124	-2.35582902305
2017-02-19			-1.16952800468		-2.46434108162	-2.81678629378						-0.654948015148	-1.92915547942
2017-02-20			-1.30280066371		-0.649630745786	-2.89164931944						-1.63647513113	-1.85671410999
2017-02-21	0.0440437649152		-1.58014555882		-0.757826286566	-3.17664745226	0.825603905728					-1.62319773604	-1.48446700571
2017-02-22	0.118646347646		-1.30963450604		-0.724301279934	-3.35913455961	0.836494224691					-1.70700145255	-1.52558284545
