Date	Italy
2017-01-01	-0.462620981963
2017-01-02	-0.746200636042
2017-01-03	-0.760523536682
2017-01-04	-0.820601468606
2017-01-05	-0.623996623006
2017-01-06	-0.636992997566
2017-01-07	-0.678121881259
2017-01-08	0.207989076613
2017-01-09	0.174208399987
2017-01-10	0.467696126316
2017-01-11	0.375388072853
2017-01-12	0.721725516594
2017-01-13	0.675778210643
2017-01-14	0.675778210643
2017-01-15	-0.0888512203047
2017-01-16	-0.122318828768
2017-01-17	-0.43559981411
2017-01-18	-0.846857059438
2017-01-19	-0.895390148344
2017-01-20	-1.14319308391
2017-01-21	-1.14319308391
2017-01-22	-1.1427338112
2017-01-23	-0.865482939386
2017-01-24	-0.615200159063
2017-01-25	-2.82464819516
2017-01-26	-1.89655306218
2017-01-27	-1.72520758486
2017-01-28	-2.32116290801
2017-01-29	-1.71867517017
2017-01-30	-1.57055593036
2017-01-31	-1.46342362238
2017-02-01	-0.852982550609
2017-02-02	-0.878879542041
2017-02-03	-0.635126211701
2017-02-04	0.130258290268
2017-02-05	-0.559102240054
2017-02-06	0.67594676791
2017-02-07	0.0593513647925
2017-02-08	0.141946058211
2017-02-09	0.156911198671
2017-02-10	0.0820054937643
2017-02-11	0.0820054937643
2017-02-12	0.257920143121
2017-02-13	-0.541803855442
2017-02-14	-0.499318541065
2017-02-15	-0.212089563498
2017-02-16	0.367282666268
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	
2017-02-28	-0.986766218839
2017-03-01	-1.11434958448
2017-03-02	-1.2611579905
2017-03-03	-1.44580625838
2017-03-04	-1.15714467616
2017-03-05	-1.04201225934
2017-03-06	-1.12369849928
2017-03-07	-0.876339512556
2017-03-08	-0.871703880335
2017-03-09	-0.852636472901
2017-03-10	-0.701662598517
2017-03-11	-0.701662598517
2017-03-12	0.0902278742635
2017-03-13	0.273884289602
2017-03-14	0.0412155993106
2017-03-15	0.0792325913892
2017-03-16	0.0385436170156
2017-03-17	-0.320830585789
2017-03-18	-0.320830585789
2017-03-19	-0.803821686337
2017-03-20	-0.905262335122
2017-03-21	-0.831264662379
2017-03-22	-0.540986052891
2017-03-23	-1.91761948404
2017-03-24	-1.89481995363
2017-03-25	-1.89481995363
2017-03-26	-1.98257344859
2017-03-27	-1.51823045679
2017-03-28	-0.991929425339
2017-03-29	-0.400407289597
2017-03-30	0.257532829208
2017-03-31	-0.149618442396
2017-04-01	-0.149618442396
2017-04-02	0.899728673806
2017-04-03	0.425439752386
2017-04-04	0.909079604546
2017-04-05	0.449199919691
2017-04-06	0.451245275493
2017-04-07	1.02736789294
2017-04-08	1.22749991863
2017-04-09	-1.01270165403
2017-04-10	-1.01637911354
2017-04-11	
2017-04-12	
2017-04-13	-1.48319729615
2017-04-14	-1.41703338821
2017-04-15	-1.39462863197
2017-04-16	-0.93180249207
2017-04-17	-0.508008178119
2017-04-18	-1.47438747788
2017-04-19	-0.910975796364
2017-04-20	-0.546116071474
2017-04-21	0.126563642649
2017-04-22	0.00384358699642
2017-04-23	0.00384358699642
2017-04-24	0.116552059033
2017-04-25	0.395850665133
2017-04-26	
2017-04-27	
2017-04-28	
2017-04-29	
2017-04-30	
2017-05-01	
2017-05-02	
2017-05-03	-3.92912263786
2017-05-04	-2.67944792008
2017-05-05	-2.67339517712
2017-05-06	-2.78788876024
2017-05-07	-2.78788876024
2017-05-08	-3.34517611017
2017-05-09	-2.62497795689
2017-05-10	-1.74758222553
2017-05-11	-1.84586562571
2017-05-12	-1.84697607486
2017-05-13	-1.61257910871
2017-05-14	-1.61257910871
2017-05-15	-0.813637786289
2017-05-16	-0.59862042399
2017-05-17	0.0543882773004
2017-05-18	0.903703597076
2017-05-19	0.682779714023
2017-05-20	0.682779714023
2017-05-21	0.852284412321
2017-05-22	0.187873464831
2017-05-23	0.161849859899
2017-05-24	-1.57505304322
2017-05-25	0.180978999882
2017-05-26	0.174684955903
2017-05-27	0.174684955903
2017-05-28	0.439387891192
2017-05-29	1.38146608534
2017-05-30	0.739091181626
2017-05-31	0.310733920523
2017-06-01	-0.255381109576
2017-06-02	-0.484437479978
2017-06-03	-0.484437479978
2017-06-04	-1.57634830773
2017-06-05	-1.89791021629
2017-06-06	-1.59684078847
2017-06-07	-0.824824594306
2017-06-08	-1.7807538269
2017-06-09	-1.19221031187
2017-06-10	-1.19221031187
2017-06-11	-1.04722177543
2017-06-12	-1.01194940958
2017-06-13	-1.34259894535
2017-06-14	-2.54860406684
2017-06-15	-1.8013759685
2017-06-16	-1.89096542209
2017-06-17	-1.89096542209
2017-06-18	-1.08716163263
2017-06-19	-1.95004100987
2017-06-20	-1.6422710659
2017-06-21	-1.35224232565
2017-06-22	-1.44872762638
2017-06-23	-1.6223281053
2017-06-24	-1.6223281053
2017-06-25	-1.6223281053
2017-06-26	
2017-06-27	-0.344711710945
2017-06-28	-0.234181028067
2017-06-29	-0.149293751514
2017-06-30	-0.0466321421148
2017-07-01	-0.0466321421148
2017-07-02	-0.547847851435
2017-07-03	-0.856435676203
2017-07-04	-0.149575581611
2017-07-05	
2017-07-06	-1.43796220558
2017-07-07	-1.58172859142
2017-07-08	-1.58172859142
2017-07-09	-0.44477513164
2017-07-10	-0.37585931263
2017-07-11	0.0281056519648
2017-07-12	-0.341634795854
2017-07-13	
2017-07-14	5.67276710714
2017-07-15	5.67276710714
2017-07-16	4.64687235333
2017-07-17	4.84939178357
2017-07-18	1.30012174603
2017-07-19	1.252564906
2017-07-20	1.01943838538
2017-07-21	-1.9962511277
2017-07-22	-2.24442556851
2017-07-23	-1.5552391541
2017-07-24	-1.5566958339
2017-07-25	-0.340786839164
2017-07-26	0.0411921959584
2017-07-27	0.422650656974
2017-07-28	0.607069142078
2017-07-29	1.06636317944
2017-07-30	0.845289915958
2017-07-31	0.746498172726
2017-08-01	-1.95618885105
2017-08-02	-2.03284939676
2017-08-03	-1.93078311545
2017-08-04	-1.53096895811
2017-08-05	-1.13679996905
2017-08-06	-2.3833284757
2017-08-07	-1.85688945449
2017-08-08	-0.85437888055
2017-08-09	-0.711480583128
2017-08-10	-0.573602030687
2017-08-11	-0.600400560001
2017-08-12	-0.380059930981
2017-08-13	1.48310202813
2017-08-14	1.9991929054
2017-08-15	3.24342895966
2017-08-16	1.36067868411
2017-08-17	0.749134074738
2017-08-18	0.124897356756
2017-08-19	-0.712019269343
2017-08-20	-0.110681673962
2017-08-21	-0.167360906325
2017-08-22	-1.25388566637
2017-08-23	
2017-08-24	2.47494703899
2017-08-25	2.69792579552
2017-08-26	2.69792579552
2017-08-27	2.50781102099
2017-08-28	1.05889481228
2017-08-29	1.17347168598
2017-08-30	0.967840786531
2017-08-31	-0.217712501062
2017-09-01	-0.165675489456
2017-09-02	-0.796585325137
2017-09-03	-1.33003515584
2017-09-04	
2017-09-05	
2017-09-06	-1.95579031183
2017-09-07	-1.98126345357
2017-09-08	-1.9805379893
2017-09-09	-1.80536597042
2017-09-10	-2.83851488861
2017-09-11	-2.7643097995
2017-09-12	-2.94769931773
2017-09-13	-3.78925568068
2017-09-14	-3.62003233417
2017-09-15	-3.48279684431
2017-09-16	-2.86515942285
2017-09-17	
2017-09-18	
2017-09-19	
2017-09-20	
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	-0.911866565932
2017-09-29	-0.970689081833
2017-09-30	-0.501106957952
2017-10-01	-0.284640449331
2017-10-02	-0.0983427685516
2017-10-03	0.152556805022
2017-10-04	-0.0103765963907
2017-10-05	-1.99204918278
2017-10-06	-0.898666204614
2017-10-07	-0.806345847581
2017-10-08	-0.976106416725
2017-10-09	-1.01421299888
2017-10-10	-1.3352438684
2017-10-11	-1.71464883691
2017-10-12	-0.548624162926
2017-10-13	
2017-10-14	
2017-10-15	
2017-10-16	
2017-10-17	-1.40874105129
2017-10-18	-1.4917577586
2017-10-19	-1.59953270478
2017-10-20	-1.48374124846
2017-10-21	-1.84073905136
2017-10-22	-1.99009618439
2017-10-23	-1.82360159957
2017-10-24	
2017-10-25	
2017-10-26	0.589910861676
2017-10-27	0.599134658608
2017-10-28	1.72398650775
2017-10-29	1.48994447561
2017-10-30	1.61275263579
2017-10-31	1.44898629778
2017-11-01	1.76779003436
2017-11-02	
2017-11-03	-0.378923855209
2017-11-04	-0.233532139697
2017-11-05	-0.323515722559
2017-11-06	-0.284708999343
2017-11-07	-0.175435973454
2017-11-08	-2.66835988589
2017-11-09	-2.67214756857
2017-11-10	-4.48972641198
2017-11-11	-5.59605929687
2017-11-12	-5.00495010815
2017-11-13	-5.222741193
2017-11-14	-5.14711390572
2017-11-15	
2017-11-16	1.51677693581
2017-11-17	1.17249383053
2017-11-18	1.78407041849
2017-11-19	1.56142993259
2017-11-20	1.38406988367
2017-11-21	1.22675260437
2017-11-22	1.01114422122
2017-11-23	
2017-11-24	-3.11939790307
2017-11-25	-2.95911738291
2017-11-26	-2.98859342601
2017-11-27	-2.61471300137
2017-11-28	-0.646664131656
2017-11-29	-0.811340486893
2017-11-30	-0.55843082673
2017-12-01	1.63229834205
2017-12-02	0.748446149871
2017-12-03	0.922472628182
2017-12-04	0.804098426905
2017-12-05	-0.575333176589
2017-12-06	-0.49559979017
2017-12-07	-1.6064574944
2017-12-08	-2.21332446903
2017-12-09	-1.27205647002
2017-12-10	-1.50444008969
2017-12-11	-1.62556675666
2017-12-12	-2.86589080431
2017-12-13	-2.5452026477
2017-12-14	-1.46168533726
2017-12-15	-1.08288378377
2017-12-16	-2.43902265757
2017-12-17	-2.09271106429
2017-12-18	0.427713525284
2017-12-19	0.671238714073
2017-12-20	0.613299025511
2017-12-21	2.959027573
2017-12-22	3.38780589628
2017-12-23	4.57801821064
2017-12-24	4.54083218391
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	-1.83432223848
2017-12-29	-2.03681870398
2017-12-30	-2.52859328032
2017-12-31	-2.5840986903
2018-01-01	-2.49289395655
2018-01-02	-2.27223250359
2018-01-03	-2.07594516949
2018-01-04	
2018-01-05	-0.762658669783
2018-01-06	-0.74195329156
2018-01-07	-0.638840015169
2018-01-08	-0.495140137064
2018-01-09	-0.58400650584
2018-01-10	-0.892382587604
2018-01-11	-0.547788546039
2018-01-12	-0.452199854823
2018-01-13	0.499602156787
2018-01-14	0.316914175134
2018-01-15	0.410232065441
2018-01-16	0.833221172163
2018-01-17	2.36958432109
2018-01-18	2.35321993083
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	1.51930770558
2018-01-27	0.995475932843
2018-01-28	1.1056414738
2018-01-29	1.09580308803
2018-01-30	0.830230634748
2018-01-31	0.855326725388
2018-02-01	0.894320172681
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	-2.28693067649
2018-02-06	-2.50769692891
2018-02-07	-1.58334734587
2018-02-08	-1.25473644711
2018-02-09	-1.25290920644
2018-02-10	-1.31690377179
2018-02-11	-1.53225613532
2018-02-12	-1.74063924992
2018-02-13	-1.20967464093
2018-02-14	-2.54813445521
2018-02-15	-1.6054610489
2018-02-16	0.184069291996
2018-02-17	0.730065209663
2018-02-18	1.18626083628
2018-02-19	0.951198050424
2018-02-20	0.452993022109
2018-02-21	0.233969875711
2018-02-22	1.56860622629
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	-1.76423345369
2018-02-27	-1.77946651673
2018-02-28	-1.44263624512
2018-03-01	-1.82222549944
2018-03-02	-1.9807401434
2018-03-03	-2.56703414021
2018-03-04	-2.20122643958
2018-03-05	-2.38607825227
2018-03-06	-2.64170812578
2018-03-07	-2.31455538562
2018-03-08	-2.94477142418
2018-03-09	-2.94797919855
2018-03-10	-2.44386960802
2018-03-11	-2.76821524137
2018-03-12	-2.59803412899
2018-03-13	-3.0455924482
2018-03-14	-2.95763189501
2018-03-15	-4.46715258319
2018-03-16	-4.70415369389
2018-03-17	-4.77553658213
2018-03-18	-5.1619039866
2018-03-19	-4.45290391857
2018-03-20	-4.2434408176
2018-03-21	-6.15366841463
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	-3.64257848679
2018-03-27	-4.26849735675
2018-03-28	-2.58657058396
2018-03-29	-3.33447880103
2018-03-30	-3.91769196201
