Date	CHF
2017-01-01	0.0723562152134
2017-01-02	0.0662337662338
2017-01-03	0.0272727272727
2017-01-04	0.0391774891775
2017-01-05	0.0371794871795
2017-01-06	0.0875996552467
2017-01-07	0.0875996552467
2017-01-08	0.0875996552467
2017-01-09	0.105059972707
2017-01-10	0.125468135972
2017-01-11	0.113563374068
2017-01-12	0.110977724423
2017-01-13	0.111577964519
2017-01-14	0.131986127784
2017-01-15	0.131986127784
2017-01-16	0.100240096038
2017-01-17	0.0798319327731
2017-01-18	0.0798319327731
2017-01-19	0.0793650793651
2017-01-20	0.0664399092971
2017-01-21	0.0460317460317
2017-01-22	0.0460317460317
2017-01-23	0.0460317460317
2017-01-24	0.0460317460317
2017-01-25	0.0460317460317
2017-01-26	0.0380952380952
2017-01-27	0.043956043956
2017-01-28	0.043956043956
2017-01-29	0.043956043956
2017-01-30	0.0528846153846
2017-01-31	0.0979973973395
2017-02-01	0.0979973973395
2017-02-02	0.128072585309
2017-02-03	0.110090567327
2017-02-04	0.110090567327
2017-02-05	0.110090567327
2017-02-06	0.117035011772
2017-02-07	0.0790650869598
2017-02-08	0.0870015948963
2017-02-09	0.0569264069264
2017-02-10	0.0452380952381
2017-02-11	0.0452380952381
2017-02-12	0.0452380952381
2017-02-13	0.0484126984127
2017-02-14	0.0412698412698
2017-02-15	0.0619047619048
2017-02-16	0.101587301587
2017-02-17	0.128117913832
2017-02-18	0.128117913832
2017-02-19	0.128117913832
2017-02-20	0.153713151927
2017-02-21	0.153713151927
2017-02-22	0.125141723356
2017-02-23	0.109268707483
2017-02-24	0.0779761904762
2017-02-25	0.0779761904762
2017-02-26	0.0779761904762
2017-02-27	0.0483709273183
2017-02-28	0.0801169590643
2017-03-01	0.0920217209691
2017-03-02	0.0682121971596
2017-03-03	0.0824979114453
2017-03-04	0.0824979114453
2017-03-05	0.0824979114453
2017-03-06	0.0742630385488
2017-03-07	0.0425170068027
2017-03-08	0.030612244898
2017-03-09	0.030612244898
2017-03-10	0.00680272108844
2017-03-11	0.00680272108844
2017-03-12	0.078231292517
2017-03-13	0.107142857143
2017-03-14	0.123949579832
2017-03-15	0.146505970809
2017-03-16	0.160111412986
2017-03-17	0.174397127272
