Date	US
2017-01-01	-1.97403946207
2017-01-02	-2.08778366378
2017-01-03	-2.83424627239
2017-01-04	-2.02917576097
2017-01-05	-1.8699321581
2017-01-06	-4.26123312961
2017-01-07	-1.97813433439
2017-01-08	-1.89809344387
2017-01-09	-1.52883538521
2017-01-10	-0.992128721168
2017-01-11	-0.773428084799
2017-01-12	-1.04122626577
2017-01-13	-1.12104593425
2017-01-14	-1.75474096939
2017-01-15	-2.11262617344
2017-01-16	-1.85554201479
2017-01-17	-1.62603604552
2017-01-18	-1.86514387833
2017-01-19	-0.870791987968
2017-01-20	-0.789280415838
2017-01-21	0.571731236555
2017-01-22	0.493500465393
2017-01-23	0.609129161374
2017-01-24	0.420484810983
2017-01-25	0.273305835627
2017-01-26	-0.518088738275
2017-01-27	0.129402238156
2017-01-28	0.0996316503614
2017-01-29	-0.363593435823
2017-01-30	-0.697604118439
2017-01-31	-0.753465616911
2017-02-01	-0.373450177199
2017-02-02	-0.722708634318
2017-02-03	-0.599043281293
2017-02-04	-0.727893212457
2017-02-05	-0.660765880689
2017-02-06	-0.318244272752
2017-02-07	-0.455933259896
2017-02-08	-0.384174579684
2017-02-09	0.0713000567108
2017-02-10	-0.661162821073
2017-02-11	-0.510316952593
2017-02-12	-0.102563344714
2017-02-13	-0.436653243617
2017-02-14	-1.16847279474
2017-02-15	-1.39382050035
2017-02-16	-1.32618094686
2017-02-17	-1.74394673293
2017-02-18	-1.54669604753
2017-02-19	-1.81837645736
2017-02-20	-1.73090027675
2017-02-21	-1.40997867213
2017-02-22	-0.742347231679
2017-02-23	-0.547626104886
2017-02-24	-0.805971223219
2017-02-25	-0.519564588194
2017-02-26	0.107546020681
2017-02-27	0.203377461901
2017-02-28	0.19434443606
2017-03-01	0.0854870151804
2017-03-02	0.443937826971
2017-03-03	0.213655182784
2017-03-04	0.302675781535
2017-03-05	0.276931361824
2017-03-06	0.323918153906
2017-03-07	0.63320143912
2017-03-08	0.174371573784
2017-03-09	-0.0787234833896
2017-03-10	1.29342640849
2017-03-11	1.19916376597
2017-03-12	0.592863600649
2017-03-13	0.699126154664
2017-03-14	0.653884108545
2017-03-15	0.693014824897
2017-03-16	0.391739604289
2017-03-17	-1.98397256023
2017-03-18	-1.65905063195
2017-03-19	-1.80234321779
2017-03-20	-1.61766926114
2017-03-21	-1.13099589395
2017-03-22	-1.26782703117
2017-03-23	-1.16548786245
2017-03-24	-0.441444285883
2017-03-25	-0.550926572912
2017-03-26	-0.716621111988
2017-03-27	-0.772642655361
2017-03-28	-0.465669994249
2017-03-29	-0.556297138388
2017-03-30	-0.835278235625
2017-03-31	-0.997501322018
2017-04-01	-0.730701528321
2017-04-02	-0.738184498126
2017-04-03	-0.641297502379
2017-04-04	-0.986383505761
2017-04-05	-0.913949448063
2017-04-06	-0.443080973964
2017-04-07	-0.175606138404
2017-04-08	-0.60581159182
2017-04-09	-0.386644195359
2017-04-10	-0.308763132814
2017-04-11	-0.280489144848
2017-04-12	-0.110996809738
2017-04-13	0.0380937808263
2017-04-14	1.22553018083
2017-04-15	1.1411343113
2017-04-16	0.996372655229
2017-04-17	1.30354205737
2017-04-18	-0.757598556448
2017-04-19	-0.780730337391
2017-04-20	-0.945881799291
2017-04-21	-1.3394689682
2017-04-22	-0.176898772507
2017-04-23	-0.159660426575
2017-04-24	-0.19311169618
2017-04-25	0.61225306121
2017-04-26	0.344064962496
2017-04-27	0.375892907781
2017-04-28	-0.0982722620563
2017-04-29	-0.950157237339
2017-04-30	-0.298608446548
2017-05-01	-0.425452847373
2017-05-02	-0.768465024048
2017-05-03	-0.899201902765
2017-05-04	-0.867476870076
2017-05-05	-0.221656443282
2017-05-06	0.490368878153
2017-05-07	0.111275061261
2017-05-08	-0.134060980592
2017-05-09	-0.12333995263
2017-05-10	-0.11539102371
2017-05-11	0.0305380304423
2017-05-12	-0.273239842096
2017-05-13	-0.415093647264
2017-05-14	-0.77222341816
2017-05-15	-0.128280906659
2017-05-16	0.450214997588
2017-05-17	0.28532046465
2017-05-18	0.394292081253
2017-05-19	0.47770159344
2017-05-20	-0.0539705010378
2017-05-21	0.227424371213
2017-05-22	-0.264009518262
2017-05-23	-0.891085667865
2017-05-24	-1.2120513589
2017-05-25	-1.31615604642
2017-05-26	-1.38801376334
2017-05-27	-1.71272363771
2017-05-28	-2.04657912554
2017-05-29	-1.81977120901
2017-05-30	-1.21807766869
2017-05-31	-1.23650487126
2017-06-01	-1.44988023259
2017-06-02	-1.03758913294
2017-06-03	-0.881273390793
2017-06-04	-0.899005895517
2017-06-05	-0.727677730862
2017-06-06	-0.568903176413
2017-06-07	-0.430739497551
2017-06-08	-0.046357182103
2017-06-09	-0.577129475024
2017-06-10	-0.0514677783743
2017-06-11	-1.033589443
2017-06-12	-1.1295302231
2017-06-13	-1.9927910004
2017-06-14	-1.90716149574
2017-06-15	-1.75997515713
2017-06-16	-1.70957597419
2017-06-17	-1.95933765289
2017-06-18	-0.644740016044
2017-06-19	
2017-06-20	
2017-06-21	
2017-06-22	0.401640226294
2017-06-23	-0.85624099471
2017-06-24	-0.756104552989
2017-06-25	-0.588655573601
2017-06-26	-0.973472471572
2017-06-27	-1.03122156854
2017-06-28	-0.535862211799
2017-06-29	-0.602606130928
2017-06-30	-0.337338790531
2017-07-01	-0.267244279035
2017-07-02	-0.148928479886
2017-07-03	0.216873442782
2017-07-04	0.366066347099
2017-07-05	0.1088644616
2017-07-06	0.408194210363
2017-07-07	0.597214180659
2017-07-08	0.57395637589
2017-07-09	0.838448307654
2017-07-10	-0.749208897757
