Date	Communication Services	Consumer Discretionary	Consumer Staples	Energy	Financials	Health Care	Industrials	Information Technology	Materials	Real Estate	Utilities
2017-01-01		-0.231576523666	-0.545056790699	-0.457209708631	0.38169528487		-0.0663770983792		-0.301186423756		
2017-01-02		-0.23735902389	-0.587429140814	-0.491981255977	0.197208022156	-0.5372375335	-0.0478389416432	-0.57000270727	-0.395118184673	-0.603377266458	
2017-01-03	-0.00517938361302	-0.245418282752	-0.597337068557	-0.32789308419	-0.0190439407816	-0.448664784618	0.0328093673029	-0.3868540754	-0.401077513467	-0.609210578114	
2017-01-04	-0.212388826832	-0.310655626528	-0.592468196019	-0.13108172504	-0.2213335673	-0.44754413311	0.0466648501624	-0.411541121843	-0.373537482289	-0.609672228137	
2017-01-05	-0.214409091192	-0.288967692859	-0.543334108986	-0.14075019825	-0.226766935638	-0.496569948283	0.00278647435619	-0.478439742524	-0.317745921922	-0.606820315786	-0.388639059624
2017-01-06	-0.226241259637	-0.259774926172	-0.543386955162	-0.144996452911	-0.168461100311	-0.488562803632	0.0127838165727	-0.463814245568	-0.401107735227	-0.608234132009	-0.398913868634
2017-01-07	-0.246912576444	-0.265487628241	-0.564825087865	-0.148356721368	-0.17289714748	-0.494795601698	0.000916329083277	-0.476754002843	-0.409394823497	-0.60507738076	-0.408803600411
2017-01-08	-0.268683543292	-0.262352385627	-0.560496001424	-0.150731320287	-0.170620635449	-0.494254772401	-0.0334514384914	-0.486769225335	-0.407950657571	-0.589278781473	-0.404773535376
2017-01-09	-0.244679351253	-0.270713802205	-0.448595541052	0.0586079309095	-0.23369989702	-0.46795511834	-0.0297345130675	-0.447770607188	-0.196419005602		-0.398201995197
2017-01-10	-0.345197968086	-0.297644456507	-0.438108713862	0.24907347435	-0.0124759088414	-0.526976460584	-0.00351021319474	-0.51455179522	-0.187436788483		-0.395602272661
2017-01-11	-0.263334919463	-0.17043404173	-0.436172831122	-0.196055980696	-0.00989789592464	-0.521409706237	0.0933354917971	-0.527623777581	-0.186464131876		-0.392345927491
2017-01-12	-0.26520164761	-0.189917832638		-0.182029523409	0.0339934820062	-0.426379529621	0.0697418219635	-0.276544218535			
2017-01-13		-0.132192279934		-0.175908369268	0.0847149361821	-0.407909063714	0.0438288910671	-0.164423386172			
2017-01-14		-0.0436295071279		-0.174120576332	0.0881814850645	-0.401328448236	0.0954150141406	-0.156794359786	0.307340896726		
2017-01-15		-0.0195296612278		-0.190609990596	0.0799379305376	-0.41630481521	0.0988295680783	-0.166845970284	0.30084440905		
2017-01-16		0.0923843552213		-0.206821679481	-0.136014038715	-0.435127393731	0.116911081276	-0.183096311453	0.281561094261		
2017-01-17		0.0958400953365		-0.203156813516	-0.217489382003	-0.433996488045	0.123951573319	-0.184419478152	0.28248568725		
2017-01-18		-0.313249115549			-0.263035190683	-0.520860260624	-0.116398094264	-0.183487273051	0.285195114904		
2017-01-19		-0.279702778995	-0.655396511365		-0.405046044709	-0.616903082756	-0.132773529516	0.341068143967	0.285282444201		
