Date	JPY
2017-01-01	0.10541066458
2017-01-02	0.1038343099
2017-01-03	0.12625955907
2017-01-04	0.162188344999
2017-01-05	0.184297188536
2017-01-06	0.201968779686
2017-01-07	0.221810049527
2017-01-08	0.219088961092
2017-01-09	0.231214766321
2017-01-10	0.218666503773
2017-01-11	0.184867926871
2017-01-12	0.167010784014
2017-01-13	0.156980388877
2017-01-14	0.143091499988
2017-01-15	0.113924833321
2017-01-16	0.104191709303
2017-01-17	0.0953114004222
2017-01-18	0.100237508797
2017-01-19	0.0998019687269
2017-01-20	0.100960269885
2017-01-21	0.0960901400151
2017-01-22	0.106209187634
2017-01-23	0.102127554981
2017-01-24	0.0943353471889
2017-01-25	0.0870758190582
2017-01-26	0.0818991142299
2017-01-27	0.0771693845002
2017-01-28	0.0845905347785
2017-01-29	0.0941143443023
2017-01-30	0.098556121013
2017-01-31	0.103645626103
2017-02-01	0.133720814072
2017-02-02	0.142484319475
2017-02-03	0.146347293236
2017-02-04	0.12593912997
2017-02-05	0.121177225208
2017-02-06	0.126429326049
2017-02-07	0.133161332781
2017-02-08	0.103086144811
2017-02-09	0.100392759764
2017-02-10	0.0895748987854
2017-02-11	0.102561911772
2017-02-12	0.116847626058
2017-02-13	0.112279519746
2017-02-14	0.104168583063
2017-02-15	0.128907850587
2017-02-16	0.13837061005
2017-02-17	0.173896925839
2017-02-18	0.189481341424
2017-02-19	0.187100389043
2017-02-20	0.201685916958
2017-02-21	0.223227867071
2017-02-22	0.224303135889
2017-02-23	0.222499384085
2017-02-24	0.214959701545
2017-02-25	0.200673987259
2017-02-26	0.175948712534
2017-02-27	0.163947163947
2017-02-28	0.136665417915
2017-03-01	0.124760656011
2017-03-02	0.118267149517
2017-03-03	0.115825147075
2017-03-04	0.165031496281
2017-03-05	0.167029498279
2017-03-06	0.172062405751
2017-03-07	0.198848120037
2017-03-08	0.206640327829
2017-03-09	0.209716199326
2017-03-10	0.206126455737
2017-03-11	0.196205820816
2017-03-12	0.226075950686
2017-03-13	0.239802061973
2017-03-14	0.236329839751
2017-03-15	0.250759854181
2017-03-16	0.271854256854
2017-03-17	0.26562049062
2017-03-18	0.247763347763
