Date	AUD	CAD	CHF	EUR	GBP	JPY	NZD	USD
2017-01-01	0.111089118601	-0.221549860569	-2.202966809	-1.44818475667	-0.313610388964	0.316322110032	-0.819835869364	-0.365043164819
2017-01-02	0.331106336368	-0.203564728416	-2.02489916414	-1.21181184703	-0.416281292257	0.196156009268	-0.504096555515	-0.484427810333
2017-01-03	0.732098990811	-0.555516223589	-2.03207457242	-1.1077373254	-0.445845298795	0.284843553562	-1.05323102545	-0.696225119053
2017-01-04	0.846682658454	-0.922694577098	-1.67492401407	-0.761873266146	-0.359660373556	0.260013935075	-0.480950433436	-0.603141873697
2017-01-05	0.848209551262	-1.22230484219	-1.55389994391	-0.391881502071	-0.0153342102609	0.220640892262	-0.0861579165085	-0.576349521716
2017-01-06	0.587336058564	-1.08773043254	-1.47377143262	-0.231032458693	-0.066987095339	0.0721353655393	-0.221150445015	-0.592205586355
2017-01-07	0.553106515478	-1.09372663777	-0.88888644029	0.0448233900897	-0.386276854766	0.000102889649829	-0.221150445015	-0.501058487706
2017-01-08	0.389363196885	-1.22200404926	-0.0883794713834	0.214563587458	-0.318791507436	-0.514645210453	0.294454200064	-0.45196653737
2017-01-09	0.317134149694	-1.05231658397	-0.151141751549	0.130973107556	-0.0618955921848	-0.284701565173	-0.271996757036	-0.16311126583
2017-01-10	-0.040546737643	-0.592619701637	0.0496067775549	-0.08833589229	-0.291037442369	-0.307122009881	-0.632813751286	0.0545212778314
2017-01-11	-0.402551807948	-0.117504776198	-0.582214208339	-0.367347642547	-0.147352892831	-0.38068724223	-0.449119544496	0.0353003399643
2017-01-12	-0.288840291236	-0.0703152241398	-0.838809998359	-0.307146589664	-0.297974982127	-0.470475248444	-0.374167176417	0.0209495335442
2017-01-13	-0.343816196185	0.0533047719358	-0.973298459221	-0.336026886437	-0.408579897745	-0.475914421532	-0.461628905478	0.0277555588466
2017-01-14	-0.619643678628	-0.142896039292	-0.744101953211	-0.543293184537	-0.350960341873	0.0782715021694	-0.530666111801	0.162730872914
2017-01-15	-0.929923257412	-0.24694452396	-0.831386977232	-0.554933882262	-0.328949744959	0.160583604136	-0.624819496599	0.128540984855
2017-01-16	-1.09470991495	-0.446389872167	-0.26691157058	-0.336755105693	-0.464221519742	-0.104960425909	-0.545242366594	0.0887993830161
2017-01-17	-0.687054944643	-0.320992536028	0.0342146870836	-0.146742214296	-0.113705818301	-0.113395953186	-0.377301639358	-0.000690587821145
2017-01-18	-0.572263029762	-0.632072097688	0.483952739681	-0.00331567482679	-0.175750144495	-0.370705695127	-0.688754615211	0.0360147951144
2017-01-19	-0.805632595397	-0.287420338486	0.876249605356	-0.171613121006	-0.256533422668	-0.115995419033	-0.725102784711	0.0905055186538
2017-01-20	-0.836031286051	-0.137354818335	0.522029994079	-0.220757507963	-0.200098363302	-0.174783848243	-0.98994423048	0.194847607622
2017-01-21	-0.39808085618	0.19118970944	0.166344860873	-0.209001960595	-0.019559489003	-0.918686710622	-1.01410483413	0.118031716052
2017-01-22	-0.366669552025	1.04926892955	0.392276446354	-0.474095944777	-0.153137201473	-0.866541601073	-0.135002781061	0.239655843168
2017-01-23	-0.768438103185	1.2998893826	-0.976606558535	-0.794399101158	-0.175054425604	-0.9473875794	-0.0807121992834	0.0738411163043
2017-01-24	-1.04419560012	0.934357020462	-1.23332087475	-0.80017456885	-0.260548657287	-0.706874035878	0.814765514028	0.235978003488
2017-01-25	-1.11300675303	1.296899917	-1.31207515653	-0.678582967725	-0.529486061709	-0.385867274575	1.10036142147	0.157885559228
2017-01-26	-1.50088038271	1.29322745597	-1.53337767277	-0.566996974907	-0.494381560714	-0.512338639298	1.24258782098	0.134517288538
2017-01-27	-1.61918935289	1.1133526923	-1.39968561337	-0.644144357195	-0.345967618577	-0.608081700101	1.3715855407	-0.097476273447
2017-01-28	-1.9370730894	1.25696422613	-1.53385674168	-0.63865771449	-0.540760697174	0.010917724039	1.61429634381	-0.386547325692
2017-01-29	-1.65939016764	0.777372052529	-1.72775717286	-0.616439835514	-0.415418856751	0.0208497712307	1.72139279041	-0.349730375248
2017-01-30	-1.34307291087	0.7427950478	-1.18914853195	-0.33350600502	-0.361202032081	0.242670657395	1.51555656484	-0.251055441114
2017-01-31	-1.43365307792	0.811223766487	-0.872308717148	-0.389408841078	-0.404639759371	0.263573623042	1.0160070717	-0.36934527656
2017-02-01	-1.4128467289	0.58034397156	-1.16683649264	-0.37827611242	-0.378947222901	0.292242854822	0.853144873635	-0.280508397527
2017-02-02	-0.942722651669	0.294390884548	-1.40741558365	-0.470228709342	-0.381137519179	0.413802158047	0.57870091491	-0.35627591834
2017-02-03	-1.03544407801	0.391609408849	-1.09966950907	-0.501831964936	-0.340506790785	0.570779121349	0.482111996749	-0.379427031978
2017-02-04	-0.482126483878	0.457202880761	-0.669883255889	-0.375627334494	-0.0784038375777	0.737670259944	0.367801063111	-0.192226000396
2017-02-05	-0.266173128475	0.137331461537	0.681360150966	-0.269394112806	-0.16276406793	0.826217532279	-0.18950485133	-0.348131168239
2017-02-06	-0.26422842887	-0.0925290030237	0.926102935925	-0.60369928957	-0.366262017489	0.686462569317	-0.306458195889	-0.527723921959
2017-02-07	-0.272655936121	0.446318802125	0.868380742106	-0.772147717366	-0.450758633038	0.478266189027	-0.313546327707	-0.528837540039
2017-02-08	0.0216502441663	0.681029145656	0.663656659988	-0.965834495697	-0.37135555558	0.500072680098	-0.190767874935	-0.505494095478
