Date	Communication Services	Consumer Discretionary	Consumer Staples	Energy	Financials	Health Care	Industrials	Information Technology	Materials	Real Estate	Utilities
2017-01-01											
2017-01-02											
2017-01-03											
2017-01-04											
2017-01-05											
2017-01-06											
2017-01-07											
2017-01-08											
2017-01-09											
2017-01-10											
2017-01-11											
2017-01-12											
2017-01-13											
2017-01-14											
2017-01-15											
2017-01-16											
2017-01-17											
2017-01-18											
2017-01-19											
2017-01-20											
2017-01-21	0.117436789594										
2017-01-22	0.119446376706										
2017-01-23	0.143419750186										
2017-01-24	0.147968382212										
2017-01-25	0.162037703417										
2017-01-26	0.180903964933										
2017-01-27	0.186465479883										
2017-01-28											
2017-01-29											
2017-01-30											
2017-01-31											
2017-02-01											
2017-02-02											
2017-02-03											
2017-02-04											
2017-02-05											
2017-02-06		0.137854201199								0.11045067632	
2017-02-07		0.141231986238								0.10819609889	
2017-02-08		0.142572509641								0.10969665233	
2017-02-09		0.136665418206								0.0923375246674	
2017-02-10		0.128403903333								0.0947825169601	
2017-02-11		0.1152565057								0.0998350180183	
2017-02-12		0.107476752924								0.0689706996635	
2017-02-13											
2017-02-14											
2017-02-15											
2017-02-16											
2017-02-17											
2017-02-18											
2017-02-19											
2017-02-20											
2017-02-21											
2017-02-22											
2017-02-23											
2017-02-24											
2017-02-25											
2017-02-26											
2017-02-27											
2017-02-28											
2017-03-01											
2017-03-02											
2017-03-03											
2017-03-04											
2017-03-05											
2017-03-06		0.222258768498									
2017-03-07		0.218679261615									
2017-03-08		0.225006022437									
2017-03-09		0.227208613482									
2017-03-10		0.230773935343									
2017-03-11		0.229399325279									
2017-03-12		0.204739714963									
2017-03-13											
2017-03-14											
2017-03-15											
2017-03-16											
2017-03-17											
2017-03-18											
2017-03-19											
2017-03-20											
2017-03-21											
2017-03-22											
2017-03-23											
2017-03-24											
2017-03-25											
2017-03-26											
2017-03-27											
2017-03-28											
2017-03-29											
2017-03-30		-0.13679699023		-0.0912453697495							
2017-03-31		-0.140535186511		-0.0903768046959							
2017-04-01		-0.141751998376		-0.0834436933767							
2017-04-02		-0.138717848773		-0.0922712846868							
2017-04-03		-0.136564009078		-0.0957234875688							
2017-04-04		-0.078010337967		-0.0911915122027							
2017-04-05		-0.0768386272528		-0.0908414513587							
2017-04-06		-0.0210428853547									
2017-04-07		-0.0181701004756									
2017-04-08		-0.0142791543303									
2017-04-09		-0.0225115971402									
2017-04-10		-0.0237190304896									
2017-04-11											
2017-04-12											
2017-04-13											
2017-04-14											
2017-04-15											
2017-04-16											
2017-04-17											
2017-04-18											
2017-04-19											
2017-04-20											
2017-04-21											
2017-04-22											
2017-04-23											
2017-04-24											
2017-04-25											
2017-04-26											
2017-04-27											
2017-04-28											
2017-04-29											
2017-04-30											
2017-05-01											
2017-05-02											
2017-05-03											
2017-05-04											
2017-05-05											
2017-05-06											
2017-05-07											
2017-05-08											
2017-05-09											
2017-05-10											
2017-05-11											
2017-05-12											
2017-05-13											
2017-05-14											
2017-05-15											
2017-05-16		-0.215456036479									
2017-05-17		-0.214310425508									
2017-05-18		-0.216732904757									
2017-05-19		-0.218232610388									
2017-05-20		-0.214482764589									
2017-05-21		-0.210301595534									
2017-05-22		-0.205277229036									
2017-05-23											
2017-05-24											
2017-05-25											
2017-05-26											
2017-05-27											
2017-05-28											
2017-05-29											
2017-05-30											
2017-05-31											
2017-06-01											
2017-06-02								-0.630031961032			
2017-06-03								-0.639327726959			
2017-06-04								-0.62142761063			
2017-06-05								-0.624205890835			
2017-06-06								-0.623402019748			
2017-06-07								-0.618353247375			
2017-06-08								-0.616955708953			
2017-06-09											
2017-06-10											
2017-06-11											
2017-06-12											
2017-06-13											
2017-06-14											
2017-06-15											
2017-06-16											
2017-06-17											
2017-06-18											
2017-06-19		-0.131272135458	-0.143733338142			-0.109971398033		-0.164225218909			-0.214917385969
2017-06-20		-0.124547993051	-0.137534028711			-0.1157465665		-0.168817343355			-0.207106840207
2017-06-21		-0.126607914885	-0.144428844956			-0.117378366846		-0.171156201245			-0.218152718702
2017-06-22		-0.13302934565	-0.153119314642			-0.120365105487		-0.17770169248			-0.214528051466
2017-06-23		-0.138098829407	-0.173034811731			-0.128092364207		-0.183916590247			-0.217614525191
2017-06-24		-0.135365557124	-0.161778607483			-0.132414117273		-0.179956483685			-0.216706262864
2017-06-25		-0.136916951221	-0.172159205029			-0.139191908193		-0.185426981276			-0.211416714887
2017-06-26											
2017-06-27											
2017-06-28											
2017-06-29											
2017-06-30											
2017-07-01											
2017-07-02											
2017-07-03		-0.363966083023						-0.346367211977			
2017-07-04		-0.373482423869						-0.337925270092			
2017-07-05		-0.36557022172						-0.331391162737			
2017-07-06		-0.359006458651						-0.328865009674			
2017-07-07		-0.363059571375						-0.333320708691			
2017-07-08		-0.355678709404						-0.34421651449			
2017-07-09		-0.35046020485						-0.346344882504			
2017-07-10											
2017-07-11											
2017-07-12											
2017-07-13											
2017-07-14											
2017-07-15											
2017-07-16											
2017-07-17											
2017-07-18											
2017-07-19											
2017-07-20											
2017-07-21											
2017-07-22											
2017-07-23											
2017-07-24											
2017-07-25											
2017-07-26											
2017-07-27				0.174138418732							
2017-07-28				0.177595302455							
2017-07-29				0.204993150641							
2017-07-30				0.185948725551							
2017-07-31				0.182819621105							
2017-08-01				0.185651892928							
2017-08-02				0.190507117472							
2017-08-03		-0.266139043817				-0.235689436742		-0.27155234844			
2017-08-04		-0.263800469412				-0.242982828875		-0.270912139319			
2017-08-05		-0.274752397747				-0.242885949914		-0.270304098263			
2017-08-06		-0.266787568837				-0.229315187746		-0.265708062867			
2017-08-07		-0.258088304887				-0.226854367896		-0.272055865399			
2017-08-08		-0.258281757875				-0.226836036631		-0.282308234009			
2017-08-09		-0.254815060373				-0.231382122057		-0.288755894977			
2017-08-10											
2017-08-11											
2017-08-12											
2017-08-13											
2017-08-14		-0.506786929904	-0.514266289429								
2017-08-15		-0.505695835395	-0.513721745032								
2017-08-16		-0.509706425159	-0.519358979942								
2017-08-17		-0.51216699606	-0.513900220272								
2017-08-18		-0.502287125984	-0.506488402146								
2017-08-19		-0.490556256728	-0.49365985317								
2017-08-20		-0.489207059777	-0.474880901306								
2017-08-21											
2017-08-22											
2017-08-23											
2017-08-24											
2017-08-25											
2017-08-26											
2017-08-27											
2017-08-28											
2017-08-29											
2017-08-30											
2017-08-31											
2017-09-01											
2017-09-02											
2017-09-03											
2017-09-04											
2017-09-05											
2017-09-06											
2017-09-07											
2017-09-08											
2017-09-09											
2017-09-10											
2017-09-11											
2017-09-12											
2017-09-13											
2017-09-14											
2017-09-15	0.141350549976										
2017-09-16	0.120371019619										
2017-09-17	0.121740760921										
2017-09-18	0.135196457459										
2017-09-19	0.135687896422										
2017-09-20	0.134820862756										
2017-09-21	0.13945613064										
2017-09-22											
2017-09-23											
2017-09-24											
2017-09-25											
2017-09-26											
2017-09-27											
2017-09-28											
2017-09-29											
2017-09-30											
2017-10-01											
2017-10-02											
2017-10-03											
2017-10-04											
2017-10-05											
2017-10-06											
2017-10-07											
2017-10-08											
2017-10-09											
2017-10-10											
2017-10-11											
2017-10-12	-0.0592094108049				-0.0456665977247						
2017-10-13	-0.0537444263275				-0.0363397907954						
2017-10-14	-0.0781089797341				-0.0547942260109						
2017-10-15	-0.0394740001423				-0.0350829076571						
2017-10-16	-0.0339783377613				-0.033082586751						
2017-10-17	-0.0394132667943	-0.0176286120472			-0.0328105454029						
2017-10-18	-0.0465074395403	-0.0156221714318			-0.0349661472449						
2017-10-19		-0.0216655742186									
2017-10-20		-0.0204053144941									
2017-10-21		-0.0180060133713									
2017-10-22		-0.0118939188183									
2017-10-23		-0.0122581839876									
2017-10-24											
2017-10-25											
2017-10-26											
2017-10-27											
2017-10-28											
2017-10-29											
2017-10-30											
2017-10-31											
2017-11-01											
2017-11-02											
2017-11-03											
2017-11-04											
2017-11-05											
2017-11-06											
2017-11-07											
2017-11-08											
2017-11-09											
2017-11-10											
2017-11-11											
2017-11-12											
2017-11-13											
2017-11-14											
2017-11-15											
2017-11-16											
2017-11-17											
2017-11-18											
2017-11-19											
2017-11-20											
2017-11-21											
2017-11-22											
2017-11-23											
2017-11-24											
2017-11-25											
2017-11-26											
2017-11-27											
2017-11-28											
2017-11-29											
2017-11-30											
2017-12-01											
2017-12-02											
2017-12-03											
2017-12-04											
2017-12-05											
2017-12-06											
2017-12-07											
2017-12-08											
2017-12-09											
2017-12-10											
2017-12-11											
2017-12-12											
2017-12-13											
2017-12-14											
2017-12-15											
2017-12-16											
2017-12-17											
2017-12-18											
2017-12-19					0.026972718952						
