Date	CHF
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	1.01492352905
2017-11-12	1.30422339357
2017-11-13	1.51153281972
2017-11-14	1.73486472265
2017-11-15	1.9952661386
2017-11-16	2.03737409805
2017-11-17	1.95376808315
2017-11-18	
2017-11-19	
2017-11-20	-2.47925799145
2017-11-21	-2.50577350519
2017-11-22	-2.49800852502
2017-11-23	-2.4940040208
2017-11-24	-2.74267249339
2017-11-25	-2.91672977066
2017-11-26	-2.68623709122
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	-3.26241823769
2017-12-02	-2.96521583642
2017-12-03	-3.26798293127
2017-12-04	-3.12252491118
2017-12-05	-3.23908013558
2017-12-06	-3.09087302083
2017-12-07	-2.82939842746
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	
2018-01-11	
2018-01-12	
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	
2018-01-17	
2018-01-18	
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	-2.54033128295
2018-02-08	-2.19659754322
2018-02-09	-1.83938602083
2018-02-10	-1.91977896677
2018-02-11	-1.72111598826
2018-02-12	-1.79049124749
2018-02-13	-1.93088889399
2018-02-14	-1.37555299945
2018-02-15	-1.62649042064
2018-02-16	-1.81579224012
2018-02-17	-1.95300074542
2018-02-18	-1.56403531847
2018-02-19	-1.72044084074
2018-02-20	-1.65605014122
2018-02-21	-0.787316070995
2018-02-22	-0.657526947586
2018-02-23	-0.773042283243
2018-02-24	-0.796355876606
2018-02-25	-0.686939756254
2018-02-26	-1.09153763241
2018-02-27	-1.25104185197
2018-02-28	-1.30156947771
2018-03-01	-1.43324470199
2018-03-02	-1.53526930157
2018-03-03	-1.34822170007
2018-03-04	-1.56965362781
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	3.50659398151
2018-03-27	3.40868297107
2018-03-28	3.57974354163
2018-03-29	3.55796932734
2018-03-30	4.02764144142
2018-03-31	4.46050113473
2018-04-01	3.81972133968
2018-04-02	4.68663003634
2018-04-03	4.66747096324
2018-04-04	4.92830119188
2018-04-05	4.94295047549
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	
2018-05-09	
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	-0.932131320624
2018-05-19	0.392646707705
2018-05-20	-0.0290157371642
2018-05-21	1.96979694654
2018-05-22	2.03287194626
2018-05-23	2.07254342543
2018-05-24	2.71850471849
2018-05-25	3.97743773247
2018-05-26	3.92405660171
2018-05-27	4.42823085921
2018-05-28	4.15138363287
2018-05-29	4.79000180071
2018-05-30	4.55431256098
2018-05-31	4.77907359788
2018-06-01	4.76688341704
2018-06-02	4.51338686497
2018-06-03	4.24498703215
2018-06-04	4.09467101258
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	-2.83585677031
2018-06-09	-2.56447266184
2018-06-10	-2.47483611741
2018-06-11	-2.33768480968
2018-06-12	-2.13660243607
2018-06-13	-2.23646596011
2018-06-14	-2.38249533528
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	-0.206956287211
2018-06-30	0.46946188469
2018-07-01	1.06017191667
2018-07-02	1.21277857816
2018-07-03	1.35969896343
2018-07-04	1.17605644175
2018-07-05	1.17913513341
2018-07-06	
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	-4.37525242276
2018-07-21	-4.12456730063
2018-07-22	-4.28970710066
2018-07-23	-4.12111293596
2018-07-24	-4.05459735491
2018-07-25	-4.06514578542
2018-07-26	-3.83436862643
2018-07-27	-3.70274340918
2018-07-28	-3.71265993318
2018-07-29	-3.83606129683
2018-07-30	
2018-07-31	-2.82744858757
2018-08-01	-2.71032805676
2018-08-02	-2.94859721169
2018-08-03	-3.22560048239
2018-08-04	-3.32697857734
2018-08-05	-3.0666022946
2018-08-06	-2.89652399717
2018-08-07	
2018-08-08	
2018-08-09	
2018-08-10	
2018-08-11	
2018-08-12	
2018-08-13	
2018-08-14	
2018-08-15	
2018-08-16	
2018-08-17	
2018-08-18	
2018-08-19	
2018-08-20	
2018-08-21	
2018-08-22	2.44753251123
2018-08-23	2.40292198136
2018-08-24	2.33010980732
2018-08-25	2.49808923177
2018-08-26	2.64245680098
2018-08-27	0.371567433419
2018-08-28	0.0432854464596
2018-08-29	-2.73271601316
2018-08-30	-2.69376664087
2018-08-31	-2.53170691549
2018-09-01	-2.72285471483
2018-09-02	-2.84736052669
2018-09-03	-3.22177135594
2018-09-04	-2.96972234378
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	1.73748630844
2018-09-19	2.0016157247
2018-09-20	2.0278755486
2018-09-21	2.32740763059
2018-09-22	2.29118154738
2018-09-23	2.58451864972
2018-09-24	3.03741998772
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	1.04049877673
2018-10-09	0.938097628995
2018-10-10	0.801441487554
2018-10-11	-2.41978058742
2018-10-12	-2.28622053613
2018-10-13	-1.83698755657
2018-10-14	-1.44045144643
2018-10-15	-3.55891064596
2018-10-16	-3.52942982079
2018-10-17	-3.24177843358
2018-10-18	-2.50798299459
2018-10-19	-1.26046755593
2018-10-20	-1.38425429967
2018-10-21	-2.08887243989
2018-10-22	-1.77808941472
2018-10-23	-1.59499455864
2018-10-24	0.30562789762
2018-10-25	0.332488060987
2018-10-26	0.124707532007
2018-10-27	-0.351050272816
2018-10-28	0.40444607805
2018-10-29	0.494683989578
2018-10-30	0.297550678457
2018-10-31	0.143238617663
2018-11-01	
2018-11-02	
2018-11-03	
2018-11-04	
2018-11-05	
2018-11-06	
2018-11-07	
2018-11-08	
2018-11-09	
2018-11-10	
2018-11-11	
2018-11-12	
2018-11-13	-3.71091347514
2018-11-14	-3.59755739134
2018-11-15	-3.59628730089
2018-11-16	-3.6847482062
2018-11-17	-3.42268659802
