Date	Germany
2017-01-01	4.36718749659
2017-01-02	4.35265346407
2017-01-03	2.43501583336
2017-01-04	1.24719266881
2017-01-05	1.23250474622
2017-01-06	1.30703746235
2017-01-07	1.24643633063
2017-01-08	1.46117018259
2017-01-09	0.401015171886
2017-01-10	0.574315462466
2017-01-11	-1.23345917075
2017-01-12	-1.10761157053
2017-01-13	-1.21861380489
2017-01-14	-1.2684624934
2017-01-15	-1.36084896262
2017-01-16	
2017-01-17	
2017-01-18	
2017-01-19	
2017-01-20	
2017-01-21	
2017-01-22	
2017-01-23	
2017-01-24	
2017-01-25	
2017-01-26	
2017-01-27	
2017-01-28	
2017-01-29	
2017-01-30	
2017-01-31	-2.23134663106
2017-02-01	-2.1900366874
2017-02-02	-1.9283512117
2017-02-03	-1.90876542704
2017-02-04	-1.85513642125
2017-02-05	-2.05999080669
2017-02-06	-2.50416003174
2017-02-07	
2017-02-08	
2017-02-09	
2017-02-10	
2017-02-11	
2017-02-12	
2017-02-13	0.616154251366
2017-02-14	0.50270318642
2017-02-15	0.325317891942
2017-02-16	-0.606307591834
2017-02-17	-1.09781681549
2017-02-18	-0.790851020914
2017-02-19	-0.714729074629
2017-02-20	-1.424492862
2017-02-21	-1.53268840278
2017-02-22	-1.49916339614
2017-02-23	-2.12667109293
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	-0.0517373761014
2017-02-28	0.112763765683
2017-03-01	-0.0308834446161
2017-03-02	-0.0902824330635
2017-03-03	-0.382447693022
2017-03-04	-0.681896901462
2017-03-05	-1.07613235355
2017-03-06	-1.28369748917
2017-03-07	-1.40448016927
2017-03-08	-1.04481002393
2017-03-09	-0.913788158653
2017-03-10	-1.09311080666
2017-03-11	-0.390298101625
2017-03-12	-0.192684477678
2017-03-13	-0.487689402178
2017-03-14	-0.296226312419
2017-03-15	-0.743688798202
2017-03-16	
2017-03-17	-1.12871213919
2017-03-18	-1.60380768091
2017-03-19	-0.654402297974
2017-03-20	-1.00456881164
2017-03-21	-1.19221818013
2017-03-22	-0.955508101626
2017-03-23	-0.896073331865
2017-03-24	-0.54015654307
2017-03-25	-0.298730409115
2017-03-26	-0.831783845043
2017-03-27	-0.273484550956
2017-03-28	-0.376843325698
2017-03-29	
2017-03-30	
2017-03-31	
2017-04-01	
2017-04-02	-4.31256318454
2017-04-03	-1.28397406916
2017-04-04	-1.83975073101
2017-04-05	-1.50013132426
2017-04-06	-1.32009784484
2017-04-07	-1.26847402044
2017-04-08	-0.687765369134
2017-04-09	-0.0029062019029
2017-04-10	-0.658419286299
2017-04-11	-0.499591448082
2017-04-12	-0.555782167627
2017-04-13	-0.688149974466
2017-04-14	-1.21972600671
2017-04-15	-1.53487124409
2017-04-16	-1.79636233991
2017-04-17	-2.2731280289
2017-04-18	-2.173173215
2017-04-19	-2.08523226438
2017-04-20	-1.99163860979
2017-04-21	-1.42908514295
2017-04-22	-1.02286602022
2017-04-23	-1.36910705115
2017-04-24	-0.662909760518
2017-04-25	-0.723835040481
2017-04-26	-0.218226816955
2017-04-27	-0.295433367839
2017-04-28	-0.415094656273
2017-04-29	-0.528453091251
2017-04-30	0.390153649064
2017-05-01	0.420012237687
2017-05-02	0.610517925768
2017-05-03	-0.0259992417285
2017-05-04	-0.189541441989
2017-05-05	-0.168597246984
2017-05-06	-0.118628998252
2017-05-07	-0.377041772625
2017-05-08	0.133800944549
2017-05-09	-0.166242416439
2017-05-10	-0.546530095908
2017-05-11	0.851211456103
2017-05-12	0.980933480791
2017-05-13	1.06599761
2017-05-14	0.472446624328
2017-05-15	-0.0340601004455
2017-05-16	-0.0684204087753
2017-05-17	0.514809792287
2017-05-18	-0.0500778534249
2017-05-19	-0.0310002156847
2017-05-20	0.321340001326
2017-05-21	0.516313099407
2017-05-22	0.331170776171
2017-05-23	0.494448022438
2017-05-24	-1.25157800096
2017-05-25	-1.77376188466
2017-05-26	-0.623693336161
2017-05-27	-1.22183311562
2017-05-28	-1.15196193018
2017-05-29	-0.154795059962
2017-05-30	-0.471181582258
2017-05-31	-0.474757469446
2017-06-01	0.275964188349
2017-06-02	-0.256453757044
2017-06-03	0.0264798367375
2017-06-04	0.0643024230941
2017-06-05	-0.351124769051
2017-06-06	1.30313491002
2017-06-07	1.2052905433
2017-06-08	3.93137853159
2017-06-09	4.14458902382
2017-06-10	3.87166237045
2017-06-11	1.20724506494
2017-06-12	1.22065731246
2017-06-13	0.847351149645
2017-06-14	0.790113242167
2017-06-15	-2.14043609809
2017-06-16	-2.12136012557
2017-06-17	-2.25508758451
