Date	UK
2017-01-01	-0.0014160923516
2017-01-02	-0.360716981308
2017-01-03	-0.539951392171
2017-01-04	-0.947508506679
2017-01-05	-1.00984717388
2017-01-06	-1.0767810409
2017-01-07	-1.0794548907
2017-01-08	-1.12795591289
2017-01-09	-0.977468717857
2017-01-10	-0.990867763423
2017-01-11	-0.870800683063
2017-01-12	-1.344354945
2017-01-13	-1.05978366617
2017-01-14	-1.01676878271
2017-01-15	-0.931415225017
2017-01-16	-1.02480007354
2017-01-17	-0.819847188886
2017-01-18	-0.873002107863
2017-01-19	-0.588074213352
2017-01-20	-0.730880555395
2017-01-21	-0.704785248814
2017-01-22	-0.930274780661
2017-01-23	-0.885268968295
2017-01-24	-0.827971271816
2017-01-25	-0.714019230737
2017-01-26	-0.940020090593
2017-01-27	-1.38258318816
2017-01-28	-1.33418824597
2017-01-29	-1.25836996255
2017-01-30	-1.27731797565
2017-01-31	-1.85696604596
2017-02-01	-1.48738687233
2017-02-02	-1.45784615615
2017-02-03	-1.12438898627
2017-02-04	-1.61334048695
2017-02-05	-1.18810855162
2017-02-06	-1.202499479
2017-02-07	-1.06598938656
2017-02-08	-1.40602292355
2017-02-09	-1.27696461051
2017-02-10	-1.41260485108
2017-02-11	-0.794568283129
2017-02-12	-1.21352049904
2017-02-13	-1.38843723662
2017-02-14	-1.30747917553
2017-02-15	-1.08462581544
2017-02-16	-0.813285967962
2017-02-17	-0.901774772238
2017-02-18	-1.04688156915
2017-02-19	-1.29048229905
2017-02-20	-1.48574285867
2017-02-21	-1.04503789793
2017-02-22	-0.805067744651
2017-02-23	-0.963171575258
2017-02-24	-1.32582033542
2017-02-25	-1.17990903415
2017-02-26	-1.37244346319
2017-02-27	-1.10927510323
2017-02-28	-1.32583625565
2017-03-01	-1.39234094939
2017-03-02	-1.54243798974
2017-03-03	-1.02789050826
2017-03-04	-0.967609165585
2017-03-05	-0.706124825765
2017-03-06	-0.828908229049
2017-03-07	-1.11145225698
2017-03-08	-1.49286108118
2017-03-09	-1.50923272369
2017-03-10	-1.39657226195
2017-03-11	-1.33579219504
2017-03-12	-1.28951115532
2017-03-13	-1.29737303052
2017-03-14	-1.59506821959
2017-03-15	-1.33625159617
2017-03-16	-1.09918840001
2017-03-17	-1.52018214238
2017-03-18	-1.59015407248
2017-03-19	-1.70921306066
2017-03-20	-1.66853032078
2017-03-21	-1.48524687879
2017-03-22	-1.52034378926
2017-03-23	-1.64315761883
2017-03-24	-1.50806279612
2017-03-25	-1.32666240284
2017-03-26	-0.936367511115
2017-03-27	-1.28139302777
2017-03-28	-1.58478347484
2017-03-29	-1.81434944938
2017-03-30	-2.04888708153
2017-03-31	-1.96374282581
2017-04-01	-2.18217511503
2017-04-02	-1.54421579091
2017-04-03	-1.0584467807
2017-04-04	-1.02746456413
2017-04-05	-0.59381773386
2017-04-06	-0.532500273226
2017-04-07	-0.447920793937
2017-04-08	-0.384742491789
2017-04-09	-1.21957859676
2017-04-10	-1.49063351601
2017-04-11	-1.65469352617
2017-04-12	-2.0347988476
2017-04-13	-2.05175893696
2017-04-14	-2.24933595879
2017-04-15	-1.47831737284
2017-04-16	-1.05720172903
2017-04-17	-0.992151425124
2017-04-18	-0.835047102171
2017-04-19	-0.830887870116
2017-04-20	-0.667423412365
2017-04-21	-0.413909501087
2017-04-22	-0.993345146458
2017-04-23	-1.2256072578
2017-04-24	-1.15958829069
2017-04-25	0.115033522087
2017-04-26	1.06456692322
2017-04-27	1.06921953974
2017-04-28	0.610664978233
2017-04-29	0.429181262161
2017-04-30	0.37063214218
2017-05-01	0.726874386195
2017-05-02	0.933367466945
2017-05-03	0.121410326097
2017-05-04	0.562216221869
2017-05-05	-0.142303007659
2017-05-06	-0.408719887704
2017-05-07	-0.295733225623
2017-05-08	-0.534090301936
2017-05-09	-1.20877521638
2017-05-10	-1.01386500773
2017-05-11	-2.04189484446
2017-05-12	-1.50049679643
2017-05-13	-1.36693439624
2017-05-14	-1.49597864356
2017-05-15	-1.81232942806
2017-05-16	-1.57479067902
2017-05-17	-1.86747409779
2017-05-18	-1.37910820762
2017-05-19	-1.37650633793
2017-05-20	-1.47973004486
2017-05-21	-1.19635210096
2017-05-22	-0.92198395973
2017-05-23	-0.912586309709
2017-05-24	-0.606463439905
2017-05-25	-0.784045990142
2017-05-26	-0.968986371383
2017-05-27	-1.14575822562
2017-05-28	-0.447516167116
2017-05-29	-0.448617409668
2017-05-30	-0.659877145988
2017-05-31	-0.938808484101
2017-06-01	-0.731607702523
2017-06-02	-0.665721985058
2017-06-03	-0.573597313987
2017-06-04	-0.986524806994
2017-06-05	-1.23452652743
2017-06-06	-1.09051342256
2017-06-07	-0.882796306419
2017-06-08	-1.06049200746
2017-06-09	-1.18242751637
2017-06-10	-0.917785490057
2017-06-11	-1.84217606112
2017-06-12	-1.75191607361
2017-06-13	-1.88036842165
2017-06-14	-1.7082249839
2017-06-15	-1.72301523142
2017-06-16	-1.69770706868
2017-06-17	-2.04207355344
2017-06-18	-2.03961096327
2017-06-19	-1.80661288929
2017-06-20	-1.48730323316
2017-06-21	-1.56703939714
2017-06-22	-1.60460015559
2017-06-23	-1.84894839218
2017-06-24	-1.31290533188
2017-06-25	-1.40031403884
2017-06-26	-1.06666326982
2017-06-27	-1.34358395791
2017-06-28	-0.706893855085
2017-06-29	-0.207811858838
2017-06-30	0.576979348263
2017-07-01	0.209967736757
2017-07-02	-0.31345459954
2017-07-03	-0.652950879726
2017-07-04	-0.379604212315
2017-07-05	-1.0344159197
2017-07-06	-1.40676540845
2017-07-07	-1.44521963389
2017-07-08	-1.05313594513
2017-07-09	-0.958428935649
2017-07-10	-1.18008950033
2017-07-11	-1.4565638846
2017-07-12	-1.09916730748
2017-07-13	-1.03464416433
2017-07-14	-1.1032298232
2017-07-15	-1.55568536354
2017-07-16	-1.16501680958
2017-07-17	-1.1481847171
2017-07-18	-1.09209396888
2017-07-19	-1.36719749837
2017-07-20	-1.55236856296
2017-07-21	-1.583354111
2017-07-22	-1.26132290241
2017-07-23	-1.01560406005
2017-07-24	-1.26535556878
2017-07-25	-1.38761349543
2017-07-26	-0.903159991442
2017-07-27	-0.747037204981
2017-07-28	-0.480295001296
2017-07-29	-0.875298221644
2017-07-30	-1.08402953761
2017-07-31	-0.436569452889
2017-08-01	-0.77845643647
2017-08-02	-0.943040730284
2017-08-03	-0.840051984506
2017-08-04	-0.930392623791
2017-08-05	-0.753747333275
2017-08-06	-0.724542851787
2017-08-07	-0.899578972644
2017-08-08	-0.543665734244
2017-08-09	-1.11439865336
2017-08-10	-1.18971253094
2017-08-11	-1.57752105217
2017-08-12	-1.73613963154
2017-08-13	-1.55141340196
2017-08-14	-1.67028030518
2017-08-15	-1.5625504453
2017-08-16	-1.42684346237
2017-08-17	-1.48484256481
2017-08-18	-1.48101699338
2017-08-19	-1.52013137042
2017-08-20	-1.66982525817
2017-08-21	-1.78017749714
2017-08-22	-1.69821936521
2017-08-23	-1.79969929707
2017-08-24	-1.70940379283
2017-08-25	-1.50158076634
2017-08-26	-1.55316328123
2017-08-27	-1.48612757056
2017-08-28	-1.49512304801
2017-08-29	-1.62348484652
2017-08-30	-1.69498588766
2017-08-31	-1.63717466371
2017-09-01	-1.7971365881
2017-09-02	-1.85301424552
2017-09-03	-2.09982682176
2017-09-04	-2.1102628865
2017-09-05	-2.14759451352
2017-09-06	-2.10875278561
2017-09-07	-2.17643702568
2017-09-08	-2.14055131657
2017-09-09	-1.82508117084
2017-09-10	-1.64922123187
2017-09-11	-1.73709513271
2017-09-12	-1.49877139239
2017-09-13	-1.16257133481
2017-09-14	-1.95168545874
2017-09-15	-1.70779578944
2017-09-16	-2.19515455738
2017-09-17	-2.58608502464
2017-09-18	-2.36658115469
2017-09-19	-2.3721943872
2017-09-20	-2.23401404929
2017-09-21	-1.92750862124
2017-09-22	-2.56937505955
2017-09-23	-2.64568159198
2017-09-24	-2.34458758645
2017-09-25	-2.37007171889
2017-09-26	-2.5963462202
2017-09-27	-2.48572038788
2017-09-28	-2.33188871961
2017-09-29	-1.56766677868
2017-09-30	-1.06716944183
2017-10-01	-1.25580578396
2017-10-02	-0.466469214425
2017-10-03	-0.19956624831
2017-10-04	-0.457160773205
2017-10-05	-0.594795938444
2017-10-06	-0.913439495354
2017-10-07	-1.10247163349
2017-10-08	-0.675541699199
2017-10-09	-1.03872946659
2017-10-10	-1.00577824753
2017-10-11	-0.874044648169
2017-10-12	-0.913217847949
2017-10-13	-0.742774635238
2017-10-14	-0.67391937308
2017-10-15	-0.759078326574
2017-10-16	-1.22658116664
2017-10-17	-0.110065565317
2017-10-18	0.0146572884696
2017-10-19	0.298843075827
2017-10-20	-0.043052361927
2017-10-21	-0.152147237062
2017-10-22	0.0307500897624
2017-10-23	0.033281525096
2017-10-24	-1.39515846857
2017-10-25	-1.41566561514
2017-10-26	-1.5829650757
2017-10-27	-1.70019806053
2017-10-28	-1.61740792658
2017-10-29	-1.8959324071
2017-10-30	-1.88478264529
2017-10-31	-0.98550238259
2017-11-01	-0.448484558985
2017-11-02	-0.669706775773
2017-11-03	-0.407761950443
2017-11-04	-0.334585809835
2017-11-05	-0.0754948203967
2017-11-06	-0.047440116661
2017-11-07	-0.283969431624
2017-11-08	-0.251834678552
2017-11-09	-0.175104923031
2017-11-10	-0.158590911731
2017-11-11	-0.237378953535
2017-11-12	-0.126978081397
2017-11-13	0.191624904075
2017-11-14	0.32751351508
2017-11-15	-1.2742557953
2017-11-16	-1.20827308837
2017-11-17	-0.948624369724
2017-11-18	-0.762131190681
2017-11-19	-0.756889132551
2017-11-20	-1.21096000031
2017-11-21	-1.03193225009
2017-11-22	-0.829761455914
2017-11-23	-0.917650304783
2017-11-24	-1.62922729736
2017-11-25	-1.87232228285
2017-11-26	-1.8605475436
2017-11-27	-1.72000664212
2017-11-28	-2.33727714004
2017-11-29	-2.09951455687
2017-11-30	-2.00989361231
2017-12-01	-1.54868958467
2017-12-02	-1.2718477241
2017-12-03	-1.22961399334
2017-12-04	-0.755919098859
2017-12-05	-0.764512450219
2017-12-06	-1.11965024666
2017-12-07	-1.02825901794
2017-12-08	-0.72555082357
2017-12-09	-0.664970129693
2017-12-10	-0.883172011452
2017-12-11	-1.286070302
2017-12-12	-1.47488601791
2017-12-13	-1.24343679778
2017-12-14	-1.39585104977
2017-12-15	-1.81134813962
2017-12-16	-1.86587141031
2017-12-17	-1.94006277423
2017-12-18	-1.97431230301
2017-12-19	-2.2305071718
2017-12-20	-2.43786050048
2017-12-21	-2.45185570391
2017-12-22	-2.5187568158
2017-12-23	-2.51738529891
2017-12-24	-2.60288251985
2017-12-25	-2.71681329332
2017-12-26	0.0611736989507
2017-12-27	-0.0224315097339
2017-12-28	-0.146674484285
2017-12-29	-0.994000594809
2017-12-30	-1.83652989193
2017-12-31	-1.30271243845
2018-01-01	-1.04172926697
2018-01-02	-1.2866378202
2018-01-03	-0.546390486033
2018-01-04	-0.195556557866
2018-01-05	-0.0914360814636
2018-01-06	0.269716381343
2018-01-07	-0.335324911101
2018-01-08	-0.165879265167
2018-01-09	0.00855687042164
2018-01-10	-0.285076619847
2018-01-11	0.0366804046629
2018-01-12	0.262497298271
2018-01-13	-0.118731905721
2018-01-14	0.157857170427
2018-01-15	0.04656538873
2018-01-16	0.0669354799497
2018-01-17	0.0687144992648
2018-01-18	-0.573394079833
2018-01-19	-0.85638386188
2018-01-20	-0.367344400314
2018-01-21	-0.0569198327171
2018-01-22	-0.086439006897
2018-01-23	-0.539681921809
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	1.30071573409
2018-01-30	-0.0946996213564
2018-01-31	-0.431876135885
2018-02-01	-0.219554738071
2018-02-02	-0.327391464129
2018-02-03	-0.608359013797
2018-02-04	-0.772950822087
2018-02-05	-1.31629642703
