Date	Industrials
2017-01-01	-0.071965168596
2017-01-02	-0.0641875496408
2017-01-03	-0.0668574645599
2017-01-04	-0.0152379182332
2017-01-05	-0.126440308275
2017-01-06	-0.335561284475
2017-01-07	-0.331915459124
2017-01-08	-0.331766831694
2017-01-09	-0.345962417623
2017-01-10	-0.375968147166
2017-01-11	-0.371722858238
2017-01-12	-0.373833322471
2017-01-13	-0.255951798998
2017-01-14	-0.242285316902
2017-01-15	-0.241623459311
2017-01-16	-0.212010457272
2017-01-17	-0.171008018409
2017-01-18	-0.164571434662
2017-01-19	-0.134305070011
2017-01-20	-0.333849058608
2017-01-21	-0.321462305205
2017-01-22	-0.32006288048
2017-01-23	-0.331742720165
2017-01-24	-0.329900942462
2017-01-25	-0.247720527208
2017-01-26	-0.333217910324
2017-01-27	-0.260816709145
2017-01-28	-0.263364754315
2017-01-29	-0.323701296805
2017-01-30	-0.242679769956
2017-01-31	-0.265898891909
2017-02-01	-0.31451463036
2017-02-02	-0.312455375522
2017-02-03	-0.323113928353
2017-02-04	-0.343445757862
2017-02-05	-0.295148045076
2017-02-06	-0.254690119125
2017-02-07	-0.238306744842
2017-02-08	-0.255948567627
2017-02-09	-0.237800516078
2017-02-10	-0.198042223603
2017-02-11	-0.202290808558
2017-02-12	-0.225673464551
2017-02-13	-0.444676021591
2017-02-14	-0.448276673792
2017-02-15	-0.446924177743
2017-02-16	-0.428078161232
2017-02-17	-0.465071185532
2017-02-18	-0.45556072419
2017-02-19	-0.429094360777
2017-02-20	-0.418328349979
2017-02-21	-0.421038678756
2017-02-22	-0.417169773879
2017-02-23	-0.611995310293
2017-02-24	-0.711745211353
2017-02-25	-0.721049272472
2017-02-26	-0.728060684739
2017-02-27	-0.29956626382
2017-02-28	-0.307046335269
2017-03-01	-0.303373480834
2017-03-02	-0.0694565493341
2017-03-03	-0.107638558944
2017-03-04	-0.0914205445682
2017-03-05	-0.0261979700918
2017-03-06	-0.0754880257013
2017-03-07	-0.0240286017113
2017-03-08	-0.0860687548724
2017-03-09	-0.207420575527
2017-03-10	-0.180314336281
2017-03-11	-0.185835094497
2017-03-12	-0.233577914919
