Date	US
2017-01-01	-1.23839872162
2017-01-02	-1.27190225455
2017-01-03	-1.39382579095
2017-01-04	-1.46202525874
2017-01-05	-1.37940544724
2017-01-06	-1.00041074688
2017-01-07	-1.06089926271
2017-01-08	-0.927597036488
2017-01-09	-0.776722649952
2017-01-10	-0.464387285051
2017-01-11	-0.312802057415
2017-01-12	-0.572372889878
2017-01-13	-0.936109375447
2017-01-14	-0.656760022639
2017-01-15	-1.10889830346
2017-01-16	-1.02694955174
2017-01-17	-1.38971383242
2017-01-18	-1.58736273908
2017-01-19	-1.33954453097
2017-01-20	-1.22774400571
2017-01-21	-1.19638710647
2017-01-22	-0.944583037101
2017-01-23	-0.910349531963
2017-01-24	-0.779767358573
2017-01-25	-0.81660651978
2017-01-26	-0.983675270828
2017-01-27	-0.763543684007
2017-01-28	-0.658021566625
2017-01-29	-0.674613808307
2017-01-30	-0.690970502217
2017-01-31	-0.883565051878
2017-02-01	-0.809817051426
2017-02-02	-1.07217021741
2017-02-03	-1.33867249635
2017-02-04	-1.139470875
2017-02-05	-0.972036897033
2017-02-06	-1.10139752929
2017-02-07	-0.792434357746
2017-02-08	-0.533002514249
2017-02-09	-0.528013768609
2017-02-10	-0.438134150162
2017-02-11	-0.827888111176
2017-02-12	-0.489238850699
2017-02-13	-0.524591468066
2017-02-14	-0.866809033185
2017-02-15	-1.0921567388
2017-02-16	-0.556104813121
2017-02-17	-0.801207601504
2017-02-18	-1.06714476197
2017-02-19	-1.71470404504
2017-02-20	-1.51324366008
2017-02-21	-1.52302478323
2017-02-22	-1.3314355487
2017-02-23	-1.2005439029
2017-02-24	-1.20280337641
2017-02-25	-0.695515496685
2017-02-26	-0.391277483095
2017-02-27	-0.409905512737
2017-02-28	0.162515874408
2017-03-01	-0.160125228456
2017-03-02	-0.0414100955945
2017-03-03	0.378703381933
2017-03-04	0.0059556717868
2017-03-05	0.0555166303559
2017-03-06	-0.592244850977
2017-03-07	-0.883100057202
2017-03-08	-0.856761916497
2017-03-09	-0.975529696475
2017-03-10	-0.951459197933
2017-03-11	-0.598842048684
2017-03-12	-0.823718910888
2017-03-13	-0.509464897887
2017-03-14	-0.55778312521
2017-03-15	-0.667440906622
2017-03-16	-0.61237965414
2017-03-17	-0.216000083263
2017-03-18	-0.591933073323
2017-03-19	-0.481733728596
2017-03-20	-0.328771948161
2017-03-21	-0.403654749719
2017-03-22	-0.256729597725
2017-03-23	-0.507644247422
2017-03-24	-0.758038314809
2017-03-25	-0.829163047987
2017-03-26	-0.732930856534
2017-03-27	-0.953173638297
2017-03-28	-0.745855737733
2017-03-29	-0.662474615515
2017-03-30	-0.626628628583
2017-03-31	-0.536182591987
2017-04-01	-0.516044412284
2017-04-02	-0.971964303892
2017-04-03	-0.918572372065
2017-04-04	-0.957692164744
2017-04-05	-0.945614961983
2017-04-06	-1.11862893698
2017-04-07	-1.18908733144
2017-04-08	-1.03996264689
2017-04-09	-0.53595588702
2017-04-10	-0.538786927094
2017-04-11	-0.843850200491
2017-04-12	-0.456899488114
2017-04-13	-0.395654997011
2017-04-14	-0.698856580812
2017-04-15	-0.830245123699
2017-04-16	-0.500660110429
2017-04-17	-0.36224383923
2017-04-18	-0.268978781372
2017-04-19	-0.675999040221
2017-04-20	-0.350153393289
2017-04-21	-0.314733011564
2017-04-22	-0.0421807128305
2017-04-23	-0.45414813867
2017-04-24	-0.528314380067
2017-04-25	-0.398299424148
2017-04-26	-0.20430305814
2017-04-27	-0.45649341738
2017-04-28	-0.339298289091
2017-04-29	-0.586126106883
2017-04-30	-0.670822612426
2017-05-01	-0.913351936195
2017-05-02	-0.892750694246
2017-05-03	-1.25864895633
2017-05-04	-1.18500316162
2017-05-05	-1.19640326279
2017-05-06	-1.19387099832
2017-05-07	-1.34016329474
2017-05-08	-1.09416005411
2017-05-09	-1.3112981181
2017-05-10	-1.33262342099
2017-05-11	-1.56074629833
2017-05-12	-1.4120471641
2017-05-13	-1.39910796498
2017-05-14	-1.43874775658
2017-05-15	-1.59112033204
2017-05-16	-1.39476345724
2017-05-17	-1.47131463283
2017-05-18	-1.41707958133
2017-05-19	-1.14650619002
2017-05-20	-1.10775830712
2017-05-21	-0.8212383019
2017-05-22	-0.563412188815
2017-05-23	-0.66963106227
2017-05-24	-0.501064551813
2017-05-25	-0.281380326664
