Date	Utilities
2017-01-01	-0.240616929351
2017-01-02	-0.232973380686
2017-01-03	-0.239542939031
2017-01-04	-0.12366110269
2017-01-05	-0.115616101969
2017-01-06	-0.00828678104085
2017-01-07	-0.0181765128178
2017-01-08	-0.0141464477828
2017-01-09	-0.0075749076036
2017-01-10	0.217871067676
2017-01-11	0.308692042012
2017-01-12	0.307407265741
2017-01-13	0.314722015746
2017-01-14	0.3250743571
2017-01-15	0.307025317502
2017-01-16	0.254638082849
2017-01-17	0.216723440567
2017-01-18	0.237921431442
2017-01-19	0.232814950788
2017-01-20	0.221825743328
2017-01-21	0.220097983664
2017-01-22	0.209479682365
2017-01-23	-0.0454539841118
2017-01-24	-0.382897654251
2017-01-25	-0.387848214869
2017-01-26	-0.389736669609
2017-01-27	-0.379259881133
2017-01-28	-0.371128717029
2017-01-29	-0.371344540717
2017-01-30	
2017-01-31	
2017-02-01	
2017-02-02	-0.132789992722
2017-02-03	-0.137343256144
2017-02-04	-0.154702362912
2017-02-05	-0.133845817547
2017-02-06	-0.130289963387
2017-02-07	-0.132950256411
2017-02-08	-0.127148557464
2017-02-09	0.000563292967983
2017-02-10	0.00331673865795
2017-02-11	0.00523371825116
2017-02-12	-0.033114768375
2017-02-13	-0.0324894325056
2017-02-14	-0.0376297233401
2017-02-15	-0.0121242961134
2017-02-16	-0.0471678135214
2017-02-17	-0.0433625723366
2017-02-18	-0.0523165996742
2017-02-19	-0.000873016664444
2017-02-20	
2017-02-21	
2017-02-22	
2017-02-23	
2017-02-24	
2017-02-25	
2017-02-26	
2017-02-27	0.143589586189
2017-02-28	0.154469565956
2017-03-01	0.162187095363
2017-03-02	0.159114654685
2017-03-03	0.116331035381
2017-03-04	0.134005876803
2017-03-05	0.130093838815
2017-03-06	0.105238341922
2017-03-07	0.0985044132423
2017-03-08	0.0967701858026
2017-03-09	0.0951503531721
2017-03-10	0.112703269747
2017-03-11	0.110997044084
2017-03-12	0.127256501604
2017-03-13	0.164653741371
2017-03-14	0.22325032563
2017-03-15	0.197144349324
2017-03-16	0.19127942566
2017-03-17	0.190748967189
2017-03-18	0.192517748964
2017-03-19	0.236098300431
2017-03-20	0.238545515275
2017-03-21	0.0780272146406
2017-03-22	-0.0470548975917
2017-03-23	-0.0359182722666
2017-03-24	0.00651202602472
2017-03-25	0.00870990807338
2017-03-26	0.0102677405635
2017-03-27	0.00416295780671
2017-03-28	0.0503316433995
2017-03-29	0.0715740196362
