Date	Australia	Belgium	Canada	France	Germany	Italy	Japan	Netherlands	Spain	Sweden	Switzerland	UK	US
2017-01-01	0.108333333333	0.0	0.386247319441	0.222803873483	0.271988098226	0.350293905441	0.374470899471	0.208333333333	0.153333333333		0.0625	0.14744184387	0.109663451607
2017-01-02	0.108333333333	0.0	0.338628271822	0.200076600756	0.241375853329	0.332436762584	0.374470899471	0.178571428571	0.127777777778		0.05	0.118684886542	0.116891092928
2017-01-03	0.0583333333333	0.0	0.337640780051	0.200276961405	0.25906714037	0.322668752816	0.366534391534	0.178571428571	0.127777777778		0.05	0.123293181473	0.123276093391
2017-01-04	0.0333333333333	0.0	0.331291573701	0.204309219469	0.256686187989	0.324524040385	0.355952380952	0.202380952381	0.0444444444444		0.075	0.118191140657	0.11845620501
2017-01-05	0.0571428571429	0.0	0.328544320954	0.197625844365	0.232596552134	0.310725339087	0.332671957672	0.166666666667	0.0642857142857		0.025	0.104833070156	0.116772219057
2017-01-06	0.0779761904762	0.0	0.300425381071	0.179385799809	0.20824252778	0.296019456734	0.302433862434	0.194444444444	0.0892857142857		0.0916666666667	0.0992208252577	0.105385055496
2017-01-07	0.0779761904762	0.0	0.157568238213	0.13176675219	0.136813956352	0.234244921745	0.231005291005	0.0333333333333	0.0892857142857		0.0916666666667	0.0681962942332	0.086837962864
2017-01-08	0.0988095238095	0.0	0.0861396667848	0.084147704571	0.166575861114	0.150911588412	0.0881481481481	0.0416666666667	0.0892857142857		0.0916666666667	0.0605039865409	0.0789362708121
2017-01-09	0.105753968254	0.0	0.108996809642	0.109622230046	0.173378582202	0.201506826507	0.135767195767	0.0416666666667	0.0892857142857		0.171666666667	0.0645856191939	0.0856423716443
2017-01-10	0.103670634921	0.0	0.111208791209	0.120750594435	0.180426562685	0.199675324675	0.171481481481	0.0416666666667	0.117063492063		0.171666666667	0.0716869261366	0.0860519460483
2017-01-11	0.11755952381	0.0	0.122197802198	0.12752399345	0.182807515066	0.175865800866	0.179884842826	0.0	0.117063492063		0.175238095238	0.0818229805583	0.0875318873399
2017-01-12	0.127083333333	0.0	0.131721611722	0.143909042093	0.191140848399	0.223214285714	0.193227377908	0.0	0.0694444444444		0.175238095238	0.0833195791978	0.0988493055539
2017-01-13	0.124768518519	0.0	0.144084249084	0.139397763897	0.177099334357	0.223214285714	0.196836400464	0.0	0.0277777777778		0.108571428571	0.0764996360307	0.10008240749
2017-01-14	0.106944444444	0.0	0.168098290598	0.139397763897	0.177099334357	0.223214285714	0.125407829036	0.0	0.0277777777778		0.0904761904762	0.0685631280942	0.103769043435
