Date	Energy
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	0.166022754566
2017-10-10	0.183609178881
2017-10-11	0.195041381863
2017-10-12	0.188191569281
2017-10-13	0.183340027275
2017-10-14	0.167619021565
2017-10-15	0.179266433837
2017-10-16	
2017-10-17	
2017-10-18	
2017-10-19	
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	0.410170573686
2017-10-26	0.413235323599
2017-10-27	0.406712710701
2017-10-28	0.401681648064
2017-10-29	0.393112867182
2017-10-30	0.36849732839
2017-10-31	0.373687138341
2017-11-01	
2017-11-02	
2017-11-03	
2017-11-04	
2017-11-05	
2017-11-06	
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	
2017-11-12	
2017-11-13	
2017-11-14	
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	
2017-11-28	
2017-11-29	
2017-11-30	
2017-12-01	
2017-12-02	
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	0.337575974732
2017-12-09	0.35233411649
2017-12-10	0.344543492178
2017-12-11	0.0979208123978
2017-12-12	0.148173014856
2017-12-13	0.143739160239
2017-12-14	0.079046699098
2017-12-15	-0.000624277089345
2017-12-16	0.0091277104623
2017-12-17	0.00481314282804
2017-12-18	0.0761858811143
2017-12-19	0.159572431785
2017-12-20	0.0922530895073
2017-12-21	0.195979459507
2017-12-22	0.183309980149
2017-12-23	0.163752110722
2017-12-24	0.172283723296
2017-12-25	0.167277659725
2017-12-26	-0.0564089201014
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	0.267584884308
2018-01-11	0.266246752165
2018-01-12	0.261994238627
2018-01-13	-0.0531415597897
2018-01-14	-0.0504051821189
2018-01-15	-0.0586367925762
2018-01-16	-0.0529428209952
2018-01-17	-0.125099977649
2018-01-18	-0.18978622558
2018-01-19	-0.178065511575
2018-01-20	-0.0684650157465
2018-01-21	-0.0559591584562
2018-01-22	-0.0927790258382
2018-01-23	-0.0924596392644
2018-01-24	-0.235195629447
2018-01-25	-0.191564175429
2018-01-26	-0.189032687653
2018-01-27	-0.203181084509
2018-01-28	-0.209756847856
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	
2018-02-07	
2018-02-08	-0.293445873581
2018-02-09	-0.303135042455
2018-02-10	-0.308862887207
2018-02-11	-0.313352225663
2018-02-12	-0.318226478927
2018-02-13	-0.330696718733
2018-02-14	-0.327836687376
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	0.196216199199
2018-03-13	0.1874711223
2018-03-14	0.18547518939
2018-03-15	0.191847742547
2018-03-16	0.0431493228362
2018-03-17	0.0234725955635
2018-03-18	0.0356480295055
2018-03-19	-0.106952174457
2018-03-20	-0.10695860529
2018-03-21	-0.0988459646769
2018-03-22	-0.0835751123776
2018-03-23	-0.362948232952
2018-03-24	-0.326258952884
2018-03-25	-0.336480076013
2018-03-26	-0.349854075772
2018-03-27	-0.34105567877
2018-03-28	-0.342550044881
2018-03-29	-0.336150475486
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	-0.245701889557
2018-04-11	-0.240838281252
2018-04-12	-0.254078136577
2018-04-13	-0.276105888014
2018-04-14	-0.080176236546
2018-04-15	-0.0855569708007
2018-04-16	-0.110718771801
2018-04-17	0.0466491598519
2018-04-18	0.0375391549802
2018-04-19	0.0458862698021
2018-04-20	0.0557573513544
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	0.0375063184004
2018-04-27	0.0338143973049
2018-04-28	0.0316525409502
2018-04-29	-0.00639649506884
2018-04-30	-0.122621535293
2018-05-01	-0.0909614934055
2018-05-02	-0.0895012674293
2018-05-03	-0.0261742800381
2018-05-04	-0.144180817446
2018-05-05	-0.149222785813
2018-05-06	-0.0833577353368
2018-05-07	-0.0617709567341
2018-05-08	-0.0863405586962
2018-05-09	-0.0850312592157
2018-05-10	-0.324549530298
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	0.00338924888015
2018-05-19	0.0048789417373
2018-05-20	0.0261898152538
2018-05-21	0.0109849011531
2018-05-22	-0.00299541454399
2018-05-23	0.00439877706262
2018-05-24	0.000485932331435
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	-0.235283695364
2018-06-13	-0.243984854991
2018-06-14	-0.355679012447
2018-06-15	-0.366220804153
2018-06-16	-0.329080066454
2018-06-17	-0.293132753023
2018-06-18	-0.341450586997
2018-06-19	-0.404358304673
2018-06-20	-0.407413997076
2018-06-21	-0.401817395297
2018-06-22	-0.389013381449
2018-06-23	-0.393982163592
2018-06-24	-0.431589329404
2018-06-25	
2018-06-26	-0.489749606139
2018-06-27	-0.477919285716
2018-06-28	-0.484881630594
2018-06-29	-0.503740618794
2018-06-30	-0.529191637672
2018-07-01	-0.554345776461
2018-07-02	-0.559073390916
2018-07-03	-0.312713054898
2018-07-04	-0.33523274457
2018-07-05	-0.330960866771
2018-07-06	-0.321019546678
2018-07-07	-0.29104115229
2018-07-08	-0.274180064612
2018-07-09	-0.100976393056
2018-07-10	0.0596811532739
2018-07-11	0.0378367299009
2018-07-12	-0.0265783543444
2018-07-13	-0.0362774587018
2018-07-14	-0.128070446627
2018-07-15	-0.146859210913
2018-07-16	-0.201438171728
2018-07-17	-0.203117991398
2018-07-18	-0.275578160637
2018-07-19	-0.32529342178
2018-07-20	0.0787794200984
2018-07-21	0.51555329672
2018-07-22	0.547254101005
2018-07-23	0.218951882577
2018-07-24	0.19001047609
2018-07-25	0.176078047231
2018-07-26	0.172158300597
2018-07-27	0.0011112192469
2018-07-28	-0.0521390618642
2018-07-29	-0.0594974796508
2018-07-30	-0.0966814058692
2018-07-31	-0.173455251874
2018-08-01	-0.242861912871
2018-08-02	-0.234465063733
2018-08-03	-0.276041684324
2018-08-04	-0.290716909085
2018-08-05	-0.273043998442
2018-08-06	-0.236482071779
2018-08-07	-0.232912963949
2018-08-08	-0.320205273978
2018-08-09	-0.325540928196
2018-08-10	-0.318312284262
2018-08-11	-0.357149259262
2018-08-12	-0.397592937833
2018-08-13	-0.652859217474
2018-08-14	-0.189134317525
2018-08-15	0.301597135419
2018-08-16	0.299332171482
2018-08-17	0.279362105628
2018-08-18	0.308225545485
2018-08-19	0.313065829839
2018-08-20	-0.0450970260189
2018-08-21	-0.406243225499
2018-08-22	-0.376253238807
2018-08-23	-0.376835240765
2018-08-24	-0.367500623276
2018-08-25	-0.409118291806
2018-08-26	-0.417554611215
2018-08-27	-0.37657980017
2018-08-28	-0.379691646088
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	0.147676069869
2018-09-12	0.143514959472
2018-09-13	0.149328932607
2018-09-14	-0.0771427722911
2018-09-15	-0.0845393677027
2018-09-16	-0.0680575208546
2018-09-17	-0.0772462368059
2018-09-18	-0.200575111169
2018-09-19	-0.192845902111
2018-09-20	-0.2800938791
2018-09-21	-0.27400525192
2018-09-22	-0.256787596847
2018-09-23	-0.27258635948
2018-09-24	-0.523609589329
2018-09-25	-0.518634607006
2018-09-26	-0.515367625235
2018-09-27	-0.510425303483
2018-09-28	-0.50696057805
2018-09-29	-0.401371057827
2018-09-30	-0.401747521971
2018-10-01	-0.323253927665
2018-10-02	-0.318271740388
2018-10-03	-0.36395632086
2018-10-04	-0.522837581084
2018-10-05	-0.52232812876
2018-10-06	-0.464050334262
2018-10-07	-0.461728088945
2018-10-08	-0.351043073813
2018-10-09	-0.350148175403
2018-10-10	-0.25917324507
2018-10-11	-0.0859354309363
2018-10-12	-0.0792315665656
2018-10-13	-0.119169623834
2018-10-14	-0.11528659683
2018-10-15	-0.172730493847
2018-10-16	-0.181730724084
2018-10-17	-0.253389506108
2018-10-18	-0.230412988919
2018-10-19	-0.060836962565
2018-10-20	-0.0643049691245
2018-10-21	0.0205011312803
2018-10-22	-0.127715040503
2018-10-23	-0.23901548169
2018-10-24	-0.231890387188
2018-10-25	-0.236056495234
2018-10-26	-0.318304429779
2018-10-27	-0.310719577551
2018-10-28	-0.419914465993
2018-10-29	-0.456651579762
2018-10-30	-0.428561294327
2018-10-31	-0.267021767806
2018-11-01	-0.221353309471
2018-11-02	-0.242056070446
2018-11-03	-0.281990459107
2018-11-04	-0.262833010827
2018-11-05	-0.216783340081
2018-11-06	-0.214262632393
2018-11-07	-0.344559448136
2018-11-08	-0.395250819155
2018-11-09	-0.399276928312
2018-11-10	-0.353251812567
2018-11-11	-0.353978652959
2018-11-12	-0.379931456167
2018-11-13	-0.32257724399
2018-11-14	-0.30819168906
2018-11-15	-0.348006651859
2018-11-16	-0.447119336229
2018-11-17	-0.47517040213
2018-11-18	-0.523479602177
2018-11-19	-0.28274887154
2018-11-20	-0.27936706694
2018-11-21	-0.199114532161
2018-11-22	-0.1951879694
2018-11-23	-0.0267630415494
2018-11-24	-0.0293762936178
2018-11-25	0.309589481293
2018-11-26	0.110150191791
2018-11-27	0.104278824306
2018-11-28	
2018-11-29	
2018-11-30	0.157415230906
2018-12-01	0.166940005423
2018-12-02	0.151724434823
2018-12-03	0.155943089219
2018-12-04	0.134461986579
2018-12-05	0.136561842588
2018-12-06	0.16249678597
2018-12-07	
2018-12-08	
2018-12-09	
2018-12-10	
2018-12-11	
2018-12-12	
2018-12-13	
2018-12-14	
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	-0.473725162808
2018-12-22	-0.49906910114
2018-12-23	-0.486168709303
2018-12-24	-0.504230333993
2018-12-25	-0.532924225816
2018-12-26	-0.460635605626
2018-12-27	-0.455111479371
2018-12-28	-0.501727282875
2018-12-29	-0.485768956345
2018-12-30	-0.48076335987
2018-12-31	-0.464083935864
2019-01-01	-0.478474529982
2019-01-02	-0.612355288764
2019-01-03	-0.633688318026
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	
2019-01-09	
2019-01-10	
2019-01-11	
2019-01-12	
2019-01-13	
2019-01-14	
2019-01-15	
2019-01-16	-0.312667022581
2019-01-17	-0.299144328704
2019-01-18	-0.28250563715
2019-01-19	-0.272118049098
2019-01-20	-0.258877800169
2019-01-21	-0.269268189685
2019-01-22	-0.268862877838
2019-01-23	
2019-01-24	
2019-01-25	0.184481836112
2019-01-26	0.181577197584
2019-01-27	0.169471856201
2019-01-28	0.181003506192
2019-01-29	0.174566251907
2019-01-30	0.159445907405
2019-01-31	0.16848288753
2019-02-01	-0.14828177135
2019-02-02	-0.137296443243
2019-02-03	-0.140244686809
2019-02-04	-0.133118064578
2019-02-05	-0.0184084577872
2019-02-06	-0.0125819562608
2019-02-07	-0.210630484349
2019-02-08	-0.105392756252
2019-02-09	-0.126586163917
2019-02-10	-0.129327197541
2019-02-11	-0.201677245343
2019-02-12	-0.244921339852
2019-02-13	-0.256327564768
2019-02-14	-0.115833859371
2019-02-15	-0.271599363546
2019-02-16	-0.263239573103
2019-02-17	-0.254973472727
2019-02-18	-0.151993396107
2019-02-19	
2019-02-20	
2019-02-21	
2019-02-22	
2019-02-23	
2019-02-24	
2019-02-25	
2019-02-26	
2019-02-27	
2019-02-28	
2019-03-01	
2019-03-02	
2019-03-03	
2019-03-04	
2019-03-05	
2019-03-06	
2019-03-07	
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	0.127409816858
2019-03-26	0.113578334818
2019-03-27	0.143295569512
2019-03-28	0.143252035522
2019-03-29	0.167041716042
2019-03-30	0.181261551576
2019-03-31	0.177968771417
2019-04-01	
2019-04-02	
2019-04-03	
2019-04-04	
2019-04-05	
2019-04-06	
2019-04-07	0.20186639034
2019-04-08	0.189298135639
2019-04-09	0.18462874646
2019-04-10	0.170916663997
2019-04-11	0.162568081728
2019-04-12	0.159965997679
2019-04-13	0.19871057506
2019-04-14	0.1946593004
2019-04-15	
2019-04-16	
2019-04-17	
2019-04-18	
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	
2019-04-23	
2019-04-24	
2019-04-25	
2019-04-26	0.410963653291
2019-04-27	0.380084659058
2019-04-28	-0.0213747166922
2019-04-29	-0.0156095264769
2019-04-30	-0.0179831100825
2019-05-01	-0.0283885383727
2019-05-02	-0.0704830024441
2019-05-03	-0.351406283642
2019-05-04	-0.345582449175
2019-05-05	-0.240731418563
2019-05-06	-0.257791754762
2019-05-07	-0.218557354723
2019-05-08	-0.235422106243
2019-05-09	-0.231129343632
2019-05-10	-0.194596492806
2019-05-11	-0.238234125743
2019-05-12	-0.251811685833
2019-05-13	-0.266115898999
2019-05-14	-0.314756185688
2019-05-15	
2019-05-16	
2019-05-17	
2019-05-18	
2019-05-19	
2019-05-20	
2019-05-21	
2019-05-22	
2019-05-23	
2019-05-24	
2019-05-25	-0.327113402255
2019-05-26	-0.346776060419
2019-05-27	-0.388564313851
2019-05-28	-0.372841072663
2019-05-29	-0.374482735209
2019-05-30	-0.389140445367
2019-05-31	-0.250712470764
2019-06-01	-0.150660756478
2019-06-02	-0.140968720764
2019-06-03	-0.106471642842
2019-06-04	-0.106361919177
2019-06-05	-0.0969843996776
2019-06-06	-0.102120137842
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	
2019-06-13	
2019-06-14	
2019-06-15	
2019-06-16	
2019-06-17	
2019-06-18	
2019-06-19	
2019-06-20	-0.155540906153
2019-06-21	-0.142948344763
2019-06-22	-0.177000116192
2019-06-23	-0.215503442723
2019-06-24	-0.169131612481
2019-06-25	-0.156116163233
2019-06-26	-0.153599080681
2019-06-27	-0.104943550522
2019-06-28	-0.130088619055
2019-06-29	-0.103267225404
2019-06-30	-0.0881346429868
2019-07-01	
2019-07-02	
2019-07-03	
2019-07-04	
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	
2019-07-13	
2019-07-14	
2019-07-15	
2019-07-16	
2019-07-17	
2019-07-18	
2019-07-19	0.290591592118
2019-07-20	0.284475840314
2019-07-21	0.287391558897
2019-07-22	0.315163270976
2019-07-23	0.326535870284
2019-07-24	0.306030739671
2019-07-25	0.292316281338
2019-07-26	0.26420422133
2019-07-27	0.260074195356
2019-07-28	0.245881364529
2019-07-29	0.230127085042
2019-07-30	0.213198904504
2019-07-31	0.213185397672
2019-08-01	0.289562474202
2019-08-02	0.383180963594
2019-08-03	0.403572403154
2019-08-04	0.387726855535
2019-08-05	0.372122987403
2019-08-06	0.346881244457
2019-08-07	0.342843483222
2019-08-08	
2019-08-09	
2019-08-10	
2019-08-11	
2019-08-12	-0.105655341591
2019-08-13	-0.0656754467412
2019-08-14	-0.000790834423063
2019-08-15	-0.0392993179013
2019-08-16	-0.00794951790132
2019-08-17	0.020117317813
2019-08-18	0.00653043563958
2019-08-19	0.0248149296872
2019-08-20	0.0100643974743
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	
2019-08-29	
2019-08-30	
2019-08-31	
2019-09-01	
2019-09-02	-0.014592966053
2019-09-03	-0.0156861292303
2019-09-04	-0.0149229915076
2019-09-05	-0.0164954528491
2019-09-06	0.043068473504
2019-09-07	0.0605392949326
2019-09-08	0.0482116910365
2019-09-09	
2019-09-10	
2019-09-11	
2019-09-12	
2019-09-13	
2019-09-14	
2019-09-15	
2019-09-16	
2019-09-17	
2019-09-18	
2019-09-19	
2019-09-20	
2019-09-21	
2019-09-22	
2019-09-23	
2019-09-24	
2019-09-25	0.341715026668
2019-09-26	0.321480946467
2019-09-27	0.331259232482
2019-09-28	0.337676461053
2019-09-29	0.320396210259
2019-09-30	0.348957182457
2019-10-01	0.334152167831
2019-10-02	
2019-10-03	
2019-10-04	
2019-10-05	
2019-10-06	
2019-10-07	
2019-10-08	
2019-10-09	
