Date	Materials
2017-12-14	
2017-12-15	
2017-12-16	0.467028216837
2017-12-17	0.458718976287
2017-12-18	0.456756440881
2017-12-19	0.439645814898
2017-12-20	0.382051150398
2017-12-21	0.384772787704
2017-12-22	0.378790840182
2017-12-23	0.364069309977
2017-12-24	0.361606452984
2017-12-25	0.3566463396
2017-12-26	0.331242823158
2017-12-27	
2017-12-28	
2017-12-29	-0.371753236727
2017-12-30	-0.358822542243
2017-12-31	-0.361580492362
2018-01-01	-0.348785422243
2018-01-02	-0.282522358313
2018-01-03	-0.277658678226
2018-01-04	-0.280105990483
2018-01-05	-0.200719596524
2018-01-06	-0.229208669476
2018-01-07	-0.244492291262
2018-01-08	-0.253029641324
2018-01-09	
2018-01-10	
2018-01-11	0.2513792104
2018-01-12	0.243067797665
2018-01-13	0.247287917507
2018-01-14	0.280572954967
2018-01-15	0.27845489326
2018-01-16	0.283057534918
2018-01-17	0.199951484578
2018-01-18	0.0771671582873
2018-01-19	0.0919843152062
2018-01-20	0.115609844449
2018-01-21	0.0909881531793
2018-01-22	0.031506973606
2018-01-23	0.0306863876934
2018-01-24	-0.029118486619
2018-01-25	-0.114389056065
2018-01-26	-0.117649933364
2018-01-27	-0.140096357686
2018-01-28	-0.132473514829
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	
2018-02-06	-0.148345445361
2018-02-07	-0.108140011105
2018-02-08	-0.112810507391
2018-02-09	-0.106577544116
2018-02-10	-0.114805936735
2018-02-11	-0.126176773878
2018-02-12	-0.112416259224
2018-02-13	-0.0956701547104
2018-02-14	
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	0.0982747423236
2018-02-22	0.084069068411
2018-02-23	-0.131295368608
2018-02-24	-0.216721684603
2018-02-25	-0.193115261472
2018-02-26	-0.187349140925
2018-02-27	-0.203266863747
2018-02-28	-0.333766437251
2018-03-01	-0.321637294097
2018-03-02	0.198963042911
2018-03-03	0.729171461537
2018-03-04	0.701775834505
2018-03-05	0.687614993437
2018-03-06	0.684125378152
2018-03-07	0.654176272029
2018-03-08	0.645485985744
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	
2018-03-27	
2018-03-28	
2018-03-29	
2018-03-30	
2018-03-31	0.0312371517316
2018-04-01	0.0574039834776
2018-04-02	0.0183438711565
2018-04-03	0.0164993275851
2018-04-04	0.0385076073086
2018-04-05	0.0422373806034
2018-04-06	0.0658748826813
2018-04-07	0.0366191588718
2018-04-08	0.039210126939
2018-04-09	
2018-04-10	0.509604238772
2018-04-11	0.478549401508
2018-04-12	0.196035761223
2018-04-13	0.197191178626
2018-04-14	0.198066900394
2018-04-15	0.201228745026
2018-04-16	0.190922982306
2018-04-17	-0.0767624680455
2018-04-18	-0.0966676450232
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	-0.247251468652
2018-04-24	-0.192543022648
2018-04-25	-0.174314797374
2018-04-26	-0.176027530353
2018-04-27	-0.170827854029
2018-04-28	-0.1582081951
2018-04-29	-0.159616724692
2018-04-30	-0.110783277577
2018-05-01	
2018-05-02	-0.0137025089056
2018-05-03	0.00911982424714
2018-05-04	0.022870786362
2018-05-05	0.00167056658181
2018-05-06	0.00485421658181
2018-05-07	0.324421540868
2018-05-08	0.33064863035
2018-05-09	0.638117116765
2018-05-10	0.613491124521
2018-05-11	0.153614121191
2018-05-12	0.17132078859
2018-05-13	0.193023121923
2018-05-14	-0.0893945350299
2018-05-15	-0.0713382405519
2018-05-16	-0.0500263150957
2018-05-17	-0.0662518241866
2018-05-18	0.0715227065568
2018-05-19	0.0500184517949
2018-05-20	0.0580343184616
2018-05-21	
2018-05-22	
2018-05-23	-0.0326254709176
2018-05-24	-0.0316363159633
2018-05-25	-0.0202465312724
2018-05-26	-0.0371042281512
2018-05-27	-0.000666378151157
2018-05-28	0.0111984161169
2018-05-29	-0.0132691496238
2018-05-30	
2018-05-31	
2018-06-01	0.42303784505
2018-06-02	0.384323326114
2018-06-03	0.308964088971
2018-06-04	0.327484080655
2018-06-05	0.340252823963
2018-06-06	0.340423756933
2018-06-07	0.31538546959
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	0.291637240244
2018-06-21	0.164137137654
2018-06-22	0.023144857152
2018-06-23	-0.0168389138782
2018-06-24	0.022394620844
2018-06-25	0.0231990138995
2018-06-26	-0.0106482259326
2018-06-27	-0.132619233757
2018-06-28	-0.285578143511
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	-0.0395754743506
2018-07-06	-0.0380879105411
2018-07-07	-0.01671544943
2018-07-08	0.00415878247477
2018-07-09	-0.161868352326
2018-07-10	-0.175079505581
2018-07-11	-0.155657455542
2018-07-12	-0.243158610227
2018-07-13	-0.0849422916806
2018-07-14	-0.0523058457623
2018-07-15	0.00721720328536
2018-07-16	0.150989980894
2018-07-17	0.365002895755
2018-07-18	0.368925238346
2018-07-19	0.384949299607
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	0.142772236474
2018-07-24	0.12571739687
2018-07-25	0.0972850606821
2018-07-26	0.0600819420856
2018-07-27	-0.0467799048696
2018-07-28	-0.0634004398882
2018-07-29	-0.0924592613168
2018-07-30	-0.148947666986
