Date	Consumer Discretionary
2017-07-07	-0.252218040731
2017-07-08	-0.25403813207
2017-07-09	-0.302126588885
2017-07-10	-0.303693853337
2017-07-11	-0.282802351851
2017-07-12	-0.28548167685
2017-07-13	-0.299341371064
2017-07-14	-0.297022380374
2017-07-15	-0.300418875701
2017-07-16	-0.320956993272
2017-07-17	-0.320795185767
2017-07-18	-0.306264188002
2017-07-19	-0.302790360045
2017-07-20	-0.305833960665
2017-07-21	-0.308009734062
2017-07-22	-0.321521827225
2017-07-23	-0.324919718775
2017-07-24	-0.324556167748
2017-07-25	-0.328587986776
2017-07-26	-0.326482446342
2017-07-27	-0.320228264663
2017-07-28	-0.308139633822
2017-07-29	-0.304436105003
2017-07-30	-0.30813060912
2017-07-31	-0.29697996148
2017-08-01	-0.310335471256
2017-08-02	-0.316881573115
2017-08-03	-0.274608354044
2017-08-04	-0.237863752987
2017-08-05	-0.224057901939
2017-08-06	-0.22617256411
2017-08-07	-0.225580898549
2017-08-08	-0.208629248505
2017-08-09	-0.215073492777
2017-08-10	-0.233459847838
2017-08-11	-0.230536814452
2017-08-12	-0.222078072241
2017-08-13	-0.215100179089
2017-08-14	-0.207293498935
2017-08-15	-0.210170042706
2017-08-16	-0.213059683972
2017-08-17	-0.229192527855
2017-08-18	-0.25614616207
2017-08-19	-0.257562235297
2017-08-20	-0.263586027102
2017-08-21	-0.262896525553
2017-08-22	-0.25416847804
2017-08-23	-0.259437370086
2017-08-24	-0.264757687763
2017-08-25	-0.262011412006
2017-08-26	-0.261240683964
2017-08-27	-0.265726079675
2017-08-28	-0.261844498057
2017-08-29	-0.25831729687
2017-08-30	-0.271021896581
2017-08-31	-0.257701580338
2017-09-01	-0.257072957066
2017-09-02	-0.268554073263
2017-09-03	-0.280006711406
2017-09-04	-0.288261374949
2017-09-05	-0.274187225298
2017-09-06	-0.279212066813
2017-09-07	-0.285873539624
2017-09-08	-0.275847680981
2017-09-09	-0.268183348243
2017-09-10	-0.273308885902
2017-09-11	-0.271073770461
2017-09-12	-0.273242926499
2017-09-13	-0.279373410271
2017-09-14	-0.269468738167
2017-09-15	-0.268643703287
2017-09-16	-0.259071644199
2017-09-17	-0.255726125174
2017-09-18	-0.2458187205
2017-09-19	-0.241851295732
2017-09-20	-0.241975756168
2017-09-21	-0.223399784639
2017-09-22	-0.214373185582
2017-09-23	-0.210658993229
2017-09-24	-0.218861294632
2017-09-25	-0.222943798434
2017-09-26	-0.221631596785
2017-09-27	-0.223178865212
2017-09-28	-0.220679911302
2017-09-29	-0.210456470994
2017-09-30	-0.211023451857
2017-10-01	-0.208230845694
2017-10-02	-0.211995561988
2017-10-03	-0.203948634517
2017-10-04	-0.160652850099
2017-10-05	-0.168082019352
2017-10-06	-0.169195796417
2017-10-07	-0.140192885895
2017-10-08	-0.164589114326
2017-10-09	-0.173853565267
2017-10-10	-0.176036373445
2017-10-11	-0.172286146577
2017-10-12	-0.168199019821
2017-10-13	-0.1583929246
2017-10-14	-0.163661249886
2017-10-15	-0.160586066355
2017-10-16	-0.154230548299
2017-10-17	-0.156339319208
2017-10-18	-0.162999277371
2017-10-19	-0.152626209167
2017-10-20	-0.148506636493
2017-10-21	-0.17090864944
2017-10-22	-0.168235982451
2017-10-23	-0.175821997779
2017-10-24	-0.165981936985
2017-10-25	-0.158798066695
2017-10-26	-0.139600706015
2017-10-27	-0.132777843999
2017-10-28	-0.126790449729
2017-10-29	-0.127007517951
2017-10-30	-0.129273804385
2017-10-31	-0.0980607807798
2017-11-01	-0.0915150973644
2017-11-02	-0.105334683411
2017-11-03	-0.134111230467
2017-11-04	-0.130837469186
2017-11-05	-0.117171807667
2017-11-06	-0.1456332143
2017-11-07	-0.10810141681
2017-11-08	-0.107248246476
2017-11-09	-0.115792152283
2017-11-10	-0.115951887327
2017-11-11	-0.117153306923
2017-11-12	-0.124318448968
2017-11-13	-0.142083577087
2017-11-14	-0.135203312972
2017-11-15	-0.142663251673
2017-11-16	-0.143742420451
2017-11-17	-0.10100181459
2017-11-18	-0.100536888991
2017-11-19	-0.10183444156
2017-11-20	-0.101367729171
2017-11-21	-0.127503239331
2017-11-22	-0.111890516219
2017-11-23	-0.110364493907
2017-11-24	-0.109606428256
2017-11-25	-0.130746607812
2017-11-26	-0.130286504152
2017-11-27	-0.0977020525554
2017-11-28	-0.0944817405096
2017-11-29	-0.0960507246024
2017-11-30	-0.159819916553
2017-12-01	-0.158118335899
2017-12-02	-0.159421203803
2017-12-03	-0.166690379807
2017-12-04	-0.185975770851
2017-12-05	-0.174764901973
2017-12-06	-0.174891817418
2017-12-07	-0.18480675892
2017-12-08	-0.180699125379
2017-12-09	-0.158453642114
2017-12-10	-0.160019732762
2017-12-11	-0.173342684573
2017-12-12	-0.178737430087
2017-12-13	-0.153903100895
2017-12-14	-0.164395919626
2017-12-15	-0.166118859329
2017-12-16	-0.165399769867
2017-12-17	-0.19499589849
2017-12-18	-0.20269229276
2017-12-19	-0.231440868193
2017-12-20	-0.236317180577
2017-12-21	-0.229684403879
2017-12-22	-0.228125155718
2017-12-23	-0.225950791507
2017-12-24	-0.226700147202
2017-12-25	-0.230373156962
2017-12-26	-0.233080036595
2017-12-27	-0.265071263515
2017-12-28	-0.250256462382
2017-12-29	-0.282085017244
2017-12-30	-0.269072024926
2017-12-31	-0.269443510389
2018-01-01	-0.270064273067
2018-01-02	-0.246965326327
2018-01-03	-0.225113276344
2018-01-04	-0.238299102974
2018-01-05	-0.211249547922
2018-01-06	-0.202284125971
2018-01-07	-0.204419439158
2018-01-08	-0.207874637975
2018-01-09	-0.212131471472
2018-01-10	-0.200576450951
2018-01-11	-0.193887874767
2018-01-12	-0.214256115926
2018-01-13	-0.210829361513
2018-01-14	-0.210461864699
2018-01-15	-0.212949585402
2018-01-16	-0.221626924151
2018-01-17	-0.219926294401
2018-01-18	-0.187745435195
2018-01-19	-0.176432713969
2018-01-20	-0.148646160288
2018-01-21	-0.143323022885
2018-01-22	-0.145470417263
2018-01-23	-0.146258175944
2018-01-24	-0.169627894763
2018-01-25	-0.165680859237
2018-01-26	-0.12194140352
2018-01-27	-0.145767282887
2018-01-28	-0.0912591683249
2018-01-29	-0.0877070892899
2018-01-30	-0.0876459156339
2018-01-31	-0.0863069955114
2018-02-01	-0.110522208163
2018-02-02	-0.125382522924
2018-02-03	-0.114073050667
2018-02-04	-0.143350567
2018-02-05	-0.143598105759
2018-02-06	-0.130733595478
2018-02-07	-0.13649046832
2018-02-08	-0.111408271292
2018-02-09	-0.108287988955
2018-02-10	-0.105549323804
2018-02-11	-0.0874947146211
2018-02-12	-0.110697881454
2018-02-13	-0.108531066865
2018-02-14	-0.106317673884
2018-02-15	-0.116860148185
2018-02-16	-0.134104019422
2018-02-17	-0.125062220628
2018-02-18	-0.121826866732
2018-02-19	-0.132699506672
2018-02-20	-0.131308908129
2018-02-21	-0.127503278773
2018-02-22	-0.126060331856
2018-02-23	-0.105666383009
