Date	Communication Services
2017-01-01	-0.0623204444231
2017-01-02	-0.0634500865054
2017-01-03	-0.0722609594206
2017-01-04	-0.0744469440748
2017-01-05	-0.0831252992414
2017-01-06	-0.069059035645
2017-01-07	-0.0739943040127
2017-01-08	-0.0753620915785
2017-01-09	-0.0965267657584
2017-01-10	-0.101193930362
2017-01-11	-0.112183527068
2017-01-12	-0.122812586638
2017-01-13	-0.136218098896
2017-01-14	-0.131497970698
2017-01-15	-0.13240502361
2017-01-16	-0.132146026724
2017-01-17	-0.154507425071
2017-01-18	-0.166953977648
2017-01-19	-0.198186125742
2017-01-20	-0.20268939208
2017-01-21	-0.205167445983
2017-01-22	-0.190927634319
2017-01-23	-0.187759210699
2017-01-24	-0.197312983544
2017-01-25	-0.194373540582
2017-01-26	-0.198606707986
2017-01-27	-0.225837484154
2017-01-28	-0.221482236536
2017-01-29	-0.238386240298
2017-01-30	-0.293804182347
2017-01-31	-0.300620036699
2017-02-01	-0.309627202433
2017-02-02	-0.304637728335
2017-02-03	-0.310274369804
2017-02-04	-0.313290892924
2017-02-05	-0.335081139516
2017-02-06	-0.341217702087
2017-02-07	-0.346015341537
2017-02-08	-0.332410482507
2017-02-09	-0.341536453059
2017-02-10	-0.356082323437
2017-02-11	-0.375442697814
2017-02-12	-0.374319515366
2017-02-13	-0.364540610518
2017-02-14	-0.355169498319
2017-02-15	-0.359976143677
2017-02-16	-0.342196962996
2017-02-17	-0.3461029085
2017-02-18	-0.342574931702
2017-02-19	-0.342426267388
2017-02-20	-0.336814034439
2017-02-21	-0.336702863061
2017-02-22	-0.340882232446
2017-02-23	-0.339044267287
2017-02-24	-0.345261991321
2017-02-25	-0.34907887501
2017-02-26	-0.3396281185
2017-02-27	-0.343316697063
2017-02-28	-0.348988763642
2017-03-01	-0.337775545531
2017-03-02	-0.336037445825
2017-03-03	-0.301308447568
2017-03-04	-0.306152882035
2017-03-05	-0.297842073427
2017-03-06	-0.282250904292
2017-03-07	-0.280919551718
2017-03-08	-0.268006147372
2017-03-09	-0.257299804476
2017-03-10	-0.250676480577
2017-03-11	-0.243587573345
2017-03-12	-0.237481831132
2017-03-13	-0.236230355572
2017-03-14	-0.225367051962
2017-03-15	-0.222293838785
2017-03-16	-0.232174262828
2017-03-17	-0.224183353323
2017-03-18	-0.227249017615
2017-03-19	-0.226437794558
2017-03-20	-0.192966851683
2017-03-21	-0.176597992024
2017-03-22	-0.182865432454
2017-03-23	-0.192558000239
2017-03-24	-0.189381995926
2017-03-25	-0.184631790745
2017-03-26	-0.185752301663
2017-03-27	-0.188616671427
2017-03-28	-0.184745740716
2017-03-29	-0.180627426625
2017-03-30	-0.165348568371
2017-03-31	-0.170554107032
2017-04-01	-0.167432658238
2017-04-02	-0.186370877153
2017-04-03	-0.188097234223
2017-04-04	-0.203951677717
2017-04-05	-0.199868163
2017-04-06	-0.196063558577
2017-04-07	-0.196920083935
2017-04-08	-0.1883729926
2017-04-09	-0.191643339566
2017-04-10	-0.172807331736
2017-04-11	-0.155929360744
2017-04-12	-0.156127918963
2017-04-13	-0.159784420267
2017-04-14	-0.153416121449
2017-04-15	-0.143900687234
2017-04-16	-0.127876442806
2017-04-17	-0.125618604289
2017-04-18	-0.150933482592
2017-04-19	-0.171613162321
2017-04-20	-0.194765697551
2017-04-21	-0.207510399675
2017-04-22	-0.199319708279
2017-04-23	-0.196474750393
2017-04-24	-0.196006522085
2017-04-25	-0.18549334533
2017-04-26	-0.177751492497
2017-04-27	-0.182866932668
2017-04-28	-0.185017470772
2017-04-29	-0.171658618529
2017-04-30	-0.172608702634
2017-05-01	-0.16571386815
2017-05-02	-0.160917854844
2017-05-03	-0.158909419419
2017-05-04	-0.154996083813
2017-05-05	-0.157035247177
2017-05-06	-0.15574487502
2017-05-07	-0.15535056042
2017-05-08	-0.149258291937
2017-05-09	-0.153505688975
2017-05-10	-0.185168506371
2017-05-11	-0.206747428376
2017-05-12	-0.188596192718
2017-05-13	-0.180522155026
2017-05-14	-0.197668332086
2017-05-15	-0.222316596671
2017-05-16	-0.218118650043
2017-05-17	-0.224189263128
2017-05-18	-0.198262773557
2017-05-19	-0.199434817644
2017-05-20	-0.189216215152
2017-05-21	-0.173529530255
2017-05-22	-0.167628092076
2017-05-23	-0.163560572116
2017-05-24	-0.165282246794
2017-05-25	-0.165549058008
2017-05-26	-0.180828095956
2017-05-27	-0.178593952336
2017-05-28	-0.16246360153
2017-05-29	-0.157469029584
2017-05-30	-0.156114809892
2017-05-31	-0.182082739516
2017-06-01	-0.188725348992
2017-06-02	-0.173145366085
2017-06-03	-0.157778017224
2017-06-04	-0.165953505509
2017-06-05	-0.163347895804
