Date	Australia	Belgium	Canada	France	Germany	Italy	Japan	Netherlands	Spain	Sweden	Switzerland	UK	US
2017-01-01			-0.666221661371			-0.381918063713						-3.83624634174	-2.41601192174
2017-01-02			-0.768975968389									-3.91553607808	-2.52975612345
2017-01-03			-0.439492352326		0.645103906312							-4.05207916134	-1.16405387202
2017-01-04			-0.294176964068		0.436732335336							0.0444850615212	-1.18738300075
2017-01-05			-0.422116150051		0.42204441274							0.0463546707791	-1.02813939788
2017-01-06			0.473378994804		0.496577128878							3.92265019571	0.416743963384
2017-01-07			0.281236274612		0.435975997154							3.86763438429	-1.36069067591
2017-01-08			-0.274965729642		0.650709849113							4.05979443986	-1.34089056829
2017-01-09			-0.335161090652		0.587922351804							4.11488929266	-0.971632509622
2017-01-10												4.15035132933	-1.10792689163
2017-01-11													-0.678889676024
2017-01-12													-0.647573568726
2017-01-13			-0.399754392148										-0.727393237207
2017-01-14			-0.243279599345										0.00314936317878
2017-01-15			-0.540126796687										-0.0264902615152
2017-01-16			-1.23894662249										0.803815837483
2017-01-17			-1.32622825134										1.14460493841
2017-01-18			-1.46690198069										2.14648348788
2017-01-19			-1.57894465422										2.13233743697
2017-01-20			-1.96990155971										2.2138490091
2017-01-21			-1.77800340002										2.15142643595
2017-01-22			-1.59566604009									-1.54489465371	2.07319566479
2017-01-23			-1.59070907549									-1.49521432408	
2017-01-24												-1.5911761508	
2017-01-25												-1.67325525079	-2.31701814839
2017-01-26												-1.85960912406	1.41966915684
2017-01-27												-1.79090915213	1.53390810996
2017-01-28												-1.74251420994	1.44539780939
2017-01-29													1.4825262474
2017-01-30													2.81213689136
2017-01-31													2.75627539289
2017-02-01													5.54201744088
2017-02-02													4.75142695004
2017-02-03			-0.426301321044				-3.91252653085						4.56381651482
2017-02-04			-0.215990688478				-3.63425969578						4.70046422288
2017-02-05			0.0456732351258				-3.75873400401						4.7119441266
2017-02-06			-0.414846916276				-4.14035737314						1.44984415411
2017-02-07			-0.409032773814				-4.18525278173						1.31215516697
2017-02-08			-0.574729724543	-3.77510234341			-4.37574195981					-2.82146468529	1.59874171596
2017-02-09			-0.806626185612	-3.81135782711			-4.40988520661					-1.84704240374	0.394083509688
2017-02-10	2.23982021045			-3.26395076641	1.60654903818		1.76342208138					-1.91933911695	0.729800228667
2017-02-11	1.71525393974			-2.65587311585	1.60654903818		1.69339327916					-1.95370986968	0.371450908548
2017-02-12	1.86705701761			-2.70564071965	1.51671516283		1.68786018201					-1.94851958644	0.200719191015
2017-02-13	1.66565547852			-2.803049174	1.31104385737		1.68385126087					-2.07921702833	0.969730344632
2017-02-14	1.69335873958	4.66260237589	0.693376146209	-1.92346379687	1.19759279242		1.64249502235					-1.66155487711	0.959807918808
2017-02-15	1.5642971901	5.18766857322	0.668775715639	-1.40728800256	1.02020749794		1.82076506175					-1.33796977809	0.734460213198
2017-02-16	1.40624740696	5.25637920792	0.948971524126	-0.149893620488	1.13926008271		1.92982692961					-1.25882421644	0.866387104132
2017-02-17		5.25343966759	1.2370696106	1.32313776904								-0.717354678222	0.990146202323
2017-02-18		6.09251879958	2.17204820531	1.30373475746								-0.862461475134	0.590814523968
2017-02-19		6.09251879958	2.00044936621	0.753806574364								0.203091466865	0.780513976084
2017-02-20		5.16566614596	1.86717670719	0.990063694609								0.365555206263	0.0128998369896
2017-02-21													-1.32839982034
2017-02-22													-1.29503223425
2017-02-23			0.607590073151										-1.14176561112
2017-02-24			0.691077578032	-2.96716157123								-3.05672656529	-1.1553660536
2017-02-25			0.594534208337	-2.88082528237								-2.84052978651	-1.36721948507
2017-02-26			0.697698854665	-2.48443658683								-3.24187892303	-1.28979029072
2017-02-27			0.909433472939	-2.54208074382								-3.42861354233	-0.241615399648
2017-02-28	0.513844285809		1.3076297373	-2.40595884448								-3.49621885111	-0.991858313236
2017-03-01	0.524422917826		0.84244412985	-2.47264657757								-3.481459729	-1.11887874182
2017-03-02	0.146665162389			-2.4587009905								-3.38407875616	-1.26517246401
2017-03-03	0.169590699248			-2.70176418269		-3.38396417059							-1.85478016227
2017-03-04	0.254802039158			-2.81805939367		-3.14802499291							-1.91649024376
2017-03-05	0.291047327667			-2.71032654563		-3.45653257186							-1.80592683817
2017-03-06	0.361541351141			-2.54919725883		-3.5382188118							-2.91636096995
