Date	EUR
2017-01-01	-1.06265161435
2017-01-02	-1.43471548371
2017-01-03	-1.5070890955
2017-01-04	-1.76711297439
2017-01-05	-1.60013828648
2017-01-06	-1.6452767301
2017-01-07	-2.20837415528
2017-01-08	-2.29851517466
2017-01-09	-2.11364291835
2017-01-10	-2.03147345136
2017-01-11	-1.62422022741
2017-01-12	-1.87587391464
2017-01-13	-1.73412849439
2017-01-14	-0.860953406754
2017-01-15	-1.04722381078
2017-01-16	-1.21335156615
2017-01-17	-0.787784526185
2017-01-18	-1.21958647358
2017-01-19	-1.43420536543
2017-01-20	-1.65607259045
2017-01-21	-1.62278318306
2017-01-22	-1.77278367278
2017-01-23	-1.56528012921
2017-01-24	-1.97545549483
2017-01-25	-1.42276839081
2017-01-26	-1.41153108531
2017-01-27	-1.6004527487
2017-01-28	-1.35551065383
2017-01-29	-1.11353455965
2017-01-30	-1.33887538999
2017-01-31	-1.22834736825
2017-02-01	-1.76287781095
2017-02-02	-1.44100772476
2017-02-03	-1.48399095552
2017-02-04	-1.75173652618
2017-02-05	-1.65723757904
2017-02-06	-1.45481904786
2017-02-07	-1.5493182773
2017-02-08	-1.71593637082
2017-02-09	-1.98216003975
2017-02-10	-1.74319833701
2017-02-11	-1.01963616986
2017-02-12	-1.39191576037
2017-02-13	-1.37804045193
2017-02-14	-0.675247263322
2017-02-15	0.700818964853
2017-02-16	0.851764518787
2017-02-17	0.594248589861
2017-02-18	-0.206807158092
2017-02-19	-0.0653683480946
2017-02-20	0.409360417051
2017-02-21	-0.0730749127259
2017-02-22	-0.384514076736
2017-02-23	-0.554047160475
2017-02-24	-0.71176554437
2017-02-25	-0.419748188973
2017-02-26	-0.955534367129
2017-02-27	-1.58319846945
2017-02-28	-1.55690439057
2017-03-01	-1.99842275937
2017-03-02	-1.92623358495
2017-03-03	-1.99470830032
2017-03-04	-1.64788054316
2017-03-05	-1.1714904554
2017-03-06	-0.700304301906
2017-03-07	-0.637439670621
2017-03-08	-0.551501286496
2017-03-09	-0.586441656427
2017-03-10	-0.628097840422
2017-03-11	-1.22709484373
2017-03-12	-1.06659306142
2017-03-13	-1.20203879951
2017-03-14	-1.36136662993
2017-03-15	-1.3968038271
2017-03-16	-1.5627995439
2017-03-17	-1.17788671221
2017-03-18	-0.524432053221
2017-03-19	-0.790562849216
2017-03-20	-0.865207567686
2017-03-21	-0.61532486441
2017-03-22	-0.394553374571
2017-03-23	0.0856691799008
2017-03-24	-0.546471888216
2017-03-25	-1.60254989171
2017-03-26	-1.24726580208
2017-03-27	-1.16393318172
2017-03-28	-1.17569878102
2017-03-29	-1.6953522745
2017-03-30	-2.01055099772
2017-03-31	-1.9331621046
2017-04-01	-1.59213344845
2017-04-02	-1.69424659251
2017-04-03	-1.56418720614
2017-04-04	-1.57117802272
2017-04-05	-0.579445242879
2017-04-06	-0.756887617297
2017-04-07	-0.715319315117
2017-04-08	-0.89090946669
2017-04-09	0.758911985626
2017-04-10	1.41788463371
2017-04-11	0.523369355454
2017-04-12	-0.46901149068
2017-04-13	0.316081803288
2017-04-14	0.406748121689
2017-04-15	0.6793946974
2017-04-16	-1.05514769653
2017-04-17	-0.924983032673
2017-04-18	-1.02511052363
2017-04-19	-0.65271431926
2017-04-20	-0.819453434619
2017-04-21	-1.64839096306
2017-04-22	-1.34341629679
2017-04-23	-1.3173588315
2017-04-24	-1.38057467369
2017-04-25	-0.86209004229
2017-04-26	-0.589873543036
2017-04-27	-0.51118995892
2017-04-28	-0.381308070239
2017-04-29	-0.753324487457
2017-04-30	-1.00427395591
2017-05-01	-1.10088125779
2017-05-02	-1.38869400483
2017-05-03	-2.30208110686
2017-05-04	-2.6786015861
2017-05-05	-1.99051079514
2017-05-06	-1.88049495845
2017-05-07	-1.74245816075
2017-05-08	-1.84754489454
2017-05-09	-1.96074772671
2017-05-10	-1.80524936274
2017-05-11	-1.24292773728
2017-05-12	-1.91880647549
2017-05-13	-1.43666068291
2017-05-14	-0.712358253407
2017-05-15	-0.269963075596
2017-05-16	-0.114071298783
2017-05-17	-0.359661421616
2017-05-18	-0.264551766313
2017-05-19	-0.443765262377
2017-05-20	-0.584588260337
2017-05-21	-0.116908881626
2017-05-22	-0.780449644019
2017-05-23	-0.346140576183
2017-05-24	-0.159687418412
2017-05-25	0.389836477123
2017-05-26	0.496066975763
2017-05-27	0.0395620379077
2017-05-28	-0.8132017898
2017-05-29	-0.0922123338806
2017-05-30	0.145430227749
2017-05-31	-0.255062123247
2017-06-01	-0.985202145677
2017-06-02	-0.910850180017
2017-06-03	-0.826196482198
2017-06-04	-0.832397100518
2017-06-05	-1.84423663495
2017-06-06	-3.02470871193
2017-06-07	-3.96992302637
2017-06-08	-2.15630875815
2017-06-09	-1.78879830326
2017-06-10	-1.70007363674
2017-06-11	-1.58947161669
2017-06-12	-1.52519627492
2017-06-13	-0.581603805072
2017-06-14	-0.748422265903
2017-06-15	-1.0424555132
2017-06-16	-1.0049398131
