Date	BankOfEngland Hawkish-Dovish
2017-01-01	0.00256009280218
2017-01-02	0.00169690764897
2017-01-03	0.00309063587196
2017-01-04	0.000430153306882
2017-01-05	-0.000346756006613
2017-01-06	-2.57287192935e-05
2017-01-07	0.000695772002207
2017-01-08	-0.000599169454459
2017-01-09	-4.65433074552e-05
2017-01-10	-4.65433074552e-05
2017-01-11	0.00143483775379
2017-01-12	0.000469586788539
2017-01-13	0.00200899565553
2017-01-14	0.00128749493403
2017-01-15	0.00252344260348
2017-01-16	0.00350944909365
2017-01-17	0.00529516337937
2017-01-18	0.0067982750843
2017-01-19	0.00710029864214
2017-01-20	0.00524622646488
2017-01-21	0.00667479789346
2017-01-22	0.00532858313261
2017-01-23	0.00399022547298
2017-01-24	0.0024966525837
2017-01-25	-0.00112718501104
2017-01-26	-0.00142920856888
2017-01-27	0.000178279563617
2017-01-28	-0.000517691132354
2017-01-29	0.00361598007449
2017-01-30	0.00532164311773
2017-01-31	0.00662033850144
2017-02-01	0.0125877802045
2017-02-02	0.0181198335725
2017-02-03	0.0209539928773
2017-02-04	0.0229338695407
2017-02-05	0.0232255087063
2017-02-06	0.0225212798739
2017-02-07	0.0218140955238
2017-02-08	0.0204888026702
2017-02-09	0.0131446079551
2017-02-10	0.0108932099488
2017-02-11	0.00903107268881
2017-02-12	0.0106314570517
2017-02-13	0.0125201045087
2017-02-14	0.0146334550757
2017-02-15	0.0158943573933
2017-02-16	0.0202882543341
2017-02-17	0.0193608350908
2017-02-18	0.0185104949548
2017-02-19	0.0144387823104
2017-02-20	0.0160467019016
2017-02-21	0.0158386669864
2017-02-22	0.0126667073094
2017-02-23	0.00980150500354
2017-02-24	0.00919592120257
2017-02-25	0.00994386435889
2017-02-26	0.0100895592407
2017-02-27	0.00686108022886
2017-02-28	0.0051174083143
2017-03-01	0.00724709779456
2017-03-02	0.00712121171903
2017-03-03	0.00741638374467
2017-03-04	0.0074203202876
2017-03-05	0.00666347524018
2017-03-06	0.00664718194074
2017-03-07	0.00560188577349
2017-03-08	0.00318181390036
2017-03-09	0.00394563091337
2017-03-10	0.00526482297375
2017-03-11	0.00634444510601
2017-03-12	0.0124536849184
2017-03-13	0.0172415174068
2017-03-14	0.022424542998
2017-03-15	0.0295325133425
2017-03-16	0.0339399338789
2017-03-17	0.037416032418
2017-03-18	0.0443146893167
2017-03-19	0.0451402622643
2017-03-20	0.043415746371
2017-03-21	0.0434977260448
2017-03-22	0.0391746047998
2017-03-23	0.0370582026834
2017-03-24	0.0346575019954
2017-03-25	0.0270434146938
2017-03-26	0.0224546343355
2017-03-27	0.0188009989684
2017-03-28	0.0152613215156
2017-03-29	0.0118456223103
2017-03-30	0.0112169263875
2017-03-31	0.00882663594864
2017-04-01	0.0116352113019
2017-04-02	0.00859569762405
2017-04-03	0.00891245403836
2017-04-04	0.00807812711708
2017-04-05	0.0100435176367
2017-04-06	0.00897487779137
2017-04-07	0.0103368312328
2017-04-08	0.00745493731854
2017-04-09	0.00813198538896
2017-04-10	0.00847507720955
2017-04-11	0.0113600360416
2017-04-12	0.0126496964222
2017-04-13	0.0111243289676
2017-04-14	0.00862256087197
2017-04-15	0.00757980800439
2017-04-16	0.00690275993398
2017-04-17	0.00624291169908
2017-04-18	0.00246695197598
2017-04-19	-0.00137826669263
2017-04-20	0.00163399881963
2017-04-21	0.00432956109708
2017-04-22	0.00432956109708
2017-04-23	0.00432956109708
2017-04-24	0.00432956109708
2017-04-25	0.00404944905226
2017-04-26	0.00463286713287
2017-04-27	0.0021978021978
2017-04-28	0.0002886002886
2017-04-29	-0.001443001443
2017-04-30	-0.001443001443
2017-05-01	-0.001443001443
2017-05-02	-0.000854342653352
2017-05-03	-0.000838684216064
2017-05-04	0.00192986506411
2017-05-05	0.00390370821443
2017-05-06	0.0134275177382
2017-05-07	0.0164541521208
2017-05-08	0.0245024418592
2017-05-09	0.0280400489606
2017-05-10	0.0307135955355
2017-05-11	0.0348574886517
2017-05-12	0.0376970860291
2017-05-13	0.0288844700736
2017-05-14	0.0306197404529
2017-05-15	0.025952684865
2017-05-16	0.0244678061074
2017-05-17	0.0220875906703
2017-05-18	0.0175256314289
2017-05-19	0.0141692990792
2017-05-20	0.0151897072425
2017-05-21	0.0139638703731
2017-05-22	0.0105826362226
2017-05-23	0.00902998647102
2017-05-24	0.00844088485099
2017-05-25	0.00609040169612
2017-05-26	0.00464544510913
2017-05-27	0.00464544510913
2017-05-28	0.00110937721663
2017-05-29	0.00110937721663
2017-05-30	0.000871039875137
2017-05-31	0.000871039875137
2017-06-01	0.00200934380229
2017-06-02	0.00170859192259
2017-06-03	0.000858251786532
2017-06-04	0.000858251786532
2017-06-05	0.00203888933081
2017-06-06	0.00207910194587
2017-06-07	0.0035279573501
2017-06-08	0.0027008890283
2017-06-09	0.0027008890283
2017-06-10	0.00705692592159
2017-06-11	0.0104421662737
2017-06-12	0.0159215353894
2017-06-13	0.0207589766675
2017-06-14	0.021214883168
2017-06-15	0.0298322189913
2017-06-16	0.0393092284683
2017-06-17	0.044609793942
2017-06-18	0.0477551658348
2017-06-19	0.0427222336948
2017-06-20	0.0486074263126
2017-06-21	0.0522096290985
2017-06-22	0.0503168484316
2017-06-23	0.0465541246689
2017-06-24	0.0466072201345
2017-06-25	0.0408364863091
2017-06-26	0.0430894823358
2017-06-27	0.0335465375895
2017-06-28	0.0356926341233
2017-06-29	0.0426562070269
2017-06-30	0.0478854291506
2017-07-01	0.0432588756868
2017-07-02	0.0441041337039
2017-07-03	0.0477428601497
2017-07-04	0.0601003584503
2017-07-05	0.0589408037193
2017-07-06	0.0483208563367
2017-07-07	0.0418309284919
2017-07-08	0.0415390109586
2017-07-09	0.042819877408
2017-07-10	0.040457283024
2017-07-11	0.0363936285767
2017-07-12	0.0365080515986
2017-07-13	0.0334325866837
2017-07-14	0.0325653784778
2017-07-15	0.0286244917783
2017-07-16	0.0277044128766
2017-07-17	0.0258495307963
2017-07-18	0.0282350011135
2017-07-19	0.0249848249558
2017-07-20	0.0252545970533
2017-07-21	0.0226080748902
2017-07-22	0.0206775729597
2017-07-23	0.0212179146396
2017-07-24	0.0187771793093
2017-07-25	0.00977788937523
2017-07-26	0.0070020388397
2017-07-27	0.00697988735456
2017-07-28	0.00864797745811
2017-07-29	0.0105784793886
2017-07-30	0.0106934457035
2017-07-31	0.0164706671434
2017-08-01	0.0147216235427
2017-08-02	0.0198868471572
2017-08-03	0.0230495608914
2017-08-04	0.0236375304
2017-08-05	0.0227390578034
2017-08-06	0.0226918283983
2017-08-07	0.0198596423694
2017-08-08	0.0195335612593
2017-08-09	0.014766586746
2017-08-10	0.012767566898
2017-08-11	0.0118758051272
2017-08-12	0.0127742777238
2017-08-13	0.0114109289028
2017-08-14	0.00954894289063
2017-08-15	0.0159359547722
2017-08-16	0.0155498034427
2017-08-17	0.0159457268798
2017-08-18	0.0158837318807
2017-08-19	0.0198083786625
2017-08-20	0.019914380604
2017-08-21	0.0203320210959
2017-08-22	0.0134263441179
2017-08-23	0.0125322234758
2017-08-24	0.0113157553178
2017-08-25	0.0090736028514
2017-08-26	0.00514895606962
2017-08-27	0.0059127442031
2017-08-28	0.00444619025979
2017-08-29	0.00330324155023
2017-08-30	0.00579274309797
2017-08-31	0.00913531008832
2017-09-01	0.0115566175944
2017-09-02	0.0115566175944
2017-09-03	0.0100764138624
2017-09-04	0.0110655231724
2017-09-05	0.0123561132329
2017-09-06	0.0104501784452
2017-09-07	0.00621289030956
2017-09-08	0.00596845355181
2017-09-09	0.00517918756917
2017-09-10	0.0138328514639
2017-09-11	0.0161507016809
2017-09-12	0.0274217181079
2017-09-13	0.0341410725163
2017-09-14	0.0525742522398
2017-09-15	0.0681454175695
