Date	RBA Excess Sentiment
2017-07-07	0.173378511128
2017-07-08	-0.410250551133
2017-07-09	-0.094835988154
2017-07-10	-0.259784048732
2017-07-11	-0.195130089132
2017-07-12	-0.136643975147
2017-07-13	-0.530570530034
2017-07-14	-0.646094612768
2017-07-15	-0.293083916901
2017-07-16	-0.795460258939
2017-07-17	-0.587693554548
2017-07-18	-0.773357026215
2017-07-19	-0.700301555944
2017-07-20	-0.515452568256
2017-07-21	-0.525938789663
2017-07-22	-0.497532627333
2017-07-23	-0.275969318803
2017-07-24	-0.219697453087
2017-07-25	-0.136390479857
2017-07-26	-0.106801783466
2017-07-27	-0.130916164637
2017-07-28	-0.0932369373818
2017-07-29	-0.186870583877
2017-07-30	-0.195674412501
2017-07-31	-0.324108824411
2017-08-01	-0.314880054364
2017-08-02	-0.45829264061
2017-08-03	-0.500582079903
2017-08-04	-0.41396004832
2017-08-05	-0.499572369998
2017-08-06	-0.629541877806
2017-08-07	-0.742445774682
2017-08-08	-0.655761924438
2017-08-09	-0.525193466052
2017-08-10	-0.441651324392
2017-08-11	-0.494763258177
2017-08-12	-0.56279849725
2017-08-13	-0.620359444003
2017-08-14	-0.612975665227
2017-08-15	-0.540800052572
2017-08-16	-0.755529812844
2017-08-17	-0.667683882963
2017-08-18	-0.649307878429
2017-08-19	-0.328713606712
2017-08-20	-0.241855445689
2017-08-21	-0.548014614591
2017-08-22	-0.743891352128
2017-08-23	-0.480780219014
2017-08-24	-0.385678900548
2017-08-25	-0.519691330767
2017-08-26	-0.504331493252
2017-08-27	-0.364298327602
2017-08-28	0.15189972392
2017-08-29	0.292118506548
2017-08-30	0.362578973408
2017-08-31	0.291367608179
2017-09-01	0.367102046889
2017-09-02	0.389484701261
2017-09-03	0.296938837238
2017-09-04	0.10307867498
2017-09-05	0.019301959074
2017-09-06	-0.118637373589
2017-09-07	-0.251442896168
2017-09-08	-0.136439818164
2017-09-09	-0.217252175032
2017-09-10	-0.293433265928
2017-09-11	0.0162762159362
2017-09-12	0.127905086791
2017-09-13	-0.0292588394285
2017-09-14	0.278158021304
2017-09-15	0.176730579355
2017-09-16	0.159286123201
2017-09-17	0.381845971713
2017-09-18	0.105969206255
2017-09-19	0.144888013484
2017-09-20	0.402649639498
2017-09-21	0.0430436493579
2017-09-22	-0.00738424144265
2017-09-23	-0.0394060494243
2017-09-24	0.155821206634
2017-09-25	0.111798430806
2017-09-26	0.0756774483645
2017-09-27	-0.00256035334016
2017-09-28	0.164038308704
2017-09-29	0.195325189785
2017-09-30	0.499060961028
2017-10-01	0.19554923874
2017-10-02	0.417236595152
2017-10-03	0.342581516477
2017-10-04	0.20980687133
2017-10-05	0.0303765900663
2017-10-06	-0.0804832858708
2017-10-07	-0.271168690702
2017-10-08	-0.429563212734
2017-10-09	-0.600696288122
2017-10-10	-0.469660832992
2017-10-11	-0.280011901154
2017-10-12	0.0796667968462
2017-10-13	0.305403713905
2017-10-14	0.1084114392
2017-10-15	0.236499317466
2017-10-16	0.294835072815
2017-10-17	0.0215239737309
2017-10-18	-0.109993324918
2017-10-19	-0.324146887454
2017-10-20	-0.381892361392
2017-10-21	-0.284548882093
2017-10-22	-0.280758498594
2017-10-23	-0.369610826059
2017-10-24	-0.15995378144
2017-10-25	-0.230812801594
2017-10-26	-0.444109504033
2017-10-27	-0.402567205771
2017-10-28	-0.145505293482
2017-10-29	-0.160726327613
2017-10-30	-0.107632974122
2017-10-31	-0.293717290044
2017-11-01	-0.366437377064
2017-11-02	-0.22214771101
2017-11-03	-0.461991470526
2017-11-04	-0.891067172132
2017-11-05	-0.906177189329
2017-11-06	-0.847233851063
2017-11-07	-0.718985759551
2017-11-08	-0.559619633165
2017-11-09	-0.790647318029
2017-11-10	-0.566870603149
2017-11-11	-0.348675117787
2017-11-12	-0.652917128692
2017-11-13	-0.715413983125
2017-11-14	-0.829611831761
2017-11-15	-0.788545479211
2017-11-16	-0.67213915614
2017-11-17	-0.794484177827
2017-11-18	-0.919448091251
2017-11-19	-0.765805651145
2017-11-20	-0.806703326089
2017-11-21	-0.797465495931
2017-11-22	-0.824745996154
2017-11-23	-0.756110974336
2017-11-24	-0.836015194997
2017-11-25	-0.794569345647
2017-11-26	-0.590316312278
2017-11-27	-0.726349775935
2017-11-28	-0.68160863507
2017-11-29	-0.52844159293
2017-11-30	-0.436604777775
2017-12-01	-0.0970482815387
2017-12-02	0.21591716892
2017-12-03	0.252539833068
2017-12-04	0.499060962345
2017-12-05	0.567681584471
