Date	Banxico Excess Sentiment
2017-01-01	-0.809011557973
2017-01-02	-1.20444652017
2017-01-03	-0.624708985363
2017-01-04	-0.578901602816
2017-01-05	-0.667890758327
2017-01-06	-0.479595870634
2017-01-07	0.499297895579
2017-01-08	0.164960987662
2017-01-09	0.310811141009
2017-01-10	-0.162447745045
2017-01-11	-0.232709501772
2017-01-12	-0.342333225362
2017-01-13	-0.727210922117
2017-01-14	-1.21799909556
2017-01-15	-1.4752941744
2017-01-16	-1.49412303714
2017-01-17	-1.48105536865
2017-01-18	-1.68642584235
2017-01-19	-1.91415346061
2017-01-20	-2.01585402948
2017-01-21	-1.44001859243
2017-01-22	-1.05680198982
2017-01-23	-1.26855157816
2017-01-24	-1.42629719269
2017-01-25	-1.62598381919
2017-01-26	-1.6219997183
2017-01-27	-1.57339184026
2017-01-28	-2.89235131433
2017-01-29	-2.60367248396
2017-01-30	-2.48273498463
2017-01-31	-2.33480194558
2017-02-01	-1.70117774874
2017-02-02	-1.39953730857
2017-02-03	-1.29481597055
2017-02-04	-1.22068197788
2017-02-05	-1.27195183176
2017-02-06	-1.12297493654
2017-02-07	-1.26268997457
2017-02-08	-1.51709706517
2017-02-09	-0.954540508268
2017-02-10	-0.885598534502
2017-02-11	-0.924672868591
2017-02-12	-0.939393146895
2017-02-13	-0.744496495297
2017-02-14	0.120273803523
2017-02-15	-0.0386133352012
2017-02-16	-0.26560068907
2017-02-17	-0.0658495555362
2017-02-18	0.00547222254777
2017-02-19	-0.468760036579
2017-02-20	-0.321706916048
2017-02-21	-1.21617880507
2017-02-22	-0.319694002401
2017-02-23	-0.0475695898677
2017-02-24	-0.16117718468
2017-02-25	-0.199562213925
2017-02-26	0.208872327806
2017-02-27	0.386006278878
2017-02-28	1.49010292767
2017-03-01	1.14662119493
2017-03-02	0.357183051234
2017-03-03	0.431774853198
2017-03-04	0.825542784459
2017-03-05	0.880169050794
2017-03-06	0.57365126445
2017-03-07	-0.270918223438
2017-03-08	-0.276136363323
2017-03-09	0.399516429082
2017-03-10	0.513127676774
2017-03-11	-1.22837916357
2017-03-12	-1.23282819922
2017-03-13	-1.09524492991
2017-03-14	-0.18442569051
2017-03-15	-0.234976547268
2017-03-16	-0.279647942592
2017-03-17	-0.259301432895
2017-03-18	0.887575941552
2017-03-19	0.854253280817
2017-03-20	1.93497210241
2017-03-21	2.37814440868
2017-03-22	1.50415511616
2017-03-23	1.5703035846
2017-03-24	1.36438862734
2017-03-25	1.35526569494
2017-03-26	1.44174172214
2017-03-27	0.800019744321
