Date	SARB Hawkish-Dovish
2017-07-02	0.000828252841097
2017-07-03	0.000802423372095
2017-07-04	-0.000629728435997
2017-07-05	0.00162560551577
2017-07-06	0.002854484164
2017-07-07	0.002854484164
2017-07-08	0.002854484164
2017-07-09	0.002854484164
2017-07-10	0.00252757994693
2017-07-11	0.00308780403657
2017-07-12	0.00178910273787
2017-07-13	0.000560224089636
2017-07-14	0.000859088405237
2017-07-15	3.33245736924e-05
2017-07-16	0.00068863256845
2017-07-17	0.00068863256845
2017-07-18	0.000128408478814
2017-07-19	-0.000787342436937
2017-07-20	-0.00193478936752
2017-07-21	-0.00380006972322
2017-07-22	-0.00297430589167
2017-07-23	-0.00362961388643
2017-07-24	-0.00449019908437
2017-07-25	-0.00477938358408
2017-07-26	-0.00386363266833
2017-07-27	-0.00326775771789
2017-07-28	-0.00170134167779
2017-07-29	-0.00170134167779
2017-07-30	-0.00235664967255
2017-07-31	-0.00207326505181
2017-08-01	-0.00207094228475
2017-08-02	-0.00207094228475
2017-08-03	-0.0015193703046
2017-08-04	-0.0015193703046
2017-08-05	-0.0015193703046
2017-08-06	-0.000864062309845
2017-08-07	-0.000286861732645
2017-08-08	-0.000279017857143
2017-08-09	-0.000279017857143
2017-08-10	-0.000279017857143
2017-08-11	-0.000279017857143
2017-08-12	-0.000279017857143
2017-08-13	-0.000279017857143
2017-08-14	-0.000279017857143
2017-08-15	-0.000277932184547
2017-08-16	-0.000871932778548
2017-08-17	-0.000520067894663
2017-08-18	-0.00116068288505
2017-08-19	-0.00116068288505
2017-08-20	-0.000502355037786
2017-08-21	-0.000797514423854
2017-08-22	-0.00110386503218
2017-08-23	-0.000509864438178
2017-08-24	-0.00115996970381
2017-08-25	-0.00051935471342
2017-08-26	-0.00051935471342
2017-08-27	-0.000484201284682
2017-08-28	-0.000487282280362
2017-08-29	0.000363525032766
2017-08-30	-0.000731165717097
2017-08-31	-0.000432925335349
2017-09-01	-0.000432925335349
2017-09-02	-0.000432925335349
2017-09-03	-0.00112640661135
2017-09-04	-0.00114213797215
2017-09-05	-0.00140866249241
2017-09-06	-0.000880865166579
2017-09-07	-0.00118035603211
2017-09-08	-0.000908247188571
2017-09-09	-0.000908247188571
2017-09-10	-0.000908247188571
2017-09-11	-0.000331670404011
2017-09-12	-0.000331670404011
2017-09-13	-0.000465057092019
2017-09-14	-0.000165566226491
2017-09-15	-0.000437675070028
2017-09-16	-0.000437675070028
2017-09-17	-0.000437675070028
2017-09-18	-0.00129428070605
2017-09-19	-0.000980997498025
2017-09-20	-0.000590602728404
2017-09-21	-0.00147243694357
2017-09-22	-0.0023399904427
2017-09-23	-0.0023399904427
2017-09-24	-0.0023399904427
2017-09-25	-0.0017459898487
2017-09-26	-0.00205927305672
2017-09-27	-0.0017493877143
2017-09-28	-0.000580114579903
2017-09-29	0.00028743891923
2017-09-30	0.00028743891923
