Date	SNB Hawkish-Dovish
2017-01-01	0.00729621816022
2017-01-02	0.00729621816022
2017-01-03	0.00817264234953
2017-01-04	0.00781727632252
2017-01-05	0.00781727632252
2017-01-06	0.0062589692023
2017-01-07	0.00362565781323
2017-01-08	0.000602226218373
2017-01-09	0.000602226218373
2017-01-10	1.73472185694e-05
2017-01-11	1.73472185694e-05
2017-01-12	1.73472185694e-05
2017-01-13	0.000291545189504
2017-01-14	-0.0010071561092
2017-01-15	0.0003865721138
2017-01-16	0.0003865721138
2017-01-17	9.50269242952e-05
2017-01-18	-0.00170569336382
2017-01-19	-0.000799622690307
2017-01-20	-0.000799622690307
2017-01-21	0.000499078608394
2017-01-22	-0.000894649614603
2017-01-23	-0.000894649614603
2017-01-24	-1.82254252951e-05
2017-01-25	0.00178249486282
2017-01-26	0.000876424189308
2017-01-27	0.00152283660043
2017-01-28	0.00152283660043
2017-01-29	0.00152283660043
2017-01-30	0.00152283660043
2017-01-31	0.000328245055089
2017-02-01	0.000328245055089
2017-02-02	2.83015108641e-06
2017-02-03	-0.000643582260032
2017-02-04	-0.000643582260032
2017-02-05	-0.000643582260032
2017-02-06	-0.000305058224825
2017-02-07	-0.000281441678811
2017-02-08	-0.000593356837888
2017-02-09	-0.000267941933885
2017-02-10	-0.000267941933885
2017-02-11	-0.000267941933885
2017-02-12	-0.000267941933885
2017-02-13	-0.000606465969091
2017-02-14	2.10851739236e-05
2017-02-15	0.000333000333
2017-02-16	0.000333000333
2017-02-17	0.000333000333
2017-02-18	0.000333000333
2017-02-19	-0.000971631108617
2017-02-20	-0.000332449261382
2017-02-21	-0.000355564251959
2017-02-22	-0.000959611367634
2017-02-23	-0.00124305807965
2017-02-24	-0.00158564115605
2017-02-25	-0.00158564115605
2017-02-26	-0.00028100971443
2017-02-27	-0.000920191561666
2017-02-28	-0.00157850895984
2017-03-01	-0.000974461844163
2017-03-02	-0.0011003479197
2017-03-03	-0.00107664239433
2017-03-04	-0.00182852209357
2017-03-05	-0.00252200336958
2017-03-06	-0.00222684398351
2017-03-07	-0.00034231361747
2017-03-08	0.0014931100595
2017-03-09	0.00190244284705
2017-03-10	0.00222132039807
2017-03-11	0.00663620376032
2017-03-12	0.00732968503633
2017-03-13	0.00837906346539
2017-03-14	0.00813872155289
2017-03-15	0.00822946159984
2017-03-16	0.00941993779032
2017-03-17	0.00973952871394
2017-03-18	0.00766382663824
2017-03-19	0.00766382663824
2017-03-20	0.00522319821295
2017-03-21	0.00392744181515
2017-03-22	0.00169273134641
2017-03-23	0.00050225515593
2017-03-24	0.000182664232313
2017-03-25	-0.00140463735499
2017-03-26	-0.00140463735499
2017-03-27	-0.00129150873697
2017-03-28	-0.00129150873697
2017-03-29	-0.00126982372478
2017-03-30	-0.00160595817856
2017-03-31	-0.00192698546588
2017-04-01	-0.00192698546588
2017-04-02	-0.00192698546588
2017-04-03	-0.000944023473746
2017-04-04	-0.000944023473746
2017-04-05	-0.0019441630281
2017-04-06	-0.00129197294853
2017-04-07	-0.000970945661211
2017-04-08	-0.000970945661211
2017-04-09	-0.000970945661211
2017-04-10	-0.000641021543758
2017-04-11	-0.000641021543758
2017-04-12	0.000941139129312
2017-04-13	0.000625083503521
2017-04-14	0.000625083503521
2017-04-15	-0.00112776487509
2017-04-16	-0.00191703085773
2017-04-17	-0.00224695497518
2017-04-18	-0.00193706963276
2017-04-19	-0.00223222901883
2017-04-20	-0.00223222901883
2017-04-21	-0.00223222901883
2017-04-22	-0.000479380640213
2017-04-23	-0.00086107484493
2017-04-24	-0.00086107484493
2017-04-25	-5.05120080819e-05
2017-04-26	-5.05120080819e-05
2017-04-27	-0.000876275839626
2017-04-28	-0.00116487612823
2017-04-29	-0.00116487612823
2017-04-30	6.08405912724e-06
2017-05-01	6.08405912724e-06
2017-05-02	-0.00111436412014
2017-05-03	-0.00111436412014
