Date	Riksbank Excess Sentiment
2017-01-01	3.6874015833
2017-01-02	3.72447719625
2017-01-03	1.99353268367
2017-01-04	0.541060925582
2017-01-05	-0.996222743088
2017-01-06	-1.14447303255
2017-01-07	-1.1904719716
2017-01-08	-1.52309184496
2017-01-09	-0.653810534868
2017-01-10	-0.47664862721
2017-01-11	-0.198486346272
2017-01-12	-0.519512278208
2017-01-13	-0.0341483402194
2017-01-14	0.0187360508665
2017-01-15	0.813669667777
2017-01-16	-0.411245639318
2017-01-17	-1.71959110129
2017-01-18	-1.70277744178
2017-01-19	-1.89998070055
2017-01-20	-4.37004726233
2017-01-21	-4.429077134
2017-01-22	-4.42385925059
2017-01-23	-3.23070693345
2017-01-24	-1.41397830328
2017-01-25	-1.45546501307
2017-01-26	-1.01693459048
2017-01-27	-1.12939669508
2017-01-28	-1.20686686513
2017-01-29	-1.31637955394
2017-01-30	-0.742965686269
2017-01-31	-0.318944721503
2017-02-01	-0.800560401466
2017-02-02	-1.27301743106
2017-02-03	-2.52193784813
2017-02-04	-1.66485529363
2017-02-05	-1.57367576214
2017-02-06	-1.55449788189
2017-02-07	-0.861021342726
2017-02-08	-0.837665372573
2017-02-09	0.109864375856
2017-02-10	0.654729150558
2017-02-11	1.03359566137
2017-02-12	1.12551089338
2017-02-13	1.19800830808
2017-02-14	1.12810077646
2017-02-15	0.727486065884
2017-02-16	0.3518950419
2017-02-17	0.149993088823
2017-02-18	-0.128402627839
2017-02-19	-0.716201399473
2017-02-20	-1.37791729021
2017-02-21	-1.39213689645
2017-02-22	-1.41808183439
2017-02-23	-1.46402130285
2017-02-24	-1.08612213566
2017-02-25	-1.12450716491
2017-02-26	-1.18758639045
2017-02-27	-1.19430654255
2017-02-28	-0.608098784545
2017-03-01	-0.365934791644
2017-03-02	0.0962119122053
2017-03-03	0.146826085222
2017-03-04	0.17788507164
2017-03-05	0.232511337975
2017-03-06	0.155178721474
2017-03-07	0.760996415705
2017-03-08	0.772172223713
2017-03-09	0.607791852209
2017-03-10	0.562962914532
2017-03-11	0.525485804781
2017-03-12	0.521036769133
2017-03-13	0.593381121699
2017-03-14	1.40394135807
2017-03-15	1.568992673
2017-03-16	1.52432127768
2017-03-17	1.23658324318
2017-03-18	1.30493167214
2017-03-19	0.934913337505
2017-03-20	1.03626256197
2017-03-21	0.208774319616
2017-03-22	-0.522452199898
2017-03-23	-1.22658595201
2017-03-24	-1.89678166418
2017-03-25	-1.90590459658
2017-03-26	-2.8333417234
2017-03-27	-2.83376997834
2017-03-28	-2.95509323538
2017-03-29	-3.33191263289
2017-03-30	-3.25108914958
2017-03-31	-3.23379623337
2017-04-01	-3.37606666163
2017-04-02	-3.48353095428
2017-04-03	-3.51971479485
2017-04-04	-3.01675964536
2017-04-05	-1.37818543887
2017-04-06	-1.37142106685
2017-04-07	-1.32354633888
2017-04-08	-1.22079390895
2017-04-09	-1.20808441527
2017-04-10	-1.30608006817
2017-04-11	-0.55530593766
2017-04-12	-1.01224695834
2017-04-13	-1.96701271734
2017-04-14	-2.04616648033
2017-04-15	-2.05125657955
2017-04-16	-1.99577065504
2017-04-17	-2.27438170093
2017-04-18	-3.85751280851
2017-04-19	-3.82012432795
2017-04-20	1.21613654985
2017-04-21	1.17460709278
2017-04-22	1.20932554368
2017-04-23	-0.341338485751
2017-04-24	-2.04551058337
2017-04-25	-2.14659050149
2017-04-26	-1.09545531608
2017-04-27	-1.60148952564
2017-04-28	-1.59188986445
