Date	RBA Hawkish	RBA Dovish
2017-01-01	0.00722032945137	0.00569578983609
2017-01-02	0.00575977444046	0.00328916103143
2017-01-03	0.00506291032897	0.00294072897568
2017-01-04	0.00618029835203	0.00376356618874
2017-01-05	0.00545675250654	0.00408531651049
2017-01-06	0.00586466049925	0.00344326193585
2017-01-07	0.00586466049925	0.00344326193585
2017-01-08	0.00359708680311	0.00247062969637
2017-01-09	0.00409717124513	0.00328127314461
2017-01-10	0.00438871643464	0.00328127314461
2017-01-11	0.00381255533137	0.00240193422015
2017-01-12	0.00377594900733	0.00265047189383
2017-01-13	0.00363648624625	0.00388199898743
2017-01-14	0.00363648624625	0.00388199898743
2017-01-15	0.00363648624625	0.00403977954098
2017-01-16	0.00270480922762	0.00279754351613
2017-01-17	0.00300850213336	0.00339278161137
2017-01-18	0.00271214928259	0.00429439748785
2017-01-19	0.00272902884271	0.00372410949241
2017-01-20	0.00212682836963	0.00343657232959
2017-01-21	0.0035553997982	0.00486514375816
2017-01-22	0.0048541010969	0.00546698094536
2017-01-23	0.00617992144825	0.00646134620887
2017-01-24	0.00675324893875	0.00674253230294
2017-01-25	0.00828520500476	0.00919724553151
2017-01-26	0.00828974183932	0.0101169267087
2017-01-27	0.0118620958911	0.0127282050391
2017-01-28	0.0111661251951	0.0120322343431
2017-01-29	0.0119580162309	0.0128241253789
2017-01-30	0.0137604544823	0.0160007715857
2017-01-31	0.0132282236086	0.0154425147524
2017-02-01	0.011413487764	0.0124222419667
2017-02-02	0.0133848316996	0.0121533905975
2017-02-03	0.0139450557892	0.0105028842411
2017-02-04	0.0150207733207	0.0106744426405
2017-02-05	0.0173354673298	0.0111011567881
2017-02-06	0.0172539250439	0.0106539097051
2017-02-07	0.0219195049121	0.0168158601694
2017-02-08	0.0225377900719	0.0164928546935
2017-02-09	0.0211659564174	0.0179561897904
2017-02-10	0.0201552238968	0.0191774047534
2017-02-11	0.0191972457689	0.0182732456214
2017-02-12	0.0163280577355	0.0172920374496
2017-02-13	0.0145540108428	0.0148409424864
2017-02-14	0.0122490992595	0.0106918269971
2017-02-15	0.0146826260195	0.0110537662855
2017-02-16	0.0157845874745	0.00893960138062
2017-02-17	0.0132976377363	0.00612968013864
2017-02-18	0.0132683156627	0.00612968013864
2017-02-19	0.0162984273981	0.00720284471158
2017-02-20	0.0188608490573	0.0065693571347
2017-02-21	0.0211318968815	0.00578778151582
2017-02-22	0.0195747659914	0.00843618620459
2017-02-23	0.0184170739989	0.0104203131887
2017-02-24	0.0216064314889	0.0152430037089
2017-02-25	0.0267689586771	0.0152430037089
2017-02-26	0.0229279117931	0.0126337408256
2017-02-27	0.0200027388171	0.01260117105
2017-02-28	0.0150831200516	0.0110517443379
