Date	FederalReserve Excess Sentiment
2017-01-01	-0.0180898556933
2017-01-02	-0.0433819307469
2017-01-03	0.0483324011395
2017-01-04	-0.00395754243436
2017-01-05	-0.0243865069862
2017-01-06	-0.0050501135139
2017-01-07	-0.0707838276174
2017-01-08	-0.0180934065475
2017-01-09	0.0620954519546
2017-01-10	0.0655551174708
2017-01-11	0.0838722479936
2017-01-12	0.0104464826122
2017-01-13	-0.0135976383928
2017-01-14	0.13012712003
2017-01-15	0.0764693582525
2017-01-16	0.16635948628
2017-01-17	0.0636781182976
2017-01-18	-0.0496297902502
2017-01-19	0.0341979725246
2017-01-20	-0.0425481271521
2017-01-21	-0.103269158375
2017-01-22	-0.0453460211069
2017-01-23	-0.262588511172
2017-01-24	-0.295946070661
2017-01-25	-0.263315038706
2017-01-26	-0.287148702526
2017-01-27	-0.332491854162
2017-01-28	-0.495341974938
2017-01-29	-0.37898399958
2017-01-30	-0.252011096394
2017-01-31	-0.224734396845
2017-02-01	-0.275575772757
2017-02-02	-0.325350256737
2017-02-03	-0.346701305909
2017-02-04	-0.241218781215
2017-02-05	-0.507785157912
2017-02-06	-0.553631888361
2017-02-07	-0.552239400484
2017-02-08	-0.589923709437
2017-02-09	-0.530202643335
2017-02-10	-0.401619142548
2017-02-11	-0.407583785655
2017-02-12	-0.276809623435
2017-02-13	-0.225045935705
2017-02-14	-0.161699606348
2017-02-15	-0.0345810634691
2017-02-16	-0.000632252491823
2017-02-17	0.0399596259151
2017-02-18	0.120800609756
2017-02-19	0.0582935105296
2017-02-20	0.0470899225234
2017-02-21	0.0334800553068
2017-02-22	0.0308279435184
2017-02-23	-0.106082570072
2017-02-24	-0.208703173252
2017-02-25	-0.286462328225
2017-02-26	-0.307241759614
2017-02-27	-0.371477905354
2017-02-28	-0.341108993208
2017-03-01	-0.341339789487
2017-03-02	-0.248707190285
2017-03-03	-0.159664230428
2017-03-04	0.0263614475197
2017-03-05	0.0504958913072
2017-03-06	0.0406676405425
2017-03-07	0.0166895075542
2017-03-08	-0.0951937157534
2017-03-09	-0.0564286188142
2017-03-10	-0.138678075525
2017-03-11	-0.299086615163
2017-03-12	-0.291190482974
2017-03-13	-0.294936611988
2017-03-14	-0.358480351275
2017-03-15	-0.317548918525
2017-03-16	-0.432468690782
2017-03-17	-0.417217856426
2017-03-18	-0.333125383354
2017-03-19	-0.343947637926
2017-03-20	-0.346656459878
2017-03-21	-0.386727838111
2017-03-22	-0.332389799123
2017-03-23	-0.290296610217
2017-03-24	-0.278641620954
2017-03-25	-0.376871929265
2017-03-26	-0.398953653659
2017-03-27	-0.369947030772
2017-03-28	-0.244659614812
2017-03-29	-0.190332047604
2017-03-30	-0.104320185232
2017-03-31	-0.141936366922
2017-04-01	-0.116962574566
2017-04-02	-0.0541299937861
2017-04-03	-0.00763353021784
2017-04-04	-0.00369821887782
2017-04-05	-0.0690473256833
2017-04-06	-0.205844718612
2017-04-07	-0.207115942422
2017-04-08	-0.342683264887
2017-04-09	-0.525168741341
2017-04-10	-0.656208312193
2017-04-11	-0.825739669649
2017-04-12	-0.903688997181
2017-04-13	-0.87543001552
2017-04-14	-0.934813712156
2017-04-15	-0.786811788322
2017-04-16	-0.541286262904
2017-04-17	-0.396338422684
2017-04-18	-0.325724672574
2017-04-19	-0.273626321009
2017-04-20	-0.199185313393
2017-04-21	-0.138016657372
2017-04-22	0.0891147778927
2017-04-23	-0.128912818916
2017-04-24	-0.0822889869276
2017-04-25	-0.11298631637
2017-04-26	-0.139546163687
2017-04-27	-0.146011137539
2017-04-28	-0.122361326612
2017-04-29	-0.397736205997
2017-04-30	-0.296128166452
2017-05-01	-0.300345951243
2017-05-02	-0.299508864344
2017-05-03	-0.306749847287
2017-05-04	-0.287182900786
2017-05-05	-0.213909304155
2017-05-06	-0.142559701141
2017-05-07	-0.0662071535341
2017-05-08	-0.0196212009258
2017-05-09	0.142481167021
2017-05-10	0.116622681564
2017-05-11	0.00679173276735
2017-05-12	-0.131061798179
2017-05-13	-0.0848760091283
2017-05-14	-0.151847894365
2017-05-15	-0.390302755544
2017-05-16	-0.482929900081
2017-05-17	-0.511569577304
2017-05-18	-0.509170021189
2017-05-19	-0.445335225175
2017-05-20	-0.443192589333
2017-05-21	-0.532319414644
2017-05-22	-0.469541684318
2017-05-23	-0.618624657563
2017-05-24	-0.652030317552
2017-05-25	-0.676209466897
2017-05-26	-0.648115912148
