Date	FederalReserve Hawkish	FederalReserve Dovish
2017-01-01	0.150491106618	0.0698084400434
2017-01-02	0.149489297359	0.0657511840004
2017-01-03	0.150595871966	0.0673565366008
2017-01-04	0.152857025696	0.065134949397
2017-01-05	0.160398539335	0.064494587781
2017-01-06	0.170496418768	0.0651027527188
2017-01-07	0.169921213124	0.0605942044314
2017-01-08	0.163301038849	0.057336884732
2017-01-09	0.169413703276	0.0545371624525
2017-01-10	0.16441748919	0.0524838257804
2017-01-11	0.153353963577	0.0480828176525
2017-01-12	0.139765310767	0.0474894098735
2017-01-13	0.139891181819	0.0468210523193
2017-01-14	0.119256261184	0.0446565501548
2017-01-15	0.111787981649	0.0390684888834
2017-01-16	0.0934958359286	0.0357881634939
2017-01-17	0.0881447669296	0.0340874832218
2017-01-18	0.0938847198145	0.0379940667757
2017-01-19	0.103721886315	0.0399261735679
2017-01-20	0.10015344162	0.0445281244804
2017-01-21	0.116192402659	0.050891760844
2017-01-22	0.115843970603	0.0498147890353
2017-01-23	0.11469915764	0.0524350864673
2017-01-24	0.11482149185	0.0550205378258
2017-01-25	0.10773059579	0.0554012871404
2017-01-26	0.0890686508879	0.0490996239369
2017-01-27	0.0786263851981	0.0400939884736
2017-01-28	0.0573260188978	0.0323650507447
2017-01-29	0.056977586842	0.0306545661074
2017-01-30	0.0611397272516	0.0319069985925
2017-01-31	0.0629270600266	0.0294859337014
2017-02-01	0.0699152483368	0.0265428261101
2017-02-02	0.0900295206434	0.0302920806585
2017-02-03	0.102238096381	0.0337037017172
2017-02-04	0.111576437365	0.031287973985
2017-02-05	0.11526030051	0.0309502865301
2017-02-06	0.126818713615	0.0355446589593
2017-02-07	0.131883150704	0.0436031492716
2017-02-08	0.128820836987	0.0473017699134
2017-02-09	0.119213873521	0.0483440607793
2017-02-10	0.104498858412	0.0444713227709
2017-02-11	0.107889455157	0.0502622467354
2017-02-12	0.10332514542	0.0547961051843
2017-02-13	0.0971887375747	0.0484583924005
2017-02-14	0.100968463004	0.0441815695669
2017-02-15	0.127163451175	0.0433341019649
2017-02-16	0.147074566491	0.0406601624739
2017-02-17	0.166433492261	0.0419693381843
2017-02-18	0.166638746777	0.0359289910109
2017-02-19	0.171194435601	0.0321623937843
2017-02-20	0.182454143442	0.0363341586024
2017-02-21	0.189744033596	0.0362048591239
2017-02-22	0.174357927819	0.0374585418168
2017-02-23	0.15948892801	0.0425025272824
2017-02-24	0.15520815541	0.0453515754775
2017-02-25	0.155844336945	0.0481241233846
2017-02-26	0.150559586232	0.0471108817066
2017-02-27	0.139437007846	0.0418508629382
2017-02-28	0.12471065172	0.0387890445915
2017-03-01	0.140077864381	0.0411565423404
2017-03-02	0.163216537233	0.0406505615336
2017-03-03	0.1824027189	0.0388061187205
2017-03-04	0.209568801646	0.0456005918142
2017-03-05	0.224980278937	0.0489412706514
2017-03-06	0.245193370227	0.0538856603671
2017-03-07	0.270130614991	0.054129188148
2017-03-08	0.275546115459	0.0561297141884
2017-03-09	0.265533205732	0.0573495868382
2017-03-10	0.266153488092	0.0633660345132
2017-03-11	0.264244870394	0.066903724893
2017-03-12	0.272030940593	0.0780471250794
2017-03-13	0.282867109772	0.0811292835626
2017-03-14	0.292357480421	0.0887637966612
2017-03-15	0.296095007961	0.0867400186444
2017-03-16	0.314020832136	0.0966412061665
2017-03-17	0.309019015284	0.102783481041
2017-03-18	0.316650272915	0.107850636108
2017-03-19	0.30470331506	0.105029011234
2017-03-20	0.294239303368	0.111810158475
2017-03-21	0.27605016273	0.114485242783
2017-03-22	0.245533156257	0.112901600614
2017-03-23	0.213158817633	0.100302394265
2017-03-24	0.191921850008	0.0898523740643
2017-03-25	0.14926311985	0.0747978105722
2017-03-26	0.148481109049	0.0678334879707
2017-03-27	0.120060686233	0.0552108481688
2017-03-28	0.106116476636	0.0453175556668
2017-03-29	0.104393447525	0.0427890832458
2017-03-30	0.0976396348891	0.0372055164858
2017-03-31	0.094645146867	0.0381080271615
2017-04-01	0.107694597416	0.0435166810076
2017-04-02	0.102365493741	0.0602472792211
2017-04-03	0.107772874456	0.062934623204
