Date	Banxico Hawkish	Banxico Dovish
2017-01-01	0.00102482537008	1.85863229569e-19
2017-01-02	0.00102482537008	1.85863229569e-19
2017-01-03	0.00131696676651	0.000292141396436
2017-01-04	0.00125615154952	0.000586692206451
2017-01-05	0.00251647110252	0.000586692206451
2017-01-06	0.00658261135016	0.00168348409019
2017-01-07	0.00874711351466	0.00168348409019
2017-01-08	0.0103643641885	0.003839818322
2017-01-09	0.0112960412072	0.003839818322
2017-01-10	0.0110038998107	0.00354767692556
2017-01-11	0.0113070776319	0.00355199043115
2017-01-12	0.00998347002087	0.00355199043115
2017-01-13	0.00559630248591	0.00245519854741
2017-01-14	0.00537985226946	0.00440325049546
2017-01-15	0.00376260159561	0.00224691626365
2017-01-16	0.00283092457697	0.00292236374761
2017-01-17	0.00372378171983	0.00381522089047
2017-01-18	0.00312605308863	0.00381647662289
2017-01-19	0.00344495620658	0.00381647662289
2017-01-20	0.00596226268865	0.00507512986392
2017-01-21	0.0040142107406	0.00312707791587
2017-01-22	0.0040142107406	0.00312707791587
2017-01-23	0.00434566582843	0.00344599569542
2017-01-24	0.00374495008201	0.00284527994899
2017-01-25	0.00404954953373	0.00254515990097
2017-01-26	0.00375206281045	0.00254515990097
2017-01-27	0.00123475632839	0.00128650665994
2017-01-28	0.00123475632839	0.00128650665994
2017-01-29	0.00123475632839	0.00128650665994
2017-01-30	0.000903301240554	0.000292141396436
2017-01-31	0.000929327200148	6.81498508419e-19
2017-02-01	0.000624727748427	6.81498508419e-19
2017-02-02	0.000318167356029	6.81498508419e-19
2017-02-03	0.000318167356029	6.81498508419e-19
2017-02-04	0.000318167356029	6.81498508419e-19
2017-02-05	0.000318167356029	6.81498508419e-19
2017-02-06	0.000318167356029	0.000338524035207
2017-02-07	0.000294550810015	0.000338524035207
2017-02-08	0.000918381128168	0.000338524035207
2017-02-09	0.00484468738006	0.00184864182439
2017-02-10	0.00546988275361	0.00184864182439
2017-02-11	0.00546988275361	0.00184864182439
2017-02-12	0.0070059810639	0.00338474013469
2017-02-13	0.0070059810639	0.00304621609948
2017-02-14	0.00704443058689	0.00304621609948
2017-02-15	0.00675752749245	0.0033831433232
2017-02-16	0.00283122124057	0.00187302553401
2017-02-17	0.00220602586701	0.00187302553401
2017-02-18	0.00220602586701	0.00187302553401
2017-02-19	0.00066992755672	0.00033692722372
2017-02-20	0.00066992755672	0.000976109070955
2017-02-21	0.00126658325099	0.000976109070955
2017-02-22	0.00123167958511	0.000941205405073
2017-02-23	0.00123167958511	0.000941205405073
2017-02-24	0.0022594288143	0.000941205405073
2017-02-25	0.0022594288143	0.000941205405073
2017-02-26	0.0022594288143	0.000941205405073
2017-02-27	0.00347265295746	0.000605329593628
2017-02-28	0.00289142898594	0.000605329593628
2017-03-01	0.00292318379926	0.000637084406952
2017-03-02	0.00292318379926	0.00104641719451
2017-03-03	0.00189543457007	0.00104641719451
2017-03-04	0.00264731426932	0.00104641719451
2017-03-05	0.00264731426932	0.00104641719451
2017-03-06	0.0020244088983	0.000743111158718
2017-03-07	0.0019831965046	0.000743111158718
2017-03-08	0.00164941813344	0.000409332787556
2017-03-09	0.00164941813344	7.43452918276e-19
2017-03-10	0.00164941813344	7.43452918276e-19
