Date	RBA Hawkish-Dovish
2017-01-01	0.00152453961528
2017-01-02	0.00247061340903
2017-01-03	0.00212218135328
2017-01-04	0.0024167321633
2017-01-05	0.00137143599605
2017-01-06	0.0024213985634
2017-01-07	0.0024213985634
2017-01-08	0.00112645710674
2017-01-09	0.000815898100527
2017-01-10	0.00110744329003
2017-01-11	0.00141062111122
2017-01-12	0.0011254771135
2017-01-13	-0.000245512741176
2017-01-14	-0.000245512741176
2017-01-15	-0.000403293294722
2017-01-16	-9.27342885113e-05
2017-01-17	-0.000384279478016
2017-01-18	-0.00158224820526
2017-01-19	-0.000995080649699
2017-01-20	-0.00130974395996
2017-01-21	-0.00130974395996
2017-01-22	-0.000612879848459
2017-01-23	-0.000281424760623
2017-01-24	1.07166358125e-05
2017-01-25	-0.000912040526754
2017-01-26	-0.00182718486939
2017-01-27	-0.00086610914801
2017-01-28	-0.00086610914801
2017-01-29	-0.00086610914801
2017-01-30	-0.00224031710342
2017-01-31	-0.00221429114382
2017-02-01	-0.00100875420268
2017-02-02	0.00123144110213
2017-02-03	0.00344217154815
2017-02-04	0.00434633068016
2017-02-05	0.00623431054171
2017-02-06	0.00660001533887
2017-02-07	0.00510364474278
2017-02-08	0.00604493537839
2017-02-09	0.00320976662703
2017-02-10	0.000977819143441
2017-02-11	0.000924000147488
2017-02-12	-0.00096397971406
2017-02-13	-0.000286931643647
2017-02-14	0.00155727226241
2017-02-15	0.00362885973402
2017-02-16	0.00684498609388
2017-02-17	0.0071679575977
2017-02-18	0.00713863552404
2017-02-19	0.00909558268647
2017-02-20	0.0122914919226
2017-02-21	0.0153441153657
2017-02-22	0.0111385797868
2017-02-23	0.00799676081019
2017-02-24	0.00636342778003
2017-02-25	0.0115259549682
2017-02-26	0.0102941709675
2017-02-27	0.00740156776709
2017-02-28	0.00403137571376
2017-03-01	0.00721038535875
2017-03-02	0.00875350499438
2017-03-03	0.0110330589023
2017-03-04	0.00504951365172
2017-03-05	0.00432435049001
2017-03-06	0.00874359463131
2017-03-07	0.0173045327753
2017-03-08	0.0174710645964
2017-03-09	0.0167072475834
2017-03-10	0.0154390176887
2017-03-11	0.0172705195202
2017-03-12	0.0195380932164
2017-03-13	0.0175046186695
2017-03-14	0.00956706576816
2017-03-15	0.00901575124048
2017-03-16	0.0105607116564
2017-03-17	0.0108737356432
2017-03-18	0.00983588460539
2017-03-19	0.00964875473726
2017-03-20	0.006959679107
2017-03-21	0.00739186321266
2017-03-22	0.00610775406338
2017-03-23	0.0049172778729
2017-03-24	0.00394116880195
2017-03-25	0.0031475180083
2017-03-26	0.00106707418028
2017-03-27	0.00106707418028
2017-03-28	8.13833873716e-06
2017-03-29	-0.00142617032449
2017-03-30	-0.000417766963143
2017-03-31	-0.000722894314062
2017-04-01	-0.00229275302678
2017-04-02	-0.00104509239047
2017-04-03	-0.00104509239047
2017-04-04	-0.00376616032893
2017-04-05	-0.00329710263096
