Date	BOJ Hawkish-Dovish
2017-01-01	0.00891577524898
2017-01-02	0.00801114577549
2017-01-03	0.00813441519399
2017-01-04	0.00589011387291
2017-01-05	0.00589011387291
2017-01-06	0.00653216844754
2017-01-07	0.00330370208544
2017-01-08	0.000280270490578
2017-01-09	0.00133298107961
2017-01-10	0.00103905106238
2017-01-11	0.00191838998684
2017-01-12	0.00248867798227
2017-01-13	0.00279655975567
2017-01-14	0.00077635773547
2017-01-15	0.00077635773547
2017-01-16	0.000492963465027
2017-01-17	-0.000381672103486
2017-01-18	0.00141779245221
2017-01-19	0.00114952801461
2017-01-20	0.000841646241211
2017-01-21	0.0028546332542
2017-01-22	0.00350398390355
2017-01-23	0.0025033499859
2017-01-24	0.00396405696808
2017-01-25	0.00185425782454
2017-01-26	0.0015522342667
2017-01-27	0.00543070873341
2017-01-28	0.00398382228653
2017-01-29	0.00681879219467
2017-01-30	0.0088720395271
2017-01-31	0.00932033668109
2017-02-01	0.0108819165369
2017-02-02	0.0102310867289
2017-02-03	0.00920975511935
2017-02-04	0.012654833248
2017-02-05	0.0167224321367
2017-02-06	0.0146550469095
2017-02-07	0.0121569411533
2017-02-08	0.01151647536
2017-02-09	0.0118652816102
2017-02-10	0.00900813875301
2017-02-11	0.00629566135699
2017-02-12	-0.0012562580892
2017-02-13	-0.00057921001879
2017-02-14	9.89160123921e-06
2017-02-15	0.000371830889602
2017-02-16	0.000960716180084
2017-02-17	1.25493027138e-05
2017-02-18	1.25493027138e-05
2017-02-19	1.25493027138e-05
2017-02-20	0.000332140226332
2017-02-21	0.000642025568755
2017-02-22	0.000874241794828
2017-02-23	0.000587380062183
2017-02-24	0.00153554693955
2017-02-25	-0.000708282529407
2017-02-26	1.68806323046e-05
2017-02-27	0.00151712592343
2017-02-28	0.00155567263675
2017-03-01	0.00131715870556
2017-03-02	0.00172649149312
2017-03-03	0.00268312414618
2017-03-04	0.00417507391589
2017-03-05	0.00344991075418
2017-03-06	0.00192523392551
2017-03-07	0.00280568051799
2017-03-08	0.00366764350648
2017-03-09	0.00361279494437
2017-03-10	0.00265616229131
2017-03-11	0.00432379290631
2017-03-12	0.00583550870374
2017-03-13	0.011254635032
2017-03-14	0.014560903776
2017-03-15	0.0207360389409
2017-03-16	0.0239529832869
2017-03-17	0.0245921651341
2017-03-18	0.0268510173929
2017-03-19	0.0260327828715
2017-03-20	0.0203184971572
2017-03-21	0.0157833497649
2017-03-22	0.0093128818486
2017-03-23	0.00607214110786
2017-03-24	0.0067806681555
2017-03-25	0.0036060649809
2017-03-26	0.0044323405438
2017-03-27	0.00377703254904
2017-03-28	0.0041220981115
2017-03-29	0.00346163459746
2017-03-30	0.00279481231299
2017-03-31	0.00112607613079
2017-04-01	0.000341146774436
2017-04-02	0.000692880889991
2017-04-03	0.00166494529907
2017-04-04	0.00161688003361
2017-04-05	0.00136490689007
2017-04-06	0.00170104134385
2017-04-07	0.00259464235004
2017-04-08	0.00337957170639
2017-04-09	0.00150808075193
2017-04-10	0.00152124845507
2017-04-11	0.000909584847812
2017-04-12	0.0020636314564
2017-04-13	0.0020636314564
2017-04-14	-2.22250138748e-06
2017-04-15	-2.22250138748e-06
2017-04-16	-2.22250138748e-06
2017-04-17	4.28065120182e-05
2017-04-18	0.000357469822276
2017-04-19	-0.000815021072276
2017-04-20	0.00243173217448
2017-04-21	0.00518089938357
2017-04-22	0.00674217963338
2017-04-23	0.00732765972706
2017-04-24	0.0069527065962
2017-04-25	0.00947371499956
2017-04-26	0.00580906442595
2017-04-27	0.00201180195817
2017-04-28	0.0016217158538
2017-04-29	-0.00167116612761
2017-04-30	-0.0029030586324
2017-05-01	-0.0041240598534
2017-05-02	-0.00757070849126
2017-05-03	-0.00480090491766
2017-05-04	-0.00425039569663
2017-05-05	-0.00511619656243
2017-05-06	-0.00338459483083
2017-05-07	-0.00273818241971
2017-05-08	-0.00122974227948
2017-05-09	0.00106952432864
2017-05-10	0.00100121705795
2017-05-11	0.00100121705795
2017-05-12	0.00130133710597
2017-05-13	0.00130133710597
2017-05-14	0.00198160921481
2017-05-15	0.00169417029558
2017-05-16	0.000320543921957
2017-05-17	0.000685841346848
2017-05-18	0.000947006141834
2017-05-19	0.000646886093814
2017-05-20	0.000646886093814
2017-05-21	0.00138104114197
2017-05-22	0.00237081349433
2017-05-23	0.00210127171536
2017-05-24	0.00473774290008
2017-05-25	0.00545060407912
2017-05-26	0.00605210783852
2017-05-27	0.00695626697052
2017-05-28	0.00792279219447
2017-05-29	0.00693301984212
2017-05-30	0.00805799361425
2017-05-31	0.00604752832738
2017-06-01	0.00535807833514
2017-06-02	0.00410722392639
2017-06-03	-0.000198295749837
2017-06-04	-0.00257924813079
2017-06-05	-0.00287440751686
2017-06-06	-0.00403508981526
2017-06-07	-0.00494608706479
2017-06-08	-0.00647560546799
2017-06-09	-0.00481547314748
2017-06-10	-0.00229053679257
2017-06-11	0.00177175162991
2017-06-12	0.00772791667698
2017-06-13	0.01015181105
