Date	SARB Excess Sentiment
2017-01-01	-1.55950464143
2017-01-02	-1.58852229842
2017-01-03	-1.62351183309
2017-01-04	-0.886498649069
2017-01-05	-0.965348910691
2017-01-06	-1.05339372553
2017-01-07	-1.09939266458
2017-01-08	-1.12636346945
2017-01-09	0.330341235157
2017-01-10	0.48788239158
2017-01-11	1.63276546695
2017-01-12	1.66839377632
2017-01-13	1.51401092229
2017-01-14	1.56689531337
2017-01-15	1.18159826696
2017-01-16	1.46265081363
2017-01-17	1.61558444556
2017-01-18	0.834765881591
2017-01-19	0.855466811212
2017-01-20	0.613527500197
2017-01-21	0.352811344702
2017-01-22	0.531133365312
2017-01-23	-0.281444336353
2017-01-24	-0.353127741949
2017-01-25	-0.526339954443
2017-01-26	-0.263669064519
2017-01-27	0.246361765169
2017-01-28	0.274253960849
2017-01-29	0.164741272036
2017-01-30	0.715117835095
2017-01-31	0.292563740762
2017-02-01	0.894381733426
2017-02-02	0.346115228988
2017-02-03	-0.631887757746
2017-02-04	-0.709562012116
2017-02-05	-1.61238556897
2017-02-06	-1.59320768872
2017-02-07	-0.297843715548
2017-02-08	-0.315248489916
2017-02-09	-0.273011828326
2017-02-10	-0.166575482814
2017-02-11	-0.205649816903
2017-02-12	1.52157667631
2017-02-13	2.56090473283
2017-02-14	1.66773700406
2017-02-15	1.00671869828
2017-02-16	0.62211651435
2017-02-17	1.0904881204
2017-02-18	0.261068897708
2017-02-19	-0.0463139116477
2017-02-20	-0.91615500292
2017-02-21	-1.20314670677
2017-02-22	-1.29168863676
2017-02-23	-1.45928013319
2017-02-24	-2.00810806871
2017-02-25	-1.46790939352
2017-02-26	-1.27045192574
2017-02-27	-1.89599017116
2017-02-28	-1.91238667636
2017-03-01	-1.93337667524
2017-03-02	-1.92649638542
2017-03-03	-1.68921503889
2017-03-04	-1.65815605247
2017-03-05	-1.60352978613
2017-03-06	-1.19821038977
2017-03-07	-0.680380609927
2017-03-08	-0.171711682898
2017-03-09	1.54122704289
2017-03-10	1.85914198166
2017-03-11	1.82166487191
2017-03-12	1.81721583627
2017-03-13	2.46115708109
2017-03-14	3.21029606089
2017-03-15	3.15974520413
2017-03-16	-0.134948854116
2017-03-17	-0.564674467266
2017-03-18	-0.496326038308
2017-03-19	-0.294200866115
2017-03-20	-1.84754798997
2017-03-21	-1.80986761071
2017-03-22	-0.970348811578
2017-03-23	-0.760536028789
2017-03-24	-0.298179504344
2017-03-25	-0.307302436746
2017-03-26	0.0828758866454
2017-03-27	1.0718567985
2017-03-28	0.599826219915
2017-03-29	0.151446855123
2017-03-30	0.46410025912
2017-03-31	0.287752399202
2017-04-01	0.145481970949
2017-04-02	-0.501518605569
2017-04-03	-0.994832501302
2017-04-04	-1.07536394209
2017-04-05	-1.09552770505
2017-04-06	-1.85825210699
2017-04-07	-1.80995086223
2017-04-08	-1.7071984323
2017-04-09	-1.90227667197
2017-04-10	-1.50545551929
2017-04-11	-0.987422648037
2017-04-12	-0.962461195255
2017-04-13	-0.905401114947
2017-04-14	-0.695581971364
2017-04-15	-0.700672070586
2017-04-16	-0.645186146077
2017-04-17	-1.24778106664
2017-04-18	-1.64846899822
2017-04-19	-2.51161019434
2017-04-20	-2.5727942645
2017-04-21	-1.74320912128
2017-04-22	-1.70849067037
2017-04-23	-1.7508152148
2017-04-24	-1.46098816653
2017-04-25	-1.57524627668
2017-04-26	0.43550665618
2017-04-27	0.500419754578
2017-04-28	0.814082947846
2017-04-29	0.727212860613
2017-04-30	0.756775778857
2017-05-01	1.7325756397
2017-05-02	2.94177207809
2017-05-03	2.94282397247
2017-05-04	2.54356126341
2017-05-05	2.57851750229
2017-05-06	2.70306958691
2017-05-07	2.65059657173
2017-05-08	2.26494520311
2017-05-09	0.909030060598
2017-05-10	-0.279172558409
2017-05-11	-0.803096997627
2017-05-12	-0.647320895642
2017-05-13	-0.876945968444
2017-05-14	-0.882132216161
2017-05-15	-0.944600549534
2017-05-16	-0.776202310054
2017-05-17	-0.779279813361
2017-05-18	-0.750483495801
2017-05-19	-0.854977669221
2017-05-20	-0.77302906717
2017-05-21	-0.667490326995
2017-05-22	0.00478060255856
2017-05-23	0.0534908124189
2017-05-24	-0.128014967638
2017-05-25	-0.260449852543
2017-05-26	-0.219663551685
