Date	SARB Hawkish	SARB Dovish
2017-01-01	0.0	0.000355366027008
2017-01-02	0.000431592576608	0.000786958603616
2017-01-03	0.000431592576608	0.000786958603616
2017-01-04	0.000431592576608	0.000431592576608
2017-01-05	0.000431592576608	0.000431592576608
2017-01-06	0.000431592576608	0.000431592576608
2017-01-07	0.000431592576608	0.000431592576608
2017-01-08	0.000431592576608	0.000431592576608
2017-01-09	0.0	0.0
2017-01-10	0.0	0.0
2017-01-11	0.000298864315601	0.000298864315601
2017-01-12	0.000298864315601	0.000298864315601
2017-01-13	0.000606746089	0.000606746089
2017-01-14	0.000606746089	0.000606746089
2017-01-15	0.000606746089	0.000606746089
2017-01-16	0.000606746089	0.000606746089
2017-01-17	0.000606746089	0.000606746089
2017-01-18	0.000608001821418	0.000307881773399
2017-01-19	0.000608001821418	0.000307881773399
2017-01-20	0.000614783358277	0.000314663310258
2017-01-21	0.000614783358277	0.000314663310258
2017-01-22	0.000614783358277	0.000314663310258
2017-01-23	0.000614783358277	0.000314663310258
2017-01-24	0.000906924754713	0.000606804706694
2017-01-25	0.000606804706694	0.000911404158415
2017-01-26	0.000606804706694	0.00121796455081
2017-01-27	0.000292141396436	0.000903301240554
2017-01-28	0.000292141396436	0.000903301240554
2017-01-29	0.000292141396436	0.000903301240554
2017-01-30	0.000292141396436	0.000903301240554
2017-01-31	0.0	0.000611159844118
2017-02-01	0.0	0.000306560392397
2017-02-02	0.0	0.0
2017-02-03	0.0	0.0
2017-02-04	0.0	0.0
2017-02-05	0.0	0.0
2017-02-06	0.0	0.0
2017-02-07	0.000294550810015	0.000294550810015
2017-02-08	0.000294550810015	0.000294550810015
2017-02-09	0.000294550810015	0.000294550810015
2017-02-10	0.000294550810015	0.000294550810015
2017-02-11	0.000294550810015	0.000294550810015
2017-02-12	0.000294550810015	0.000294550810015
2017-02-13	0.000294550810015	0.000294550810015
2017-02-14	0.0	0.0
2017-02-15	0.0	0.00033692722372
2017-02-16	0.000860585197935	0.00033692722372
2017-02-17	0.00149269644951	0.00065298284951
2017-02-18	0.00149269644951	0.00065298284951
2017-02-19	0.00149269644951	0.00065298284951
2017-02-20	0.00181228737313	0.000972573773128
2017-02-21	0.00181228737313	0.00345165651251
2017-02-22	0.00181228737313	0.00311472928879
2017-02-23	0.000951702175198	0.00311472928879
2017-02-24	0.000319590923618	0.002798673663
2017-02-25	0.000319590923618	0.002798673663
2017-02-26	0.000319590923618	0.002798673663
2017-02-27	0.0	0.00247908273939
2017-02-28	0.0	0.0
2017-03-01	0.0	0.0
2017-03-02	0.0	0.0
2017-03-03	0.0	0.0
2017-03-04	0.0	0.0
2017-03-05	0.0	0.0
2017-03-06	0.0	0.000590318772137
2017-03-07	0.0	0.000590318772137
2017-03-08	0.0	0.000590318772137
2017-03-09	0.0	0.000590318772137
2017-03-10	0.0	0.000590318772137
2017-03-11	0.0	0.000590318772137
2017-03-12	0.0	0.000590318772137
2017-03-13	0.000336134453782	0.000336134453782
2017-03-14	0.000336134453782	0.000336134453782
2017-03-15	0.000336134453782	0.000336134453782
2017-03-16	0.000336134453782	0.000336134453782
2017-03-17	0.000655725377399	0.000336134453782
2017-03-18	0.000655725377399	0.000336134453782
2017-03-19	0.00204268792941	0.000336134453782
2017-03-20	0.00316800762251	0.00146145414688
2017-03-21	0.00316800762251	0.00146145414688
2017-03-22	0.00347655436734	0.00146145414688
2017-03-23	0.00413793002871	0.00278420546963
2017-03-24	0.00381833910509	0.00312113269335
2017-03-25	0.00381833910509	0.00312113269335
2017-03-26	0.00243137655308	0.00312113269335
2017-03-27	0.00129757640359	0.00198733254385
2017-03-28	0.00164264196604	0.00233239810631
2017-03-29	0.00133409522121	0.00261925983895
2017-03-30	0.00100885401362	0.00163264296998
2017-03-31	0.00100885401362	0.00129571574626
2017-04-01	0.00100885401362	0.00129571574626
2017-04-02	0.00100885401362	0.00129571574626
2017-04-03	0.00131471284487	0.000968061748883
2017-04-04	0.00126664757942	0.000622996186426
2017-04-05	0.00126664757942	0.000336134453782
2017-04-06	0.000930513125635	0.0
2017-04-07	0.0015030868445	0.000286286859433
2017-04-08	0.0015030868445	0.000286286859433
2017-04-09	0.0015030868445	0.000286286859433
2017-04-10	0.00251919460313	0.0019359074467
2017-04-11	0.00222219430613	0.0019359074467
2017-04-12	0.0025173536922	0.00252622621884
2017-04-13	0.0025173536922	0.00252622621884
2017-04-14	0.00194477997333	0.0022399393594
2017-04-15	0.00194477997333	0.0022399393594
2017-04-16	0.00194477997333	0.0022399393594
2017-04-17	0.000295159386068	0.000590318772137
2017-04-18	0.000295159386068	0.000590318772137
2017-04-19	0.0	0.0
2017-04-20	0.0	0.0
2017-04-21	0.0	0.000313971742543
2017-04-22	0.0	0.000313971742543
2017-04-23	0.0	0.000313971742543
2017-04-24	0.0	0.000313971742543
2017-04-25	0.000280112044818	0.000313971742543
