Date	BoK Hawkish-Dovish
2017-01-01	0.000348432055749
2017-01-02	0.000348432055749
2017-01-03	0.000348432055749
2017-01-04	0.000348432055749
2017-01-05	-1.85863229569e-18
2017-01-06	-1.85863229569e-18
2017-01-07	-1.85863229569e-18
2017-01-08	-1.85863229569e-18
2017-01-09	-1.85863229569e-18
2017-01-10	-1.85863229569e-18
2017-01-11	-1.85863229569e-18
2017-01-12	-1.85863229569e-18
2017-01-13	0.000923645320197
2017-01-14	0.0022223466189
2017-01-15	0.0022223466189
2017-01-16	0.0022223466189
2017-01-17	0.0022223466189
2017-01-18	0.0022223466189
2017-01-19	0.00252437017674
2017-01-20	0.00160072485654
2017-01-21	0.00101630927212
2017-01-22	0.00101630927212
2017-01-23	0.00101630927212
2017-01-24	0.00101630927212
2017-01-25	0.00101630927212
2017-01-26	0.000714285714286
2017-01-27	0.000714285714286
2017-01-28	-1.85863229569e-18
2017-01-29	-1.85863229569e-18
2017-01-30	-1.85863229569e-18
2017-01-31	-2.2226144536e-18
2017-02-01	-2.2226144536e-18
2017-02-02	-2.16840434497e-18
2017-02-03	-2.16840434497e-18
2017-02-04	-2.16840434497e-18
2017-02-05	-2.16840434497e-18
2017-02-06	-2.16840434497e-18
2017-02-07	-2.16840434497e-18
2017-02-08	-2.16840434497e-18
2017-02-09	-1.73472347598e-18
2017-02-10	-1.73472347598e-18
2017-02-11	-1.73472347598e-18
2017-02-12	-1.73472347598e-18
2017-02-13	-1.73472347598e-18
2017-02-14	-1.73472347598e-18
2017-02-15	-1.73472347598e-18
2017-02-16	-1.73472347598e-18
2017-02-17	-1.73472347598e-18
2017-02-18	-1.73472347598e-18
2017-02-19	-1.73472347598e-18
2017-02-20	-1.73472347598e-18
2017-02-21	-1.73472347598e-18
2017-02-22	0.000604047115675
2017-02-23	0.000604047115675
2017-02-24	-8.1119037117e-05
2017-02-25	-8.1119037117e-05
2017-02-26	-8.1119037117e-05
2017-02-27	-8.1119037117e-05
2017-02-28	-8.1119037117e-05
2017-03-01	-0.000685166152792
2017-03-02	-0.000685166152792
2017-03-03	-1.73472347598e-18
2017-03-04	-1.73472347598e-18
2017-03-05	-1.73472347598e-18
2017-03-06	-1.73472347598e-18
2017-03-07	-2.2226144536e-18
2017-03-08	-2.2226144536e-18
2017-03-09	0.000354484225452
2017-03-10	0.000354484225452
2017-03-11	0.0031017369727
2017-03-12	0.0031017369727
2017-03-13	0.0031017369727
2017-03-14	0.0037496151716
