Date	BOC Excess Sentiment
2017-01-01	-0.121261250811
2017-01-02	-0.141971498062
2017-01-03	-0.148844991159
2017-01-04	-0.27494179485
2017-01-05	-0.170490676868
2017-01-06	-0.306256843787
2017-01-07	-0.201209909312
2017-01-08	0.728474991783
2017-01-09	1.01929363006
2017-01-10	1.00374001233
2017-01-11	0.885290986976
2017-01-12	0.829594495563
2017-01-13	0.832106242518
2017-01-14	0.787417885133
2017-01-15	-0.172052272902
2017-01-16	-0.32289895679
2017-01-17	-0.462964182755
2017-01-18	-0.473904487167
2017-01-19	-0.478482852225
2017-01-20	-0.579167332262
2017-01-21	-0.451260071306
2017-01-22	-0.128746583302
2017-01-23	-0.212502575592
2017-01-24	-0.0572646095454
2017-01-25	0.115836062733
2017-01-26	-0.00763487764958
2017-01-27	-0.0417913702617
2017-01-28	-0.254448711449
2017-01-29	-0.449316945616
2017-01-30	-0.254516516943
2017-01-31	-0.216461453337
2017-02-01	-0.365453982025
2017-02-02	-0.539441886323
2017-02-03	-0.265317457883
2017-02-04	0.514891008774
2017-02-05	0.630173683358
2017-02-06	0.373317086141
2017-02-07	0.261809282977
2017-02-08	0.184836931551
2017-02-09	0.478812874105
2017-02-10	0.635977585819
2017-02-11	-0.0187794365094
2017-02-12	-0.298104767329
2017-02-13	0.329511730236
2017-02-14	0.268991138536
2017-02-15	0.39188758313
2017-02-16	0.542539203756
2017-02-17	0.222097924671
2017-02-18	0.777478568351
2017-02-19	0.613079998649
2017-02-20	0.224702208048
2017-02-21	0.240816042212
2017-02-22	0.357162688387
2017-02-23	0.94926177515
2017-02-24	1.02021583757
2017-02-25	0.384037803881
2017-02-26	0.794807424201
2017-02-27	0.70644648992
2017-02-28	0.883459004975
2017-03-01	0.826869164546
2017-03-02	0.0570974047791
2017-03-03	0.047417758505
2017-03-04	-0.282943780661
2017-03-05	-0.475676030428
2017-03-06	-0.551180099828
2017-03-07	-0.640923996907
2017-03-08	-0.75344934424
2017-03-09	-0.728416366215
2017-03-10	-0.910117104373
2017-03-11	-0.795250831133
2017-03-12	-0.80965353647
2017-03-13	-0.576404188965
2017-03-14	-0.744438417185
2017-03-15	-0.453346190076
2017-03-16	-0.727771309223
2017-03-17	-0.695917473777
2017-03-18	-0.230483264104
2017-03-19	-0.40973062792
2017-03-20	-0.623932889189
2017-03-21	-0.361102597682
2017-03-22	-0.615261254039
2017-03-23	-0.494100277997
2017-03-24	-0.448474527508
2017-03-25	-0.786393301971
2017-03-26	-0.338809986475
2017-03-27	-0.0518562799746
2017-03-28	-0.0665951988377
2017-03-29	0.185456903007
2017-03-30	0.173901212506
2017-03-31	0.382706348005
2017-04-01	0.0742713668597
2017-04-02	0.220336754982
2017-04-03	0.132768993027
2017-04-04	0.170328111325
2017-04-05	-0.186594333523
2017-04-06	-0.326750868409
2017-04-07	-0.443151499063
2017-04-08	-0.562551192349
2017-04-09	-0.833243028669
2017-04-10	-0.825414899013
2017-04-11	-0.926220187149
2017-04-12	-0.691980050741
2017-04-13	-0.790498063773
2017-04-14	-0.715013899302
2017-04-15	-0.375494298932
2017-04-16	-0.331403132212
2017-04-17	-0.352302780069
2017-04-18	-0.188486278486
2017-04-19	-0.0340772413753
2017-04-20	0.194018787466
2017-04-21	-0.0219438777239
2017-04-22	-0.101574702254
2017-04-23	-0.36527624663
2017-04-24	-0.442460664088
2017-04-25	-0.737046813367
2017-04-26	-1.20117616113
2017-04-27	-1.19747947416
2017-04-28	-1.19069699039
2017-04-29	-1.35156495282
2017-04-30	-1.12892353734
2017-05-01	-1.14238679364
2017-05-02	-1.12456171825
2017-05-03	-0.774523405131
2017-05-04	-0.877003937391
2017-05-05	-0.888850485251
2017-05-06	-0.3679409346
2017-05-07	-0.542895366096
2017-05-08	-0.628291563682
2017-05-09	-0.493232922503
2017-05-10	-0.546647824159
2017-05-11	-0.454793818087
2017-05-12	-0.382072364592
2017-05-13	-0.629985076365
2017-05-14	-0.335435792773
2017-05-15	0.0753152543138
2017-05-16	-0.0415501554211
2017-05-17	-0.25920426166
2017-05-18	0.084403326664
2017-05-19	0.240098897555
2017-05-20	0.131836804792
2017-05-21	0.287603334966
2017-05-22	0.232319649878
2017-05-23	0.288152235832
2017-05-24	0.44033373696
2017-05-25	0.124301675219
2017-05-26	0.0789417970229
2017-05-27	-0.058860410675
2017-05-28	-0.200836353731
2017-05-29	-0.30636232744
2017-05-30	-0.340756347345
2017-05-31	-0.231872198769
2017-06-01	-0.0274385225524
2017-06-02	-0.0147870458247
2017-06-03	0.402465248338
2017-06-04	0.261065725242
2017-06-05	0.276969484604
2017-06-06	0.469730307124
2017-06-07	0.298389390624
2017-06-08	0.315378520052
