Date	BankOfEngland Hawkish	BankOfEngland Dovish
2017-01-01	0.0179164603123	0.0153563675101
2017-01-02	0.0177506830312	0.0160537753822
2017-01-03	0.0172333789975	0.0141427431255
2017-01-04	0.0145025559405	0.0140724026336
2017-01-05	0.00951778022399	0.0098645362306
2017-01-06	0.0101998861876	0.0102256149069
2017-01-07	0.0111109055318	0.0104151335296
2017-01-08	0.0128336910821	0.0134328605366
2017-01-09	0.0117284387881	0.0117749820956
2017-01-10	0.0117266501673	0.0117731934748
2017-01-11	0.0117439041897	0.0103090664359
2017-01-12	0.0110271908981	0.0105576041096
2017-01-13	0.0121529390331	0.0101439433775
2017-01-14	0.00926693614708	0.00797944121304
2017-01-15	0.00742616302236	0.00490272041888
2017-01-16	0.00849366371984	0.00498421462618
2017-01-17	0.00970236148466	0.00440719810529
2017-01-18	0.0115081047024	0.00470982961815
2017-01-19	0.0115418638227	0.00444156518055
2017-01-20	0.00940025448261	0.00415402801772
2017-01-21	0.0108288259112	0.00415402801772
2017-01-22	0.00943509768818	0.00410651455558
2017-01-23	0.00874084424179	0.00475061876882
2017-01-24	0.00724179370133	0.00474514111763
2017-01-25	0.00454519267286	0.0056723776839
2017-01-26	0.00424770594958	0.00567691451846
2017-01-27	0.00846647241246	0.00828819284884
2017-01-28	0.00996830391429	0.0104859950466
2017-01-29	0.0162400809178	0.0126241008433
2017-01-30	0.0201118957029	0.0147902525852
2017-01-31	0.0223911191143	0.0157707806129
2017-02-01	0.0293881069642	0.0168003267597
2017-02-02	0.0411218980199	0.0230020644473
2017-02-03	0.0457976144603	0.024843621583
2017-02-04	0.0473880071899	0.0244541376492
2017-02-05	0.0480388230121	0.0248133143058
2017-02-06	0.0448652631395	0.0223439832656
2017-02-07	0.0470091207055	0.0251950251816
2017-02-08	0.0459458365854	0.0254570339153
2017-02-09	0.0366236971579	0.0234790892028
2017-02-10	0.0308510598754	0.0199578499266
2017-02-11	0.0280309444875	0.0189998717987
2017-02-12	0.0280207940581	0.0173893370064
2017-02-13	0.0291916800863	0.0166715755776
2017-02-14	0.0285133206451	0.0138798655694
2017-02-15	0.0283397074905	0.0124453500972
2017-02-16	0.0304981449249	0.0102098905908
2017-02-17	0.0283272508126	0.00896641572174
2017-02-18	0.0266265705404	0.00811607558569
2017-02-19	0.0216710753066	0.00723229299621
2017-02-20	0.0232818420329	0.00723514013138
2017-02-21	0.022671461813	0.00683279482665
2017-02-22	0.0187209366909	0.00605422938157
2017-02-23	0.014978074084	0.0051765690805
2017-02-24	0.0140829621079	0.00488704090531
2017-02-25	0.0163267915768	0.00638292721795
2017-02-26	0.0158201707378	0.00573061149714
2017-02-27	0.0122558159146	0.0053947356857
