Date	BoK Excess Sentiment
2017-01-01	-1.52338383565
2017-01-02	-2.41851324143
2017-01-03	-2.29723156431
2017-01-04	-2.3168224166
2017-01-05	-4.41169715237
2017-01-06	-4.49974196722
2017-01-07	-4.54574090626
2017-01-08	-1.29018572028
2017-01-09	2.44120531643
2017-01-10	2.5155587916
2017-01-11	2.54508478744
2017-01-12	2.58071309681
2017-01-13	1.21184449876
2017-01-14	0.013749857124
2017-01-15	-0.668351703621
2017-01-16	-2.62981040363
2017-01-17	-2.62858385922
2017-01-18	-2.61177019971
2017-01-19	-1.84501357793
2017-01-20	-1.94507426729
2017-01-21	-0.942523242529
2017-01-22	-0.937305359123
2017-01-23	-0.984090977756
2017-01-24	-0.959178593204
2017-01-25	0.724576808613
2017-01-26	1.19348639716
2017-01-27	1.08102429256
2017-01-28	3.95583433719
2017-01-29	3.84632164837
2017-01-30	3.91024888479
2017-01-31	3.4559877939
2017-02-01	3.05443770005
2017-02-02	2.69875723488
2017-02-03	2.8034785729
2017-02-04	1.89480715702
2017-02-05	1.98598668851
2017-02-06	2.00516456876
2017-02-07	1.30500526947
2017-02-08	1.2876004951
2017-02-09	0.0630656326798
2017-02-10	0.00231993056721
2017-02-11	
2017-02-12	
2017-02-13	
2017-02-14	
2017-02-15	
2017-02-16	
2017-02-17	
2017-02-18	
2017-02-19	
2017-02-20	
2017-02-21	
2017-02-22	1.69171637746
2017-02-23	-0.311359701006
2017-02-24	-1.11693566441
2017-02-25	-1.15532069366
2017-02-26	-1.24944150584
2017-02-27	-1.27651197001
2017-02-28	-0.957742393156
2017-03-01	-1.74141357064
2017-03-02	-1.36028543967
2017-03-03	0.015283097983
2017-03-04	0.0463420844008
2017-03-05	-0.509935884087
2017-03-06	-0.587268500588
2017-03-07	0.522276987114
2017-03-08	0.629226101337
2017-03-09	-0.46350939559
2017-03-10	-0.508338333267
2017-03-11	-0.737722751153
2017-03-12	-0.62776964146
2017-03-13	-0.555425288894
2017-03-14	-1.66279725748
2017-03-15	-1.71334811424
2017-03-16	-1.18305176568
2017-03-17	-1.16270525599
2017-03-18	-0.914209818744
2017-03-19	-0.947532479479
2017-03-20	-0.846183255014
2017-03-21	0.220542347802
2017-03-22	0.235990000434
2017-03-23	0.271960568653
2017-03-24	-0.969566272261
2017-03-25	-0.978689204663
2017-03-26	-0.892213177464
2017-03-27	-0.345542287666
2017-03-28	-1.18743111827
2017-03-29	-1.25453102842
2017-03-30	-1.26813338895
2017-03-31	-0.761245599024
2017-04-01	-0.903516027276
2017-04-02	-1.01098031993
2017-04-03	-2.48154615491
2017-04-04	-2.75036314318
2017-04-05	-2.00165960082
2017-04-06	-1.9948952288
2017-04-07	-1.94702050083
2017-04-08	-1.8442680709
2017-04-09	-1.83155857722
2017-04-10	-1.90440826142
2017-04-11	-1.14833450881
2017-04-12	
2017-04-13	-0.203793172814
2017-04-14	-0.282946935803
2017-04-15	-0.288037035025
2017-04-16	-0.232551110516
2017-04-17	-0.210166681554
2017-04-18	-0.482715012587
