Date	CBRT Hawkish	CBRT Dovish
2017-01-01	0.00274061059302	1.23908819713e-19
2017-01-02	0.00226757369615	1.23908819713e-19
2017-01-03	0.00314399788545	0.000292141396436
2017-01-04	0.00432220112551	0.00117579382648
2017-01-05	0.00432220112551	0.00117579382648
2017-01-06	0.00459639909645	0.00254678368116
2017-01-07	0.00459639909645	0.00254678368116
2017-01-08	0.0023288254003	0.00254678368116
2017-01-09	0.00326050241894	0.003789019706
2017-01-10	0.00355025898764	0.00378842349907
2017-01-11	0.00565956321919	0.00380136401583
2017-01-12	0.00680013921007	0.00408650801355
2017-01-13	0.00991264074652	0.00302339993227
2017-01-14	0.00991264074652	0.00302339993227
2017-01-15	0.00991264074652	0.00302339993227
2017-01-16	0.0103318586958	0.00178116390742
2017-01-17	0.00916567793779	0.00178723776554
2017-01-18	0.0061782905142	0.000890644818737
2017-01-19	0.00503771452332	0.000605500821018
2017-01-20	0.00228034163645	0.000612282357877
2017-01-21	0.00228034163645	0.000612282357877
2017-01-22	0.00357904293515	0.000612282357877
2017-01-23	0.00388542340641	0.00127519253355
2017-01-24	0.0062225545779	0.00185399767524
2017-01-25	0.00805463069193	0.00337699493384
2017-01-26	0.00836119108433	0.00429667611103
2017-01-27	0.00773186446381	0.00398201280078
2017-01-28	0.00846446519641	0.00398201280078
2017-01-29	0.00716576389771	0.00398201280078
2017-01-30	0.00585607274772	0.0033191026251
2017-01-31	0.00351894157624	0.0024426784358
2017-02-01	0.00170420573165	0.000919681177192
2017-02-02	0.00139764533925	0.0
2017-02-03	0.00171510565671	0.0
2017-02-04	0.000982504924111	0.0
2017-02-05	0.000982504924111	0.000629326620516
2017-02-06	0.000634920634921	0.000629326620516
2017-02-07	0.00122402225495	0.000629326620516
2017-02-08	0.00090656193749	0.000629326620516
2017-02-09	0.00090656193749	0.000629326620516
2017-02-10	0.000589101620029	0.000629326620516
2017-02-11	0.000589101620029	0.000629326620516
2017-02-12	0.000589101620029	0.0
2017-02-13	0.000589101620029	0.0
2017-02-14	8.67361737988e-19	0.001998001998
2017-02-15	0.00134770889488	0.001998001998
2017-02-16	0.00134770889488	0.001998001998
2017-02-17	0.00134770889488	0.001998001998
2017-02-18	0.00134770889488	0.001998001998
2017-02-19	0.00134770889488	0.001998001998
2017-02-20	0.0016672998185	0.00231759292162
2017-02-21	0.00352661187304	0.00217890297816
2017-02-22	0.00278295009383	0.00217890297816
2017-02-23	0.00363329022989	0.00217890297816
2017-02-24	0.00363329022989	0.00217890297816
2017-02-25	0.00363329022989	0.00217890297816
2017-02-26	0.00363329022989	0.00217890297816
2017-02-27	0.00331369930627	0.00185931205454
2017-02-28	0.00145438725173	2.47817639425e-19
2017-03-01	0.00118411850722	2.47817639425e-19
2017-03-02	0.000743111158718	2.47817639425e-19
2017-03-03	0.000743111158718	2.47817639425e-19
2017-03-04	0.000743111158718	2.47817639425e-19
