Date	FederalReserve Hawkish-Dovish
2017-01-01	0.0806826665748
2017-01-02	0.0837381133589
2017-01-03	0.083239335365
2017-01-04	0.0877220762995
2017-01-05	0.0959039515545
2017-01-06	0.10539366605
2017-01-07	0.109327008693
2017-01-08	0.105964154117
2017-01-09	0.114876540824
2017-01-10	0.11193366341
2017-01-11	0.105271145925
2017-01-12	0.0922759008937
2017-01-13	0.0930701294992
2017-01-14	0.0745997110288
2017-01-15	0.0727194927657
2017-01-16	0.0577076724347
2017-01-17	0.0540572837078
2017-01-18	0.0558906530388
2017-01-19	0.0637957127472
2017-01-20	0.0556253171395
2017-01-21	0.0653006418148
2017-01-22	0.0660291815677
2017-01-23	0.0622640711728
2017-01-24	0.0598009540241
2017-01-25	0.0523293086496
2017-01-26	0.039969026951
2017-01-27	0.0385323967245
2017-01-28	0.0249609681531
2017-01-29	0.0263230207347
2017-01-30	0.029232728659
2017-01-31	0.0334411263253
2017-02-01	0.0433724222267
2017-02-02	0.0597374399849
2017-02-03	0.0685343946642
2017-02-04	0.0802884633803
2017-02-05	0.0843100139797
2017-02-06	0.0912740546553
2017-02-07	0.0882800014328
2017-02-08	0.0815190670736
2017-02-09	0.0708698127415
2017-02-10	0.0600275356411
2017-02-11	0.0576272084216
2017-02-12	0.0485290402357
2017-02-13	0.0487303451742
2017-02-14	0.056786893437
2017-02-15	0.0838293492098
2017-02-16	0.106414404017
2017-02-17	0.124464154077
2017-02-18	0.130709755766
2017-02-19	0.139032041817
2017-02-20	0.14611998484
2017-02-21	0.153539174472
2017-02-22	0.136899386002
2017-02-23	0.116986400728
2017-02-24	0.109856579932
2017-02-25	0.10772021356
2017-02-26	0.103448704526
2017-02-27	0.0975861449076
2017-02-28	0.085921607128
2017-03-01	0.0989213220403
2017-03-02	0.122565975699
2017-03-03	0.143596600179
2017-03-04	0.163968209832
2017-03-05	0.176039008286
2017-03-06	0.19130770986
2017-03-07	0.216001426843
2017-03-08	0.21941640127
2017-03-09	0.208183618894
2017-03-10	0.202787453579
2017-03-11	0.197341145501
2017-03-12	0.193983815514
2017-03-13	0.201737826209
2017-03-14	0.203593683759
2017-03-15	0.209354989316
2017-03-16	0.21737962597
2017-03-17	0.206235534243
2017-03-18	0.208799636807
2017-03-19	0.199674303826
2017-03-20	0.182429144893
2017-03-21	0.161564919947
2017-03-22	0.132631555643
2017-03-23	0.112856423368
2017-03-24	0.102069475944
2017-03-25	0.0744653092773
2017-03-26	0.0806476210783
2017-03-27	0.064849838064
2017-03-28	0.0607989209696
2017-03-29	0.0616043642794
2017-03-30	0.0604341184033
2017-03-31	0.0565371197056
2017-04-01	0.0641779164089
2017-04-02	0.0421182145201
2017-04-03	0.0448382512522
2017-04-04	0.0385481580056
2017-04-05	0.0423083726092
2017-04-06	0.0398498316707
2017-04-07	0.0454449705842
2017-04-08	0.0448834882709
2017-04-09	0.0585161024747
2017-04-10	0.0634115618849
2017-04-11	0.0665261398893
2017-04-12	0.0574400171668
2017-04-13	0.0548157977285
2017-04-14	0.0543280128007
2017-04-15	0.0517883018288
2017-04-16	0.0489641510378
2017-04-17	0.0437910101516
2017-04-18	0.0399529368466
2017-04-19	0.047961093523
2017-04-20	0.0493139073758
2017-04-21	0.045377773823
