Date	BOJ Hawkish	BOJ Dovish
2017-01-01	0.0212591874261	0.0123434121771
2017-01-02	0.0207032618886	0.0126921161131
2017-01-03	0.0221183663114	0.0139839511174
2017-01-04	0.0213981089824	0.0155079951095
2017-01-05	0.0175119929012	0.0116218790283
2017-01-06	0.0169099897155	0.010377821268
2017-01-07	0.0172890269609	0.0139853248755
2017-01-08	0.0127538795686	0.0124736090781
2017-01-09	0.0131329304403	0.0117999493607
2017-01-10	0.0107934144411	0.00975436337869
2017-01-11	0.00902610958098	0.00710771959414
2017-01-12	0.00980832892607	0.0073196509438
2017-01-13	0.00908678642066	0.00629022666499
2017-01-14	0.00475778209165	0.00398142435618
2017-01-15	0.00545464620315	0.00467828846768
2017-01-16	0.00522558140424	0.00473261793922
2017-01-17	0.00465463874146	0.00503631084495
2017-01-18	0.00615523898156	0.00473744652935
2017-01-19	0.00563558966648	0.00448606165187
2017-01-20	0.00565593427706	0.00481428803584
2017-01-21	0.0085130771342	0.00565844388
2017-01-22	0.00846556367205	0.0049615797685
2017-01-23	0.00778384753395	0.00528049754805
2017-01-24	0.00864931642089	0.00468525945281
2017-01-25	0.00806251453596	0.00620825671142
2017-01-26	0.00776956464724	0.00621733038054
2017-01-27	0.0136129050332	0.0081821962998
2017-01-28	0.0107557621761	0.00677193988954
2017-01-29	0.0156813244187	0.00886253222403
2017-01-30	0.0195208808011	0.010648841274
2017-01-31	0.0218781820913	0.0125578454102
2017-02-01	0.0219167646885	0.0110348481516
2017-02-02	0.0213036439037	0.0110725571748
2017-02-03	0.0215004405711	0.0122906854518
2017-02-04	0.0242129179671	0.0115580847192
2017-02-05	0.0261899245214	0.00946749238469
2017-02-06	0.0247271053327	0.0100720584232
2017-02-07	0.0220873003004	0.00993035914714
2017-02-08	0.0233183254616	0.0118018501016
2017-02-09	0.0251304668086	0.0132651851985
2017-02-10	0.0181463398245	0.00913820107148
2017-02-11	0.0188352229727	0.0125395616157
2017-02-12	0.0151235493022	0.0163798073914
