Date	ECB Excess Sentiment
2017-01-01	-0.874717173128
2017-01-02	-0.676575456071
2017-01-03	-0.612482097117
2017-01-04	-0.633318914019
2017-01-05	-0.613969959026
2017-01-06	-0.461771787926
2017-01-07	-0.411725179576
2017-01-08	-0.35905477819
2017-01-09	-0.348691179695
2017-01-10	-0.488735020638
2017-01-11	-0.444843702011
2017-01-12	-0.580343091581
2017-01-13	-0.702053901856
2017-01-14	-0.732266795085
2017-01-15	-0.664536688724
2017-01-16	-0.534456855497
2017-01-17	-0.344000210856
2017-01-18	-0.444747052635
2017-01-19	-0.342268654048
2017-01-20	-0.224465162995
2017-01-21	-0.266627523313
2017-01-22	-0.25658478037
2017-01-23	-0.287426247935
2017-01-24	-0.343663344798
2017-01-25	-0.219957343683
2017-01-26	-0.106624865155
2017-01-27	-0.0904731394615
2017-01-28	-0.065535542226
2017-01-29	-0.135897479673
2017-01-30	-0.301268556445
2017-01-31	-0.420782301094
2017-02-01	-0.388000409224
2017-02-02	-0.533334591704
2017-02-03	-0.520707268425
2017-02-04	-0.357836172624
2017-02-05	-0.393645564244
2017-02-06	-0.352876045942
2017-02-07	-0.361381292591
2017-02-08	-0.625174017624
2017-02-09	-0.809360802952
2017-02-10	-0.941504513708
2017-02-11	-1.29128834212
2017-02-12	-1.11515948057
2017-02-13	-1.19448365741
2017-02-14	-1.24992890239
2017-02-15	-1.28960862197
2017-02-16	-1.08071306348
2017-02-17	-0.992260449075
2017-02-18	-0.844092345621
2017-02-19	-0.944625885232
2017-02-20	-0.893713354012
2017-02-21	-0.552475737465
2017-02-22	-0.510369816608
2017-02-23	-0.515469218148
2017-02-24	-0.587911008251
2017-02-25	-0.760353835108
2017-02-26	-0.673715002613
2017-02-27	-0.623462216094
2017-02-28	-0.858463543375
2017-03-01	-0.749216979566
2017-03-02	-0.635093125305
2017-03-03	-0.492193104052
2017-03-04	-0.469650554568
2017-03-05	-0.452917231623
2017-03-06	-0.495199481429
2017-03-07	-0.347313152954
2017-03-08	-0.297614039983
2017-03-09	-0.362180216504
2017-03-10	-0.388791608104
2017-03-11	-0.267177493154
2017-03-12	-0.424543416498
2017-03-13	-0.327201416424
2017-03-14	-0.434838234468
2017-03-15	-0.520735534167
2017-03-16	-0.583129345913
2017-03-17	-0.602576372343
