Date	CBRT Excess Sentiment
2017-01-01	1.13954982037
2017-01-02	0.00261660936448
2017-01-03	-0.13805091855
2017-01-04	-0.248421330396
2017-01-05	-0.671554490137
2017-01-06	-0.927739277498
2017-01-07	-0.97373821654
2017-01-08	-0.816456030104
2017-01-09	-0.778325168815
2017-01-10	0.27346676708
2017-01-11	0.453146743759
2017-01-12	0.00881140487957
2017-01-13	0.229868180971
2017-01-14	0.282752572057
2017-01-15	0.998134265551
2017-01-16	1.14619872079
2017-01-17	0.446657848536
2017-01-18	0.308121346585
2017-01-19	0.50183184987
2017-01-20	0.449265807054
2017-01-21	0.390235935384
2017-01-22	-0.426794096525
2017-01-23	-0.684587412652
2017-01-24	-0.647798809194
2017-01-25	-0.309915311797
2017-01-26	-0.272714031863
2017-01-27	-0.204464021656
2017-01-28	-0.302260285718
2017-01-29	-0.270673884916
2017-01-30	-0.47566252525
2017-01-31	-0.714999360263
2017-02-01	-0.901343130724
2017-02-02	-0.465676570061
2017-02-03	-0.368444440683
2017-02-04	-0.321032232671
2017-02-05	0.0889126299681
2017-02-06	0.353927436804
2017-02-07	1.10799427543
2017-02-08	1.33340513939
2017-02-09	0.725844950869
2017-02-10	0.970013402521
2017-02-11	0.930939068432
2017-02-12	0.585518509559
2017-02-13	0.566519554219
2017-02-14	0.668999420322
2017-02-15	-0.357694495585
2017-02-16	-0.141783732715
2017-02-17	-0.690892817866
2017-02-18	-0.619571039782
2017-02-19	-0.847463978643
2017-02-20	-0.785910824367
2017-02-21	-1.38261292052
2017-02-22	-1.253982889
2017-02-23	-0.693169328766
2017-02-24	-0.240982015565
2017-02-25	-0.27936704481
2017-02-26	-0.0602159739378
2017-02-27	0.105383936122
2017-02-28	-0.210241878623
2017-03-01	2.00986919453
2017-03-02	0.957610393861
2017-03-03	0.971143298125
2017-03-04	1.00220228454
2017-03-05	0.113534243958
2017-03-06	0.746427595272
2017-03-07	0.592035964591
2017-03-08	-0.884004479764
2017-03-09	-0.742058567908
2017-03-10	-0.786887505585
2017-03-11	-0.543198462878
2017-03-12	-0.287393738599
2017-03-13	-0.877675914361
2017-03-14	-0.486799596601
2017-03-15	-0.511450458347
2017-03-16	-0.556930546089
2017-03-17	-0.0640981196556
2017-03-18	-0.275173286604
2017-03-19	-0.106661418575
2017-03-20	-0.345603342636
2017-03-21	-0.182519210658
2017-03-22	0.310854311008
2017-03-23	0.677498233005
2017-03-24	0.352397537813
2017-03-25	0.568024450523
2017-03-26	0.654500477721
2017-03-27	0.885461968216
2017-03-28	1.08178295504
2017-03-29	-0.720132006741
2017-03-30	-0.733734367263
2017-03-31	-0.763118545653
2017-04-01	-0.905388973905
2017-04-02	-0.788168461476
2017-04-03	-0.734918799959
2017-04-04	-0.696754375238
2017-04-05	0.218246603313
2017-04-06	-0.0615510292607
2017-04-07	-0.107913954585
2017-04-08	0.589718977195
2017-04-09	0.791836079403
2017-04-10	0.718986395199
2017-04-11	0.732685801093
2017-04-12	0.263336314935
2017-04-13	0.775601266167
2017-04-14	2.80783364116
2017-04-15	
2017-04-16	-1.79925575715
2017-04-17	-2.55579838281
2017-04-18	-2.58617030476
2017-04-19	-2.5487818242
2017-04-20	-1.8989487114
2017-04-21	-0.356062937131
2017-04-22	-0.321344486227
2017-04-23	-0.0677225952355
2017-04-24	1.00073189096
2017-04-25	0.823644563424
2017-04-26	0.491120057941
2017-04-27	0.257447891947
2017-04-28	-0.930583720516
2017-04-29	-0.516595410721
2017-04-30	-0.413006340068
2017-05-01	-0.683911259257
2017-05-02	-0.498892856769
2017-05-03	-0.537097790596
2017-05-04	-0.164456550077
2017-05-05	0.411839613386
2017-05-06	-0.0220117135482
2017-05-07	-0.074484728724
2017-05-08	0.988932506638
2017-05-09	0.521120208468
2017-05-10	-0.504992749261
2017-05-11	-0.782826062443
2017-05-12	-1.32582779218
2017-05-13	-1.29630361654
2017-05-14	-1.21891147197
2017-05-15	-1.19264263315
2017-05-16	-1.18081973099
2017-05-17	-1.05437141674
2017-05-18	-0.772077015942
2017-05-19	
2017-05-20	
2017-05-21	-0.0243361506164
2017-05-22	0.0134386935194
2017-05-23	1.34343904589
2017-05-24	1.31517482943
2017-05-25	1.27817945135
2017-05-26	1.24860629571
2017-05-27	1.25130168976
2017-05-28	2.55815247981
2017-05-29	2.55193119259
2017-05-30	4.18342539989
2017-05-31	4.23460287856
2017-06-01	4.25322021117
2017-06-02	4.5205131994
2017-06-03	4.45867015414
2017-06-04	4.5107092124
2017-06-05	1.85442130639
2017-06-06	1.4837277559
2017-06-07	1.48522932461
2017-06-08	0.697105965885
2017-06-09	-0.562108721717
2017-06-10	-0.497141061447
2017-06-11	-0.496062586231
2017-06-12	0.91257649413
2017-06-13	0.630206449949
2017-06-14	0.623999983349
2017-06-15	1.80922740631
2017-06-16	0.984672664267
2017-06-17	0.948207941062
2017-06-18	0.965584350181
2017-06-19	0.948582199982
2017-06-20	0.0530218130217
2017-06-21	-0.727337794057
2017-06-22	-1.15913715521
2017-06-23	-1.79024466445
2017-06-24	-1.73788118764
2017-06-25	-1.79520072157
2017-06-26	-1.76998641057
2017-06-27	-1.7606263189
2017-06-28	-1.48874839429
2017-06-29	-2.55905517547
2017-06-30	1.73111482817
2017-07-01	1.69882768889
